frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
1,0.000000,right_palm,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
2,0.041667,right_palm,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
3,0.083333,right_palm,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
4,0.125000,right_palm,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
5,0.166667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
6,0.208333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
7,0.250000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
8,0.291667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
9,0.333333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
10,0.375000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
11,0.416667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
12,0.458333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
13,0.500000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
14,0.541667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
15,0.583333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
16,0.625000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
17,0.666667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
18,0.708333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
19,0.750000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
20,0.791667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
21,0.833333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
22,0.875000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
23,0.916667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
24,0.958333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
25,1.000000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
26,1.041667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
27,1.083333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
28,1.125000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
29,1.166667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
30,1.208333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
31,1.250000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
32,1.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
33,1.333333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
34,1.375000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
35,1.416667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
36,1.458333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
37,1.500000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
38,1.541667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
39,1.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
