part,available,contact_evidence_rows,source
back,1,0,body_or_hand_artifact+hoi_contact_pairs
head,1,0,body_or_hand_artifact+hoi_contact_pairs
hip,1,0,body_or_hand_artifact+hoi_contact_pairs
left_foot,1,0,body_or_hand_artifact+hoi_contact_pairs
left_foot_heel,1,31,body_or_hand_artifact+hoi_contact_pairs
left_foot_toe,1,1,body_or_hand_artifact+hoi_contact_pairs
left_hand,1,0,body_or_hand_artifact+hoi_contact_pairs
mouth,1,0,body_or_hand_artifact+hoi_contact_pairs
right_foot,1,0,body_or_hand_artifact+hoi_contact_pairs
right_foot_heel,1,17,body_or_hand_artifact+hoi_contact_pairs
right_foot_toe,1,1,body_or_hand_artifact+hoi_contact_pairs
right_hand,1,0,body_or_hand_artifact+hoi_contact_pairs
torso,1,0,body_or_hand_artifact+hoi_contact_pairs
