frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
1,0.000000,0.475265,-0.046554,3.500000,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,839.422,340.466,,839.422,340.466,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.107772,3.427068,839.422,340.466,888.000,340.466,-0.023964,-0.023964,3.476036,3.500000,3.500000,3.500000,0.048968,0.000000,0.000000,
2,0.041667,0.480772,-0.051386,3.484123,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,842.652,338.340,,842.652,338.340,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.117920,3.414575,842.652,338.340,842.487,284.206,-0.016622,-0.016622,3.467501,3.484123,3.495242,3.484123,0.052926,-0.000000,0.289675,
3,0.083333,0.482903,-0.058547,3.456732,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,845.163,335.126,,845.163,335.126,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.131512,3.399572,845.163,335.126,845.815,279.010,-0.056089,-0.056089,3.400643,3.456732,3.465062,3.456732,0.001072,0.000000,0.000000,
4,0.125000,0.490786,-0.069279,3.458562,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,848.402,330.582,,848.402,330.582,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.147918,3.383194,848.402,330.582,849.962,272.498,-0.115595,-0.115595,3.342967,3.462754,3.478733,3.462754,-0.040227,0.013030,0.000000,
5,0.166667,0.502058,-0.088469,3.459797,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,853.112,322.447,,853.112,322.447,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.171333,3.365854,853.112,322.447,854.576,264.166,-0.080431,-0.080431,3.379366,3.468776,3.445807,3.468776,0.013512,0.025432,0.000000,
6,0.208333,0.514641,-0.109448,3.459947,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.444,313.544,,858.444,313.544,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.193177,3.347834,858.444,313.544,859.889,255.677,-0.065189,-0.065189,3.394758,3.474798,3.434882,3.474798,0.046924,0.037008,0.000000,
7,0.250000,0.529466,-0.134362,3.458693,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,864.818,302.948,,864.818,302.948,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.217695,3.328615,864.818,302.948,865.218,246.309,-0.106577,-0.106577,3.352116,3.480820,3.421619,3.480820,0.023501,0.049408,0.000000,
8,0.291667,0.543904,-0.158712,3.456037,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,871.126,292.557,,871.126,292.557,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.242289,3.313939,871.126,292.557,871.908,236.506,-0.091533,-0.091533,3.364504,3.486842,3.434882,3.486842,0.050565,0.058085,0.000000,
9,0.333333,0.559237,-0.178731,3.452353,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,877.895,283.969,,877.895,283.969,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.265047,3.300017,877.895,283.969,879.344,227.730,-0.098680,-0.098680,3.353673,3.492864,3.445807,3.492864,0.053656,0.067086,0.000000,
10,0.375000,0.573563,-0.200998,3.448571,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,884.257,274.403,,884.257,274.403,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.291682,3.295196,884.257,274.403,888.118,219.595,-0.137685,-0.137685,3.310886,3.498886,3.473447,3.498886,0.015690,0.070653,0.000000,
