frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,-0.314464471,0.075752407,3.650798566,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
2,0.041667,-0.312158291,0.059766897,3.643250207,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
3,0.083333,-0.310203095,0.056026607,3.635626630,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
4,0.125,-0.306152877,0.061979688,3.628752035,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
5,0.166667,-0.297839820,0.083453287,3.622989065,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
6,0.208333,-0.291541985,0.148064666,3.618338106,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
7,0.25,-0.288167120,0.251357673,3.614750463,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
8,0.291667,-0.282911035,0.379911650,3.612216767,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
9,0.333333,-0.272539898,0.550566199,3.610610535,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
10,0.375,-0.274393382,0.593949065,3.611584075,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
11,0.416667,-0.277021520,0.486877806,3.615168872,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
12,0.458333,-0.273369161,0.387713454,3.619017203,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
13,0.5,-0.281591651,0.310051328,3.622540860,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
14,0.541667,-0.280625030,0.246138095,3.625680408,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
15,0.583333,-0.277145484,0.194853861,3.628291222,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
16,0.625,-0.278463188,0.156621535,3.630283447,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
17,0.666667,-0.273781464,0.139199396,3.631664231,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
18,0.708333,-0.270386580,0.142341470,3.632419734,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
19,0.75,-0.263281963,0.182612133,3.632573608,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
20,0.791667,-0.262051545,0.303629059,3.632040025,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
21,0.833333,-0.259189295,0.447495119,3.631337710,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
22,0.875,-0.249538018,0.603924724,3.630740283,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
23,0.916667,-0.251754720,0.595703125,3.632354320,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
24,0.958333,-0.262896240,0.459046111,3.635521244,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
25,1.0,-0.275111022,0.360971022,3.637886964,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
26,1.041667,-0.285362834,0.283198918,3.639295395,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
27,1.083333,-0.295319140,0.229361500,3.639519407,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
28,1.125,-0.297811270,0.189889114,3.638552747,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
29,1.166667,-0.295671166,0.169273738,3.636345098,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
30,1.208333,-0.296138468,0.159861043,3.632929618,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
31,1.25,-0.293747963,0.166283550,3.628391531,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
32,1.291667,-0.289247603,0.211262467,3.622763673,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
33,1.333333,-0.267200727,0.281986935,3.616389110,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-d951035bbe0a
