frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
1,0.000000,left_hand,hand,left,-0.901226878,0.142243654,3.219410419,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
1,0.000000,right_hand,hand,right,-0.050724864,-0.095700502,3.211536407,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
2,0.041667,left_hand,hand,left,-0.889179230,0.137776136,3.221035480,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
2,0.041667,right_hand,hand,right,-0.049146146,-0.078073233,3.178079128,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
3,0.083333,left_hand,hand,left,-0.873668551,0.130572617,3.235736609,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
3,0.083333,right_hand,hand,right,-0.055247068,-0.045775115,3.139800549,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
4,0.125000,left_hand,hand,left,-0.853054285,0.120427012,3.269051313,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
4,0.125000,right_hand,hand,right,-0.073036015,-0.000395492,3.099915504,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
5,0.166667,left_hand,hand,left,-0.825446427,0.107838213,3.302189827,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
5,0.166667,right_hand,hand,right,-0.104895711,0.053789541,3.059515238,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
6,0.208333,left_hand,hand,left,-0.785575032,0.099346071,3.309434891,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
6,0.208333,right_hand,hand,right,-0.142518014,0.119340748,2.990277290,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
7,0.250000,left_hand,hand,left,-0.741504312,0.093496084,3.308575630,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
7,0.250000,right_hand,hand,right,-0.190016329,0.182207674,2.922971249,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
8,0.291667,left_hand,hand,left,-0.707841158,0.102177411,3.294367313,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
8,0.291667,right_hand,hand,right,-0.236997813,0.235645741,2.870915890,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
9,0.333333,left_hand,hand,left,-0.694028258,0.118651360,3.283705950,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
9,0.333333,right_hand,hand,right,-0.284978449,0.280027270,2.845379829,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
