asset,category,case,size_bytes,sha256,release_url
back_view_basketball_input.mp4,input,back_view_basketball,2460410,c045bc02e3d5a7337b70993eec2364831a7561ce0bda859936e0a4236913eae3,https://github.com/THB21/AudioHOI/releases/download/results-v1/back_view_basketball_input.mp4
back_view_basketball_object_only_overlay.mp4,object_only,back_view_basketball,1419532,f9634252988702c90130436bae146af2b84c7a87f469f65b9b6c2eebc318d752,https://github.com/THB21/AudioHOI/releases/download/results-v1/back_view_basketball_object_only_overlay.mp4
back_view_basketball_vlm_vs_vlm_audio.mp4,challenge_comparison,back_view_basketball,1269118,4f6f2462ce906e32d8e20cdef2f37d7f8071f4c15d4ed97739776e4ce5253d31,https://github.com/THB21/AudioHOI/releases/download/results-v1/back_view_basketball_vlm_vs_vlm_audio.mp4
back_view_basketball_with_skeleton_overlay.mp4,with_skeleton,back_view_basketball,2412677,b766acadbdd8210f4f1cd384ac0b4b746f5cb6ef346cbf5a1ac8c30f319c5770,https://github.com/THB21/AudioHOI/releases/download/results-v1/back_view_basketball_with_skeleton_overlay.mp4
basketball_input.mp4,input,basketball,1185699,6ba716b2264f07527655157c3932c9499c7eba06f2ff450a65071ff695d0522c,https://github.com/THB21/AudioHOI/releases/download/results-v1/basketball_input.mp4
basketball_object_only_overlay.mp4,object_only,basketball,1040904,8eb198b8a70f3bb3fe66a262612ab22ab03114e74bd27311e5bed8f495b1f284,https://github.com/THB21/AudioHOI/releases/download/results-v1/basketball_object_only_overlay.mp4
basketball_with_skeleton_overlay.mp4,with_skeleton,basketball,1658087,1e9dc632ad0cdc7c149af027c114e815918ca08f13c437395ba584f154f5b775,https://github.com/THB21/AudioHOI/releases/download/results-v1/basketball_with_skeleton_overlay.mp4
chair_input.mp4,input,chair,1302574,e43c4bb0d7f064926deaa2a9cbb7a1c4f50998a0fe7810c810e677ace2643c02,https://github.com/THB21/AudioHOI/releases/download/results-v1/chair_input.mp4
chair_object_only_overlay.mp4,object_only,chair,1008174,f0da877eed36bd96a841abd559ce6d2f64246b72f5e462108d1402fe380f6549,https://github.com/THB21/AudioHOI/releases/download/results-v1/chair_object_only_overlay.mp4
chair_with_skeleton_overlay.mp4,with_skeleton,chair,1119519,f9fe5113fd0ffd3ef8230aa535d9bf4a6ee4d2ec3efe4db1a1131a7ace7b989f,https://github.com/THB21/AudioHOI/releases/download/results-v1/chair_with_skeleton_overlay.mp4
