case,variant,metric,value,unit,better_direction,scope,source
pingpong_wall,full,free_flight_turn_p95,21.92,deg,lower,non-contact free-flight frames,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_vlm,free_flight_turn_p95,93.50,deg,lower,non-contact free-flight frames,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_audio,free_flight_turn_p95,96.15,deg,lower,non-contact free-flight frames,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,full,non_contact_turns_gt_35deg,6,count,lower,non-contact frame transitions,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_vlm,non_contact_turns_gt_35deg,23,count,lower,non-contact frame transitions,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_audio,non_contact_turns_gt_35deg,21,count,lower,non-contact frame transitions,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,full,interior_turn_max_157_200,4.45,deg,lower,frames 157-200 excluding contact boundaries,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_vlm,interior_turn_max_157_200,176.12,deg,lower,frames 157-200 excluding contact boundaries,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_audio,interior_turn_max_157_200,176.12,deg,lower,frames 157-200 excluding contact boundaries,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,full,paddle_contact_mean_gap,0.0,mm,lower,recomputed paddle-ball contacts,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_vlm,paddle_contact_mean_gap,0.0,mm,lower,recomputed paddle-ball contacts,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_audio,paddle_contact_mean_gap,264.3,mm,lower,recomputed paddle-ball contacts,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,full,valid_collision_normal_reversals,7/7,count,higher,seven accepted impact windows,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_vlm,valid_collision_normal_reversals,7/7,count,higher,seven accepted impact windows,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
pingpong_wall,no_audio,valid_collision_normal_reversals,1/7,count,higher,seven accepted impact windows,samples_known_object/14_pingpong_wall/results/ablation_evaluation/case_specific_metrics.csv
suitcase_drag,full,terminal_upright_yaw_branch_correction,0.0,deg,lower,frame 240 VLM symmetry branch,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
suitcase_drag,no_vlm,terminal_upright_yaw_branch_correction,169.65,deg,lower,frame 240 VLM symmetry branch,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
suitcase_drag,full,handle_broad_face_margin,1.88,score,higher,terminal semantic face relation,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
suitcase_drag,no_vlm,handle_broad_face_margin,-1.69,score,higher,terminal semantic face relation,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
suitcase_drag,full,left_side_exposure_margin,0.66,score,higher,terminal semantic side relation,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
