frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.466417421,-0.038421182,3.457067511,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
2,0.041667,0.470116756,-0.046822440,3.444373379,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
3,0.083333,0.476024731,-0.057194898,3.429011493,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
4,0.125,0.482967592,-0.070567222,3.412175947,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
5,0.166667,0.491134733,-0.091041833,3.394254436,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
6,0.208333,0.500757992,-0.109740657,3.375614882,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
7,0.25,0.513779750,-0.131350273,3.355804692,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
8,0.291667,0.527119175,-0.152920403,3.340422151,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
9,0.333333,0.543549868,-0.171700369,3.325680190,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
10,0.375,0.561453413,-0.194344935,3.320249615,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
11,0.416667,0.578395587,-0.216926599,3.329388943,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
12,0.458333,0.590004934,-0.234798388,3.349133998,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
13,0.5,0.594148119,-0.252374987,3.367585397,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
14,0.541667,0.588393220,-0.266191526,3.389177516,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
15,0.5833333333333334,0.570293206,-0.263588704,3.409137030,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
16,0.625,0.545629200,-0.246413729,3.430203979,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
17,0.666667,0.510182678,-0.203823409,3.447956827,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-013bf3da7274
