frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
1,0.000000,-0.933356,0.908153,6.718763,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.000,837.500,,654.000,837.500,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.938462,6.709749,654.000,837.500,619.000,844.000,0.091118,0.091118,6.809824,6.718706,4.234391,6.718706,0.100075,sequence_se3_optimizer
2,0.033333,-0.933349,0.908159,6.718762,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.170,837.902,,654.170,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,1,0,1,floor,,floor,left_foot,0.937442,6.703704,654.170,837.902,618.000,844.000,0.200667,0.200667,6.919373,6.718706,4.244267,6.718706,0.215668,sequence_se3_optimizer
3,0.066667,-0.933341,0.908166,6.718762,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.102,837.968,,654.102,837.968,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.934794,6.695471,654.102,837.968,618.000,844.000,0.157906,0.157906,6.876612,6.718706,4.252766,6.718706,0.181140,sequence_se3_optimizer
4,0.100000,-0.933333,0.908173,6.718761,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.801,837.846,,653.801,837.846,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932170,6.688560,653.801,837.846,617.000,842.000,0.178775,0.178775,6.897481,6.718706,4.255811,6.718706,0.208921,sequence_se3_optimizer
5,0.133333,-0.933325,0.908181,6.718761,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,837.825,,653.770,837.825,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.928628,6.679928,653.770,837.825,617.000,842.000,0.151302,0.151302,6.870008,6.718706,4.267279,6.718706,0.190080,sequence_se3_optimizer
6,0.166667,-0.933316,0.908189,6.718760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.819,837.781,,653.819,837.781,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.924734,6.670431,653.819,837.781,617.000,842.000,0.180867,0.180867,6.899573,6.718706,4.280086,6.718706,0.229142,sequence_se3_optimizer
7,0.200000,-0.933306,0.908198,6.718759,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.867,837.769,,653.867,837.769,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.923400,6.663061,653.867,837.769,618.000,845.000,0.180699,0.180699,6.899405,6.718706,4.287420,6.718706,0.236344,sequence_se3_optimizer
8,0.233333,-0.933296,0.908208,6.718758,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.930,837.727,,653.930,837.727,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.923543,6.660546,653.930,837.727,617.000,841.000,0.183299,0.183299,6.902005,6.718706,4.289865,6.718706,0.241458,sequence_se3_optimizer
9,0.266667,-0.933285,0.908219,6.718757,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.986,837.652,,653.986,837.652,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.924749,6.660575,653.986,837.652,617.000,843.000,0.112531,0.112531,6.831237,6.718706,4.288296,6.718706,0.170662,sequence_se3_optimizer
10,0.300000,-0.933274,0.908233,6.718755,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.038,837.609,,654.038,837.609,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.926108,6.658776,654.038,837.609,617.000,847.000,0.084395,0.084395,6.803101,6.718706,4.292633,6.718706,0.144325,sequence_se3_optimizer
