frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,tx,ty,tz,qw,qx,qy,qz,se3_schema,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
1,0.000000,0.017026654,-0.044284915,4.014388443,-0.040453410,-2.317810,-0.017141273,-0.982123,-0.022598173,-1.294780,1.167386976,0.007807242,0.447322,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022622,0.002110,4.019550,0.999362,-0.010052,-0.028187,-0.019484,1,unchanged,60,70,160,,,
2,0.041667,0.018386615,-0.035601316,4.017457154,-0.040503909,-2.320703,-0.021920941,-1.255977,-0.022277463,-1.276405,1.168830616,-0.005382856,-0.308415,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022583,0.002625,4.018430,0.999339,-0.009935,-0.028750,-0.019908,1,unchanged,60,70,160,,,
3,0.083333,0.019832908,-0.026152494,4.020428586,-0.040769603,-2.335926,-0.028083038,-1.609040,-0.022104858,-1.266515,1.170538467,-0.017185875,-0.984678,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022538,0.003141,4.017278,0.999315,-0.009817,-0.029316,-0.020342,1,unchanged,60,70,160,,,
4,0.125000,0.020988977,-0.016614525,4.022820340,-0.041150677,-2.357760,-0.035860761,-2.054670,-0.021430377,-1.227870,1.170084559,-0.027678874,-1.585883,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022483,0.003655,4.016072,0.999290,-0.009697,-0.029888,-0.020793,1,unchanged,60,70,160,,,
5,0.166667,0.021783119,-0.005936381,4.024109773,-0.041762163,-2.392796,-0.046981868,-2.691863,-0.021373615,-1.224618,1.172830639,-0.036938913,-2.116444,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022405,0.004159,4.014775,0.999264,-0.009573,-0.030462,-0.021272,1,unchanged,60,70,160,,,
6,0.208333,0.022033669,0.002314818,4.024094339,-0.042609275,-2.441332,-0.058337759,-3.342507,-0.020869490,-1.195734,1.173033854,-0.045043053,-2.580777,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022293,0.004634,4.013355,0.999236,-0.009446,-0.031031,-0.021787,1,unchanged,60,70,160,,,
7,0.250000,0.021894385,0.009338390,4.022617340,-0.043689430,-2.503220,-0.068863828,-3.945607,-0.020414905,-1.169688,1.174669917,-0.052068354,-2.983297,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.022133,0.005053,4.011780,0.999208,-0.009316,-0.031580,-0.022349,1,unchanged,60,70,160,,,
8,0.291667,0.024366368,0.014049299,4.019800933,-0.045211956,-2.590454,-0.075142255,-4.305334,-0.019842862,-1.136912,1.173197960,-0.058091875,-3.328419,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.021908,0.005385,4.010025,0.999179,-0.009185,-0.032095,-0.022964,1,unchanged,60,70,160,,,
9,0.333333,0.024782247,0.017563705,4.015959271,-0.047121803,-2.699880,-0.078664302,-4.507132,-0.019518182,-1.118309,1.172244513,-0.063190676,-3.620559,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.021600,0.005597,4.008067,0.999149,-0.009053,-0.032559,-0.023638,1,unchanged,60,70,160,,,
10,0.375000,0.023272516,0.019576828,4.011600512,-0.049273171,-2.823145,-0.080163731,-4.593043,-0.019655876,-1.126199,1.171466057,-0.067441818,-3.864132,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.021186,0.005657,4.005888,0.999120,-0.008921,-0.032959,-0.024376,1,unchanged,60,70,160,,,
