frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,604.170,253.594,23.996,1809.0
2,0.041667,603.666,254.865,23.371,1716.0
3,0.083333,603.404,255.741,23.561,1744.0
4,0.125000,605.009,256.880,22.596,1604.0
5,0.166667,605.342,258.736,22.262,1557.0
6,0.208333,606.566,258.932,21.558,1460.0
7,0.250000,605.897,261.206,21.558,1460.0
8,0.291667,604.745,262.200,21.387,1437.0
9,0.333333,603.672,263.481,21.705,1480.0
10,0.375000,602.374,265.079,21.528,1456.0
11,0.416667,601.335,267.119,21.996,1520.0
12,0.458333,601.856,266.637,21.565,1461.0
13,0.500000,601.462,267.226,21.350,1432.0
14,0.541667,601.135,267.989,21.118,1401.0
15,0.583333,601.091,269.077,21.118,1401.0
16,0.625000,600.872,270.252,21.178,1409.0
17,0.666667,601.075,270.855,21.133,1403.0
18,0.708333,601.426,271.461,21.565,1461.0
19,0.750000,601.902,268.854,21.365,1434.0
20,0.791667,602.532,265.220,21.631,1470.0
21,0.833333,601.922,257.897,22.040,1526.0
22,0.875000,603.937,245.549,22.348,1569.0
23,0.916667,603.478,231.329,22.687,1617.0
24,0.958333,603.303,211.536,23.132,1681.0
25,1.000000,599.250,205.414,24.036,1815.0
26,1.041667,599.310,184.296,24.786,1930.0
27,1.083333,598.619,169.247,25.817,2094.0
28,1.125000,599.039,154.817,25.756,2084.0
29,1.166667,599.565,145.159,25.482,2040.0
30,1.208333,600.596,139.934,26.075,2136.0
31,1.250000,601.093,143.549,26.245,2164.0
32,1.291667,602.122,153.714,26.014,2126.0
33,1.333333,606.113,170.586,26.251,2165.0
34,1.375000,612.212,193.408,25.750,2083.0
35,1.416667,617.639,227.012,26.809,2258.0
36,1.458333,624.508,267.044,24.939,1954.0
37,1.500000,628.511,298.511,22.219,1551.0
38,1.541667,628.334,298.281,22.061,1529.0
39,1.583333,628.865,296.311,23.877,1791.0
40,1.625000,628.880,284.053,22.518,1593.0
41,1.666667,627.183,265.386,20.997,1385.0
42,1.708333,625.430,242.076,22.262,1557.0
43,1.750000,625.637,215.486,21.417,1441.0
44,1.791667,615.967,192.671,26.774,2252.0
45,1.833333,613.872,160.352,27.703,2411.0
46,1.875000,610.184,133.373,25.619,2062.0
47,1.916667,608.850,103.233,26.732,2245.0
48,1.958333,605.741,77.280,26.445,2197.0
49,2.000000,603.774,54.358,25.105,1980.0
50,2.041667,598.452,54.524,22.090,1533.0
51,2.083333,594.793,55.986,18.464,1071.0
52,2.125000,594.096,51.306,17.371,948.0
53,2.166667,593.339,49.100,16.225,827.0
54,2.208333,593.034,48.207,15.686,773.0
55,2.250000,593.650,45.830,15.296,735.0
56,2.291667,594.201,46.765,14.636,673.0
57,2.333333,595.083,46.298,15.868,791.0
58,2.375000,595.686,48.792,15.858,790.0
59,2.416667,594.387,41.691,18.151,1035.0
60,2.458333,595.518,42.004,22.757,1627.0
61,2.500000,599.120,68.352,25.904,2108.0
62,2.541667,603.290,110.375,26.130,2145.0
63,2.583333,610.890,156.292,28.011,2465.0
64,2.625000,622.858,196.755,29.322,2701.0
65,2.666667,628.364,270.019,27.840,2435.0
66,2.708333,628.459,295.987,23.527,1739.0
67,2.750000,629.261,298.593,23.923,1798.0
68,2.791667,629.336,297.984,23.803,1780.0
69,2.833333,628.860,292.850,22.553,1598.0
70,2.875000,627.151,286.858,22.708,1620.0
71,2.916667,625.210,278.766,21.653,1473.0
72,2.958333,623.978,272.287,21.260,1420.0
73,3.000000,621.599,268.373,21.335,1430.0
74,3.041667,618.495,265.736,21.148,1405.0
75,3.083333,615.925,265.243,21.938,1512.0
76,3.125000,612.937,265.466,21.873,1503.0
77,3.166667,609.566,265.744,20.822,1362.0
78,3.208333,606.077,268.097,21.653,1473.0
79,3.250000,603.127,270.247,20.951,1379.0
80,3.291667,600.624,273.140,20.860,1367.0
81,3.333333,598.275,275.362,20.691,1345.0
82,3.375000,596.754,276.604,20.217,1284.0
83,3.416667,594.539,278.593,21.469,1448.0
84,3.458333,593.236,278.375,21.409,1440.0
85,3.500000,592.601,277.286,21.305,1426.0
86,3.541667,591.796,276.057,21.178,1409.0
87,3.583333,591.159,274.822,21.469,1448.0
88,3.625000,590.553,273.118,21.372,1435.0
89,3.666667,590.464,270.960,21.193,1411.0
90,3.708333,590.922,268.068,21.712,1481.0
91,3.750000,591.479,263.205,21.558,1460.0
92,3.791667,592.851,254.084,21.004,1386.0
93,3.833333,594.316,243.118,21.372,1435.0
94,3.875000,596.026,230.292,21.778,1490.0
95,3.916667,595.906,214.074,21.778,1490.0
96,3.958333,591.756,205.321,23.433,1725.0
97,4.000000,592.133,186.375,23.937,1800.0
98,4.041667,592.764,164.854,22.876,1644.0
99,4.083333,591.240,144.519,23.996,1809.0
100,4.125000,592.310,117.947,24.430,1875.0
101,4.166667,593.536,89.515,23.883,1792.0
102,4.208333,592.472,69.458,23.903,1795.0
103,4.250000,592.175,48.400,22.876,1644.0
104,4.291667,588.443,43.624,19.617,1209.0
