frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
1,0.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23609208524669514,7.777542855547386e-05,0,0,0,0
2,0.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2440299692601233,0.00010279692426417452,0,0,0,0
3,0.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.27177565066731485,0.00016140358265629082,0,0,0,0
4,0.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2542782356670859,0.00017355064051461296,0,0,0,0
5,0.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.26021706844908027,0.0003231987027803636,0,0,0,0
6,0.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2681696243084328,0.00026330276109992395,0,0,0,0
7,0.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2633699226801887,0.0006459460025882354,0,0,0,0
8,0.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24237756699484156,0.0008825014906821487,0,0,0,0
9,0.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.25484059041654533,0.0015871027019618848,0,0,0,0
10,0.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.25750273031808996,0.0026169878975391154,0,0,0,0
11,0.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3062885135825795,0.0060220780993582995,0,0,0,0
12,0.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2578090975781282,0.004478659012184895,0,0,0,0
