frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
1,right_hand,penetration,0.0733,0.1009,0.1000,2.06
2,right_hand,penetration,0.0729,0.1009,0.1000,2.11
3,right_hand,penetration,0.0706,0.1007,0.1000,2.25
4,right_hand,penetration,0.0711,0.1008,0.1000,2.21
5,right_hand,penetration,0.0707,0.1008,0.1000,2.25
6,right_hand,penetration,0.0705,0.1008,0.1000,2.21
7,right_hand,penetration,0.0697,0.1008,0.1000,2.26
8,right_hand,penetration,0.0687,0.1007,0.1000,2.34
9,right_hand,penetration,0.0684,0.1007,0.1000,2.37
10,right_hand,penetration,0.0694,0.1008,0.1000,2.36
11,right_hand,penetration,0.0690,0.1006,0.1000,2.46
12,right_hand,penetration,0.0699,0.1008,0.1000,2.37
13,right_hand,penetration,0.0693,0.1007,0.1000,2.40
14,right_hand,penetration,0.0700,0.1008,0.1000,2.36
15,right_hand,penetration,0.0706,0.1008,0.1000,2.33
16,right_hand,penetration,0.0705,0.1008,0.1000,2.34
17,right_hand,penetration,0.0690,0.1008,0.1000,2.40
18,right_hand,penetration,0.0677,0.1008,0.1000,2.46
19,right_hand,penetration,0.0637,0.1008,0.1000,2.59
20,right_hand,penetration,0.0569,0.1007,0.1000,2.85
21,right_hand,penetration,0.0490,0.1006,0.1000,3.12
22,right_hand,penetration,0.0416,0.1007,0.1000,3.16
23,right_hand,penetration,0.0329,0.1005,0.1000,3.31
24,right_hand,penetration,0.0395,0.1057,0.1000,3.39
25,right_hand,penetration,0.0220,0.0998,0.1000,4.55
26,right_hand,penetration,0.0398,0.1008,0.1000,3.90
27,right_hand,penetration,0.0413,0.1004,0.1000,3.92
28,right_hand,penetration,0.0460,0.1005,0.1000,3.56
29,right_hand,penetration,0.0530,0.1006,0.1000,3.10
30,right_hand,penetration,0.0640,0.1008,0.1000,2.49
31,right_hand,penetration,0.0723,0.1008,0.1000,2.09
32,right_hand,penetration,0.0787,0.1008,0.1000,1.86
33,right_hand,penetration,0.0847,0.1010,0.1000,1.63
34,right_hand,penetration,0.0842,0.1030,0.1000,1.78
35,right_hand,penetration,0.0633,0.1003,0.1000,2.50
36,right_hand,penetration,0.0511,0.1004,0.1000,2.58
37,right_hand,penetration,0.0798,0.1094,0.1000,1.78
38,right_hand,penetration,0.0785,0.1010,0.1000,1.41
39,right_hand,penetration,0.0790,0.1013,0.1000,1.35
