frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
1,0.000000,1.972383,3.755621,1.421030,0.952806,1809,0.570006,0.6159,0.0000,mask
2,0.033333,1.972727,3.757312,1.404152,0.987303,1716,0.512684,0.5722,0.0000,mask
3,0.066667,1.975501,3.761690,1.403166,0.989735,1744,0.515084,0.5778,0.0000,mask
4,0.100000,1.956134,3.733047,1.426073,0.943457,1604,0.528225,0.5916,0.0000,mask
5,0.133333,1.960661,3.735664,1.472714,0.848171,1557,0.541958,0.5869,0.0000,mask
6,0.166667,1.965213,3.736523,1.532556,0.724724,1460,0.575012,0.6340,0.0000,mask
7,0.200000,1.976858,3.747957,1.586793,0.611092,1460,0.659419,0.7075,0.0000,mask
8,0.233333,1.941100,3.683657,1.616939,0.545017,1437,0.639558,0.7026,0.0000,mask
9,0.266667,1.952316,3.696307,1.615868,0.541623,1480,0.614622,0.6632,0.0000,mask
10,0.300000,1.948374,3.686666,1.591658,0.585520,1456,0.586272,0.6297,0.0000,mask
11,0.333333,1.927740,3.653093,1.560454,0.644943,1520,0.585182,0.6247,0.0000,mask
12,0.366667,1.923189,3.646644,1.535121,0.694316,1461,0.594978,0.6186,0.0000,mask
13,0.400000,1.920224,3.643466,1.518639,0.727340,1432,0.600009,0.6232,0.0000,mask
14,0.433333,1.910909,3.631140,1.504668,0.755856,1401,0.619325,0.6428,0.0000,mask
15,0.466667,1.924710,3.653639,1.482803,0.799672,1401,0.618279,0.6427,0.0000,mask
16,0.500000,1.927487,3.659483,1.445741,0.872834,1409,0.583948,0.6058,0.0000,mask
17,0.533333,1.928499,3.662707,1.395929,0.970660,1403,0.518334,0.5393,0.0000,mask
18,0.566667,1.925324,3.659975,1.347777,1.065067,1461,0.437212,0.4547,0.0000,mask
19,0.600000,1.925764,3.661261,1.321719,1.115942,1434,0.451256,0.4672,0.0000,mask
20,0.633333,1.941328,3.681155,1.331666,1.095954,1470,0.396679,0.4081,0.0000,mask
21,0.666667,1.935353,3.671685,1.375537,1.009535,1526,0.530331,0.5516,0.0000,mask
22,0.700000,1.988434,3.746814,1.439410,0.884642,1569,0.601795,0.6129,0.0000,mask
23,0.733333,2.004433,3.774368,1.514737,0.738179,1617,0.593782,0.6037,0.0000,mask
24,0.766667,1.948525,3.689821,1.611023,0.550703,1681,0.665880,0.6767,0.0000,mask
25,0.800000,1.973521,3.732398,1.745035,0.288535,1815,0.586402,0.6355,0.0000,mask
26,0.833333,1.976856,3.741293,1.912616,-0.039674,1930,0.583294,0.6281,0.0000,mask
27,0.866667,1.986565,3.765467,2.076044,-0.358729,2094,0.643528,0.7074,0.0000,mask
28,0.900000,1.928446,3.643688,2.187084,-0.573985,2084,0.495639,0.5603,0.0000,mask
29,0.933333,1.951289,3.695368,2.219015,-0.634571,2040,0.423777,0.4985,0.0000,mask
30,0.966667,1.966460,3.728952,2.171908,-0.542018,2136,0.469650,0.5516,0.0000,mask
31,1.000000,1.944161,3.680860,2.059920,-0.323958,2164,0.438802,0.5007,0.0000,mask
32,1.033333,1.930667,3.655461,1.908703,-0.029608,2126,0.472255,0.5322,0.0000,mask
33,1.066667,1.995217,3.771263,1.757193,0.265281,2165,0.447013,0.4568,0.0000,mask
34,1.100000,1.963066,3.711956,1.641767,0.489060,2083,0.565830,0.5726,0.0000,mask
35,1.133333,1.979915,3.735035,1.573086,0.620458,2258,0.658058,0.6628,0.0000,mask
