frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,hammer,604.170,253.594,tracking,1,604.170,253.594,,1,614.769,247.570,1414.5,586.000,217.000,639.000,279.000,53.000,62.000,33.686,66.275,44.119,0.854839,0.334409,0,,,,,,,,,,,,0.000000,0.334409,0.334409,,,,,,,,,,,,
2,0.041667,hammer,603.666,254.865,tracking,1,603.666,254.865,,1,614.044,248.720,1339.5,586.000,218.000,638.000,280.000,52.000,62.000,34.262,64.228,44.379,0.838710,0.333827,0,,,,,,,,,,,,0.000000,0.333827,0.333827,,,,,,,,,,,,
3,0.083333,hammer,603.404,255.741,tracking,1,603.404,255.741,,1,612.456,249.743,1381.0,581.000,219.000,636.000,285.000,55.000,66.000,36.511,68.785,43.415,0.833333,0.308606,0,,,,,,,,,,,,0.000000,0.308606,0.308606,,,,,,,,,,,,
4,0.125000,hammer,605.009,256.880,tracking,1,605.009,256.880,,1,613.078,250.966,1284.5,586.000,221.000,636.000,281.000,50.000,60.000,31.631,59.314,43.904,0.833333,0.360088,0,,,,,,,,,,,,0.000000,0.360088,0.360088,,,,,,,,,,,,
5,0.166667,hammer,605.342,258.736,tracking,1,605.342,258.736,,1,612.375,252.776,1256.0,587.000,223.000,634.000,282.000,47.000,59.000,30.463,54.682,43.739,0.796610,0.379919,0,,,,,,,,,,,,0.000000,0.379919,0.379919,,,,,,,,,,,,
6,0.208333,hammer,606.566,258.932,tracking,1,606.566,258.932,,1,610.928,255.001,1246.0,587.000,225.000,633.000,284.000,46.000,59.000,29.912,56.421,42.694,0.779661,0.398148,0,,,,,,,,,,,,0.000000,0.398148,0.398148,,,,,,,,,,,,
7,0.250000,hammer,605.897,261.206,tracking,1,605.897,261.206,,1,609.345,257.783,1264.5,586.000,228.000,631.000,288.000,45.000,60.000,30.350,55.239,42.388,0.750000,0.393725,0,,,,,,,,,,,,0.000000,0.393725,0.393725,,,,,,,,,,,,
8,0.291667,hammer,604.745,262.200,tracking,1,604.745,262.200,,1,607.479,259.510,1265.5,585.000,229.000,629.000,290.000,44.000,61.000,30.501,55.455,41.894,0.721311,0.394036,0,,,,,,,,,,,,0.000000,0.394036,0.394036,,,,,,,,,,,,
9,0.333333,hammer,603.672,263.481,tracking,1,603.672,263.481,,1,606.113,261.008,1312.0,584.000,230.000,628.000,290.000,44.000,60.000,30.108,57.170,39.915,0.733333,0.414328,0,,,,,,,,,,,,0.000000,0.414328,0.414328,,,,,,,,,,,,
10,0.375000,hammer,602.374,265.079,tracking,1,602.374,265.079,,1,604.698,262.609,1290.0,583.000,231.000,626.000,291.000,43.000,60.000,30.119,56.906,38.065,0.716667,0.419183,0,,,,,,,,,,,,0.000000,0.419183,0.419183,,,,,,,,,,,,
