frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,604.170,253.594,604.170,253.594,0.000000,0.000000,0.000000
2,603.666,254.865,603.666,254.865,0.000000,0.000000,0.000000
3,603.404,255.741,603.404,255.741,0.000000,0.000000,0.000000
4,605.009,256.880,605.009,256.880,0.000000,0.000000,0.000000
5,605.342,258.736,605.342,258.736,0.000000,0.000000,0.000000
6,606.566,258.932,606.566,258.932,0.000000,0.000000,0.000000
7,605.897,261.206,605.897,261.206,0.000000,0.000000,0.000000
8,604.745,262.200,604.745,262.200,0.000000,0.000000,0.000000
9,603.672,263.481,603.672,263.481,0.000000,0.000000,0.000000
10,602.374,265.079,602.374,265.079,0.000000,0.000000,0.000000
11,601.335,267.119,601.335,267.119,0.000000,0.000000,0.000000
12,601.856,266.637,601.856,266.637,0.000000,0.000000,0.000000
13,601.462,267.226,601.462,267.226,0.000000,0.000000,0.000000
14,601.135,267.989,601.135,267.989,0.000000,0.000000,0.000000
15,601.091,269.077,601.091,269.077,0.000000,0.000000,0.000000
16,600.872,270.252,600.872,270.252,0.000000,0.000000,0.000000
17,601.075,270.855,601.075,270.855,0.000000,0.000000,0.000000
18,601.426,271.461,601.426,271.461,0.000000,0.000000,0.000000
19,601.902,268.854,601.902,268.854,0.000000,0.000000,0.000000
20,602.532,265.220,602.532,265.220,0.000000,0.000000,0.000000
21,601.922,257.897,601.922,257.897,0.000000,0.000000,0.000000
22,603.937,245.549,603.937,245.549,0.000000,0.000000,0.000000
23,603.478,231.329,603.478,231.329,0.000000,0.000000,0.000000
24,603.303,211.536,603.303,211.536,0.000000,0.000000,0.000000
25,599.250,205.414,599.250,205.414,0.000000,0.000000,0.000000
26,599.310,184.296,599.310,184.296,0.000000,0.000000,0.000000
27,598.619,169.247,598.619,169.247,0.000000,0.000000,0.000000
28,599.039,154.817,599.039,154.817,0.000000,0.000000,0.000000
29,599.565,145.159,599.565,145.159,0.000000,0.000000,0.000000
30,600.596,139.934,600.596,139.934,0.000000,0.000000,0.000000
31,601.093,143.549,601.093,143.549,0.000000,0.000000,0.000000
32,602.122,153.714,602.122,153.714,0.000000,0.000000,0.000000
33,606.113,170.586,606.113,170.586,0.000000,0.000000,0.000000
34,612.212,193.408,612.212,193.408,0.000000,0.000000,0.000000
35,617.639,227.012,617.639,227.012,0.000000,0.000000,0.000000
36,624.508,267.044,624.508,267.044,0.000000,0.000000,0.000000
37,628.511,298.511,628.511,298.511,0.000000,0.000000,0.000000
38,628.334,298.281,628.334,298.281,0.000000,0.000000,0.000000
39,628.865,296.311,628.865,296.311,0.000000,0.000000,0.000000
40,628.880,284.053,628.880,284.053,0.000000,0.000000,0.000000
41,627.183,265.386,627.183,265.386,0.000000,0.000000,0.000000
42,625.430,242.076,625.430,242.076,0.000000,0.000000,0.000000
43,625.637,215.486,625.637,215.486,0.000000,0.000000,0.000000
44,615.967,192.671,615.967,192.671,0.000000,0.000000,0.000000
45,613.872,160.352,613.872,160.352,0.000000,0.000000,0.000000
46,610.184,133.373,610.184,133.373,0.000000,0.000000,0.000000
47,608.850,103.233,608.850,103.233,0.000000,0.000000,0.000000
48,605.741,77.280,605.741,77.280,0.000000,0.000000,0.000000
49,603.774,54.358,603.774,54.358,0.000000,0.000000,0.000000
50,598.452,54.524,598.452,54.524,0.000000,0.000000,0.000000
51,594.793,55.986,594.793,55.986,0.000000,0.000000,0.000000
52,594.096,51.306,594.096,51.306,0.000000,0.000000,0.000000
53,593.339,49.100,593.339,49.100,0.000000,0.000000,0.000000
54,593.034,48.207,593.034,48.207,0.000000,0.000000,0.000000
55,593.650,45.830,593.650,45.830,0.000000,0.000000,0.000000
56,594.201,46.765,594.201,46.765,0.000000,0.000000,0.000000
57,595.083,46.298,595.083,46.298,0.000000,0.000000,0.000000
58,595.686,48.792,595.686,48.792,0.000000,0.000000,0.000000
59,594.387,41.691,594.387,41.691,0.000000,0.000000,0.000000
60,595.518,42.004,595.518,42.004,0.000000,0.000000,0.000000
61,599.120,68.352,599.120,68.352,0.000000,0.000000,0.000000
62,603.290,110.375,603.290,110.375,0.000000,0.000000,0.000000
63,610.890,156.292,610.890,156.292,0.000000,0.000000,0.000000
64,622.858,196.755,622.858,196.755,0.000000,0.000000,0.000000
65,628.364,270.019,628.364,270.019,0.000000,0.000000,0.000000
66,628.459,295.987,628.459,295.987,0.000000,0.000000,0.000000
67,629.261,298.593,629.261,298.593,0.000000,0.000000,0.000000
68,629.336,297.984,629.336,297.984,0.000000,0.000000,0.000000
69,628.860,292.850,628.860,292.850,0.000000,0.000000,0.000000
70,627.151,286.858,627.151,286.858,0.000000,0.000000,0.000000
71,625.210,278.766,625.210,278.766,0.000000,0.000000,0.000000
72,623.978,272.287,623.978,272.287,0.000000,0.000000,0.000000
73,621.599,268.373,621.599,268.373,0.000000,0.000000,0.000000
74,618.495,265.736,618.495,265.736,0.000000,0.000000,0.000000
75,615.925,265.243,615.925,265.243,0.000000,0.000000,0.000000
76,612.937,265.466,612.937,265.466,0.000000,0.000000,0.000000
77,609.566,265.744,609.566,265.744,0.000000,0.000000,0.000000
78,606.077,268.097,606.077,268.097,0.000000,0.000000,0.000000
79,603.127,270.247,603.127,270.247,0.000000,0.000000,0.000000
80,600.624,273.140,600.624,273.140,0.000000,0.000000,0.000000
81,598.275,275.362,598.275,275.362,0.000000,0.000000,0.000000
82,596.754,276.604,596.754,276.604,0.000000,0.000000,0.000000
83,594.539,278.593,594.539,278.593,0.000000,0.000000,0.000000
84,593.236,278.375,593.236,278.375,0.000000,0.000000,0.000000
85,592.601,277.286,592.601,277.286,0.000000,0.000000,0.000000
86,591.796,276.057,591.796,276.057,0.000000,0.000000,0.000000
87,591.159,274.822,591.159,274.822,0.000000,0.000000,0.000000
88,590.553,273.118,590.553,273.118,0.000000,0.000000,0.000000
89,590.464,270.960,590.464,270.960,0.000000,0.000000,0.000000
90,590.922,268.068,590.922,268.068,0.000000,0.000000,0.000000
91,591.479,263.205,591.479,263.205,0.000000,0.000000,0.000000
92,592.851,254.084,592.851,254.084,0.000000,0.000000,0.000000
93,594.316,243.118,594.316,243.118,0.000000,0.000000,0.000000
94,596.026,230.292,596.026,230.292,0.000000,0.000000,0.000000
95,595.906,214.074,595.906,214.074,0.000000,0.000000,0.000000
96,591.756,205.321,591.756,205.321,0.000000,0.000000,0.000000
97,592.133,186.375,592.133,186.375,0.000000,0.000000,0.000000
98,592.764,164.854,592.764,164.854,0.000000,0.000000,0.000000
99,591.240,144.519,591.240,144.519,0.000000,0.000000,0.000000
100,592.310,117.947,592.310,117.947,0.000000,0.000000,0.000000
101,593.536,89.515,593.536,89.515,0.000000,0.000000,0.000000
102,592.472,69.458,592.472,69.458,0.000000,0.000000,0.000000
103,592.175,48.400,592.175,48.400,0.000000,0.000000,0.000000
104,588.443,43.624,588.443,43.624,0.000000,0.000000,0.000000
105,585.181,52.021,585.181,52.021,0.000000,0.000000,0.000000
106,583.682,52.360,583.682,52.360,0.000000,0.000000,0.000000
107,583.178,46.972,583.178,46.972,0.000000,0.000000,0.000000
108,582.789,45.340,582.789,45.340,0.000000,0.000000,0.000000
109,583.415,44.900,583.415,44.900,0.000000,0.000000,0.000000
110,584.811,40.380,584.811,40.380,0.000000,0.000000,0.000000
111,586.619,38.281,586.619,38.281,0.000000,0.000000,0.000000
112,589.108,39.410,589.108,39.410,0.000000,0.000000,0.000000
113,591.837,43.241,591.837,43.241,0.000000,0.000000,0.000000
114,593.811,45.891,593.811,45.891,0.000000,0.000000,0.000000
115,595.131,51.000,595.131,51.000,0.000000,0.000000,0.000000
116,594.879,50.857,594.879,50.857,0.000000,0.000000,0.000000
117,594.114,50.487,594.114,50.487,0.000000,0.000000,0.000000
118,598.200,71.864,598.200,71.864,0.000000,0.000000,0.000000
119,601.838,114.881,601.838,114.881,0.000000,0.000000,0.000000
120,609.003,161.526,609.003,161.526,0.000000,0.000000,0.000000
121,617.711,203.352,617.711,203.352,0.000000,0.000000,0.000000
122,627.031,277.623,627.031,277.623,0.000000,0.000000,0.000000
123,629.905,294.682,629.905,294.682,0.000000,0.000000,0.000000
124,629.477,294.895,629.477,294.895,0.000000,0.000000,0.000000
125,629.400,293.985,629.400,293.985,0.000000,0.000000,0.000000
126,629.863,284.743,629.863,284.743,0.000000,0.000000,0.000000
127,627.448,270.320,627.448,270.320,0.000000,0.000000,0.000000
128,625.905,254.952,625.905,254.952,0.000000,0.000000,0.000000
129,623.042,233.049,623.042,233.049,0.000000,0.000000,0.000000
130,621.416,209.999,621.416,209.999,0.000000,0.000000,0.000000
131,614.245,195.535,614.245,195.535,0.000000,0.000000,0.000000
132,612.264,171.880,612.264,171.880,0.000000,0.000000,0.000000
133,610.578,145.415,610.578,145.415,0.000000,0.000000,0.000000
134,607.128,123.177,607.128,123.177,0.000000,0.000000,0.000000
135,606.248,94.200,606.248,94.200,0.000000,0.000000,0.000000
136,604.581,72.989,604.581,72.989,0.000000,0.000000,0.000000
137,601.789,58.521,601.789,58.521,0.000000,0.000000,0.000000
138,597.775,54.229,597.775,54.229,0.000000,0.000000,0.000000
139,594.990,53.657,594.990,53.657,0.000000,0.000000,0.000000
140,593.863,51.374,593.863,51.374,0.000000,0.000000,0.000000
141,593.284,49.984,593.284,49.984,0.000000,0.000000,0.000000
142,592.846,47.851,592.846,47.851,0.000000,0.000000,0.000000
143,592.976,45.198,592.976,45.198,0.000000,0.000000,0.000000
144,593.357,44.342,593.357,44.342,0.000000,0.000000,0.000000
145,593.893,44.792,593.893,44.792,0.000000,0.000000,0.000000
146,594.605,44.843,594.605,44.843,0.000000,0.000000,0.000000
147,595.758,44.967,595.758,44.967,0.000000,0.000000,0.000000
148,596.707,45.688,596.707,45.688,0.000000,0.000000,0.000000
149,597.457,47.309,597.457,47.309,0.000000,0.000000,0.000000
150,598.630,50.243,598.630,50.243,0.000000,0.000000,0.000000
151,596.934,43.662,596.934,43.662,0.000000,0.000000,0.000000
152,597.249,51.281,597.249,51.281,0.000000,0.000000,0.000000
153,600.715,51.756,600.715,51.756,0.000000,0.000000,0.000000
154,604.296,89.105,604.296,89.105,0.000000,0.000000,0.000000
155,608.114,131.294,608.114,131.294,0.000000,0.000000,0.000000
156,614.194,172.137,614.194,172.137,0.000000,0.000000,0.000000
157,622.132,219.145,622.132,219.145,0.000000,0.000000,0.000000
158,627.989,286.109,627.989,286.109,0.000000,0.000000,0.000000
159,625.903,299.088,625.903,299.088,0.000000,0.000000,0.000000
160,626.079,297.717,626.079,297.717,0.000000,0.000000,0.000000
161,625.558,297.361,625.558,297.361,0.000000,0.000000,0.000000
162,624.751,292.872,624.751,292.872,0.000000,0.000000,0.000000
163,623.288,290.792,623.288,290.792,0.000000,0.000000,0.000000
164,620.785,285.853,620.785,285.853,0.000000,0.000000,0.000000
165,615.795,273.716,615.795,273.716,0.000000,0.000000,0.000000
166,611.714,268.435,611.714,268.435,0.000000,0.000000,0.000000
167,606.028,267.722,606.028,267.722,0.000000,0.000000,0.000000
168,600.658,267.096,600.658,267.096,0.000000,0.000000,0.000000
169,593.153,270.494,593.153,270.494,0.000000,0.000000,0.000000
170,584.503,274.810,584.503,274.810,0.000000,0.000000,0.000000
171,577.922,277.189,577.922,277.189,0.000000,0.000000,0.000000
172,574.272,279.355,574.272,279.355,0.000000,0.000000,0.000000
173,565.805,284.999,565.805,284.999,0.000000,0.000000,0.000000
174,559.954,289.191,559.954,289.191,0.000000,0.000000,0.000000
175,554.376,293.065,554.376,293.065,0.000000,0.000000,0.000000
176,549.313,295.096,549.313,295.096,0.000000,0.000000,0.000000
177,544.689,294.918,544.689,294.918,0.000000,0.000000,0.000000
178,540.761,294.911,540.761,294.911,0.000000,0.000000,0.000000
179,536.821,296.103,536.821,296.103,0.000000,0.000000,0.000000
180,533.102,296.877,533.102,296.877,0.000000,0.000000,0.000000
181,529.488,297.751,529.488,297.751,0.000000,0.000000,0.000000
182,525.976,297.531,525.976,297.531,0.000000,0.000000,0.000000
183,523.008,298.987,523.008,298.987,0.000000,0.000000,0.000000
184,520.563,299.807,520.563,299.807,0.000000,0.000000,0.000000
185,518.399,300.466,518.399,300.466,0.000000,0.000000,0.000000
186,517.005,302.053,517.005,302.053,0.000000,0.000000,0.000000
187,516.363,303.454,516.363,303.454,0.000000,0.000000,0.000000
188,516.508,305.384,516.508,305.384,0.000000,0.000000,0.000000
189,517.609,307.099,517.609,307.099,0.000000,0.000000,0.000000
190,519.204,307.987,519.204,307.987,0.000000,0.000000,0.000000
191,521.421,307.556,521.421,307.556,0.000000,0.000000,0.000000
192,524.502,307.495,524.502,307.495,0.000000,0.000000,0.000000
