frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
1,0.000000,-0.081758,-0.242801,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,604.170,253.594,33.686,604.170,253.594,43.824,297.418,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.201861,3.408558,3.351121,-0.057437,0.081000,0,
2,0.041667,-0.082908,-0.239901,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.666,254.865,34.262,603.666,254.865,43.824,298.689,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.005292,3.430311,3.351121,-0.079190,0.108000,0,tap
3,0.083333,-0.083506,-0.237902,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.404,255.741,36.511,603.404,255.741,43.824,299.565,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.192594,3.415983,3.351121,-0.064862,0.081000,0,
4,0.125000,-0.079844,-0.235303,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,605.009,256.880,31.631,605.009,256.880,43.824,300.704,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.185246,3.422190,3.351121,-0.071068,0.054000,0,
5,0.166667,-0.079084,-0.231068,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,605.342,258.736,30.463,605.342,258.736,43.824,302.560,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.177933,3.427806,3.351121,-0.076684,0.000000,0,
6,0.208333,-0.076291,-0.230621,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,606.566,258.932,29.912,606.566,258.932,43.824,302.756,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.169529,3.434715,3.351121,-0.083594,0.000000,0,
7,0.250000,-0.077818,-0.225432,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,605.897,261.206,30.350,605.897,261.206,43.824,305.030,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.162855,3.439126,3.351121,-0.088004,0.000000,0,
8,0.291667,-0.080446,-0.223164,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,604.745,262.200,30.501,604.745,262.200,43.824,306.024,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.157231,3.443776,3.351121,-0.092655,0.000000,0,
9,0.333333,-0.082895,-0.220241,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.672,263.481,30.108,603.672,263.481,43.824,307.305,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.153714,3.446156,3.351121,-0.095035,0.000000,0,
10,0.375000,-0.085857,-0.216595,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,602.374,265.079,30.119,602.374,265.079,43.824,308.903,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.150972,3.449345,3.351121,-0.098224,0.000000,0,
11,0.416667,-0.088227,-0.211940,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.335,267.119,29.666,601.335,267.119,43.824,310.943,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.148825,3.449460,3.351121,-0.098338,0.000000,0,
12,0.458333,-0.087039,-0.213039,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.856,266.637,29.180,601.856,266.637,43.824,310.461,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.147844,3.450427,3.351121,-0.099305,0.000000,0,
13,0.500000,-0.087938,-0.211695,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.462,267.226,29.471,601.462,267.226,43.824,311.050,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.146989,3.449582,3.351121,-0.098460,0.000000,0,
14,0.541667,-0.088684,-0.209954,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.135,267.989,29.346,601.135,267.989,43.824,311.813,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.146397,3.449671,3.351121,-0.098550,0.000000,0,
15,0.583333,-0.088784,-0.207472,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.091,269.077,29.415,601.091,269.077,43.824,312.901,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.145017,3.450200,3.351121,-0.099078,0.000000,0,
16,0.625000,-0.089284,-0.204791,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,600.872,270.252,29.770,600.872,270.252,43.824,314.076,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.143337,3.450591,3.351121,-0.099470,0.018000,0,
17,0.666667,-0.088821,-0.203415,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.075,270.855,29.585,601.075,270.855,43.824,314.679,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.141298,3.450160,3.351121,-0.099039,0.027000,0,
18,0.708333,-0.088020,-0.202032,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.426,271.461,29.841,601.426,271.461,43.824,315.285,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.032905,3.375711,3.351121,-0.024590,0.036000,0,
19,0.750000,-0.086934,-0.207981,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.902,268.854,29.841,601.902,268.854,43.824,312.678,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.138520,3.448556,3.351121,-0.097435,0.027000,0,
20,0.791667,-0.085496,-0.216273,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,602.532,265.220,30.263,602.532,265.220,43.824,309.044,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.140195,3.442983,3.351121,-0.091862,0.018000,0,
21,0.833333,-0.086888,-0.232983,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.922,257.897,30.149,601.922,257.897,43.824,301.721,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.149116,3.433902,3.351121,-0.082781,0.000000,0,
22,0.875000,-0.082290,-0.261159,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.937,245.549,31.303,603.937,245.549,43.824,289.373,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.162366,3.417846,3.351121,-0.066725,0.000000,0,
23,0.916667,-0.083337,-0.293607,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.478,231.329,32.289,603.478,231.329,43.824,275.153,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.183036,3.396406,3.351121,-0.045284,0.000000,0,
24,0.958333,-0.083737,-0.338771,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.303,211.536,35.132,603.303,211.536,43.824,255.360,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.209634,3.373133,3.351121,-0.022011,0.000000,0,
25,1.000000,-0.092985,-0.352741,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,599.250,205.414,35.430,599.250,205.414,43.824,249.238,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.239908,3.350843,3.351121,0.000278,0.000000,0,
26,1.041667,-0.092848,-0.400928,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,599.310,184.296,37.122,599.310,184.296,43.824,228.120,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.269833,3.330973,3.351121,0.020148,0.000000,0,
27,1.083333,-0.094425,-0.435268,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,598.619,169.247,41.076,598.619,169.247,43.824,213.071,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.304846,3.316735,3.351121,0.034387,0.000000,0,
28,1.125000,-0.093466,-0.468195,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,599.039,154.817,40.091,599.039,154.817,43.824,198.641,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.332934,3.307838,3.351121,0.043283,0.000000,0,
29,1.166667,-0.092266,-0.490233,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,599.565,145.159,41.741,599.565,145.159,43.824,188.983,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.349473,3.299756,3.351121,0.051365,0.000000,0,
30,1.208333,-0.089914,-0.502155,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,600.596,139.934,41.161,600.596,139.934,43.824,183.758,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.352908,3.292441,3.351121,0.058681,0.000000,0,
31,1.250000,-0.088780,-0.493907,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,601.093,143.549,40.701,601.093,143.549,43.824,187.373,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.339033,3.290332,3.351121,0.060790,0.000000,0,
32,1.291667,-0.086432,-0.470712,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,602.122,153.714,39.810,602.122,153.714,43.824,197.538,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.310694,3.293665,3.351121,0.057456,0.000000,0,
33,1.333333,-0.077325,-0.432212,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,606.113,170.586,43.238,606.113,170.586,43.824,214.410,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.267046,3.301947,3.351121,0.049175,0.000000,0,
34,1.375000,-0.063408,-0.380136,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,612.212,193.408,43.073,612.212,193.408,43.824,237.232,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.216028,3.319081,3.351121,0.032040,0.000000,0,
35,1.416667,-0.051024,-0.303457,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,617.639,227.012,39.623,617.639,227.012,43.824,270.836,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.167310,3.344712,3.351121,0.006410,0.000000,0,
36,1.458333,-0.035350,-0.212111,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,624.508,267.044,35.344,624.508,267.044,43.824,310.868,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.130974,3.373220,3.351121,-0.022098,0.364000,0,
37,1.500000,-0.026216,-0.140308,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,628.511,298.511,34.329,628.511,298.511,43.824,342.335,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,-0.111982,3.388714,3.351121,-0.037592,0.546000,0,
38,1.541667,-0.026620,-0.140833,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,628.334,298.281,33.852,628.334,298.281,43.824,342.105,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,-0.012104,3.358686,3.351121,-0.007564,0.728000,0,strike
39,1.583333,-0.025408,-0.145328,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,628.865,296.311,36.791,628.865,296.311,43.824,340.135,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,right,right_hand,right_hand,-0.114131,3.389775,3.351121,-0.038654,0.546000,0,
40,1.625000,-0.025374,-0.173299,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,628.880,284.053,32.990,628.880,284.053,43.824,327.877,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.128167,3.377954,3.351121,-0.026833,0.364000,0,
41,1.666667,-0.029246,-0.215894,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,627.183,265.386,30.233,627.183,265.386,43.824,309.210,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.150842,3.363077,3.351121,-0.011955,0.000000,0,
42,1.708333,-0.033246,-0.269084,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,625.430,242.076,31.478,625.430,242.076,43.824,285.900,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.182008,3.339848,3.351121,0.011274,0.000000,0,
43,1.750000,-0.032774,-0.329758,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,625.637,215.486,31.894,625.637,215.486,43.824,259.310,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.220465,3.319767,3.351121,0.031354,0.000000,0,
44,1.791667,-0.054839,-0.381818,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,615.967,192.671,38.243,615.967,192.671,43.824,236.495,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.265992,3.294169,3.351121,0.056953,0.000000,0,
45,1.833333,-0.059620,-0.455565,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,613.872,160.352,42.574,613.872,160.352,43.824,204.176,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.319430,3.272239,3.351121,0.078883,0.000000,0,
46,1.875000,-0.068035,-0.517127,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,610.184,133.373,38.720,610.184,133.373,43.824,177.197,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.374982,3.250234,3.351121,0.100887,0.000000,0,
47,1.916667,-0.071079,-0.585901,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,608.850,103.233,40.156,608.850,103.233,43.824,147.057,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.434578,3.235342,3.351121,0.115779,0.000000,0,
48,1.958333,-0.078174,-0.645122,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,605.741,77.280,41.958,605.741,77.280,43.824,121.104,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.488385,3.230591,3.351121,0.120530,0.000000,0,
49,2.000000,-0.082662,-0.697426,3.351121,0.707107,0.701871,0.085888,-0.000000,0.100000,gvhmr_incam,603.774,54.358,39.226,603.774,54.358,43.824,98.182,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.540732,3.227623,3.351121,0.123498,0.000000,0,
50,2.041667,-0.094806,-0.697047,3.351121,0.711650,0.697434,0.084495,0.000808,0.100000,gvhmr_incam,598.452,54.524,33.061,598.452,54.524,43.824,98.348,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.585249,3.235507,3.351121,0.115615,0.000000,0,
51,2.083333,-0.103155,-0.693711,3.351121,0.719196,0.689961,0.081904,0.001506,0.100000,gvhmr_incam,594.793,55.986,23.072,594.793,55.986,43.824,99.810,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.625939,3.246997,3.351121,0.104125,0.000000,0,
52,2.125000,-0.104746,-0.704390,3.351121,0.728672,0.680371,0.078286,0.002109,0.100000,gvhmr_incam,594.096,51.306,17.263,594.096,51.306,43.824,95.130,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.655424,3.250496,3.351121,0.100626,0.000000,0,
53,2.166667,-0.106473,-0.709424,3.351121,0.739504,0.669094,0.073743,0.003022,0.100000,gvhmr_incam,593.339,49.100,17.357,593.339,49.100,43.824,92.924,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.673243,3.250953,3.351121,0.100169,0.000000,0,
54,2.208333,-0.107169,-0.711462,3.351121,0.751080,0.656549,0.069353,0.003518,0.100000,gvhmr_incam,593.034,48.207,17.213,593.034,48.207,43.824,92.031,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.686850,3.253544,3.351121,0.097577,0.250000,0,
55,2.250000,-0.105763,-0.716886,3.351121,0.758375,0.648245,0.068095,0.002996,0.100000,gvhmr_incam,593.650,45.830,16.386,593.650,45.830,43.824,89.654,331.589,floor,ball_contact_events,0.864771,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.694103,3.253757,3.351121,0.097364,0.375000,0,
