frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.089984,-0.267228,3.688262,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,604.170,253.594,33.686,604.170,253.594,39.818,293.412,331.589,0.000130,0,0,0
2,0.041667,-0.091283,-0.264133,3.689610,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.666,254.865,34.262,603.666,254.865,39.804,294.669,331.589,0.000136,0,0,0
3,0.083333,-0.091974,-0.262028,3.690957,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.404,255.741,36.511,603.404,255.741,39.789,295.530,331.589,0.000120,0,0,0
4,0.125000,-0.087973,-0.259260,3.692305,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,605.009,256.880,31.631,605.009,256.880,39.775,296.655,331.589,0.000152,0,0,0
5,0.166667,-0.087167,-0.254687,3.693653,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,605.342,258.736,30.463,605.342,258.736,39.760,298.496,331.589,0.000199,0,0,0
6,0.208333,-0.084120,-0.254286,3.695000,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,606.566,258.932,29.912,606.566,258.932,39.746,298.678,331.589,0.000209,0,0,0
7,0.250000,-0.085834,-0.248656,3.696348,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,605.897,261.206,30.350,605.897,261.206,39.731,300.937,331.589,0.000127,0,0,0
8,0.291667,-0.088766,-0.246244,3.697695,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,604.745,262.200,30.501,604.745,262.200,39.717,301.917,331.589,0.000045,0,0,0
9,0.333333,-0.091501,-0.243107,3.699043,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.672,263.481,30.108,603.672,263.481,39.702,303.183,331.589,0.000020,0,0,0
10,0.375000,-0.094805,-0.239169,3.700391,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,602.374,265.079,30.119,602.374,265.079,39.688,304.767,331.589,0.000081,0,0,0
11,0.416667,-0.097458,-0.234115,3.701738,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.335,267.119,29.666,601.335,267.119,39.673,306.792,331.589,0.000192,0,0,0
12,0.458333,-0.096180,-0.235414,3.703086,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.856,266.637,29.180,601.856,266.637,39.659,306.296,331.589,0.000144,0,0,0
13,0.500000,-0.097209,-0.234015,3.704433,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.462,267.226,29.471,601.462,267.226,39.645,306.870,331.589,0.000033,0,0,0
14,0.541667,-0.098069,-0.232175,3.705781,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.135,267.989,29.346,601.135,267.989,39.630,307.619,331.589,0.000020,0,0,0
15,0.583333,-0.098216,-0.229513,3.707129,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.091,269.077,29.415,601.091,269.077,39.616,308.693,331.589,0.000029,0,0,0
16,0.625000,-0.098805,-0.226629,3.708476,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,600.872,270.252,29.770,600.872,270.252,39.601,309.853,331.589,0.000039,0,0,0
17,0.666667,-0.098328,-0.225188,3.709824,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.075,270.855,29.585,601.075,270.855,39.587,310.442,331.589,0.000097,0,0,0
18,0.708333,-0.097477,-0.223739,3.711172,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.426,271.461,29.841,601.426,271.461,39.573,311.033,331.589,0.000138,0,0,0
19,0.750000,-0.096309,-0.230410,3.712519,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.902,268.854,29.841,601.902,268.854,39.558,308.412,331.589,0.000129,0,0,0
20,0.791667,-0.094751,-0.239684,3.713867,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,602.532,265.220,30.263,602.532,265.220,39.544,304.764,331.589,0.000139,0,0,0
21,0.833333,-0.096328,-0.258296,3.715214,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.922,257.897,30.149,601.922,257.897,39.529,297.426,331.589,0.000257,0,0,0
22,0.875000,-0.091264,-0.289638,3.716562,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.937,245.549,31.303,603.937,245.549,39.515,285.064,331.589,0.000267,0,0,0
23,0.916667,-0.092458,-0.325744,3.717910,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.478,231.329,32.289,603.478,231.328,39.501,270.829,331.589,0.000614,0,0,0
24,0.958333,-0.092936,-0.375984,3.719257,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.303,211.536,35.132,603.303,211.537,39.487,251.024,331.589,0.001268,0,0,0
