frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
6,0.204,0.1917,audio,audio,none,none,hard,medium,1,support,support,none,,,,,,,,,,transient_support,-1,support,0.8,1.0,0,0,0.025,0.8
28,1.108,1.1184,audio,audio,tap,impulsive,soft,medium,1,object,either,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.196,0.8
49,1.992,2.1134,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.011,0.8
52,2.144,2.1134,audio+visual,audio+visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,0,right_hand,1.0,0.5,0,0,0.011,0.8
64,2.624,2.6934,audio,audio,none,none,na,medium,0,right_hand,part,none,,,,,,,,,,no_contact,-1,none,0.8,0.0,0,0,0.056,0.8
71,2.924,2.9051,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,1,right_hand,1.0,0.5,0,0,0.035,0.8
85,3.488,3.6034,audio,audio,strike,impulsive,hard,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,1.0,1,0,0.081,0.8
93,3.816,3.6817,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.038,0.8
97,3.984,3.8334,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,2,right_hand,1.0,0.5,0,0,0.015,0.8
100,4.112,4.0634,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.011,0.8
111,4.58,4.6417,audio,audio,tap,impulsive,soft,medium,0,object,either,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.034,0.8
118,4.868,4.7134,audio,audio,tap,impulsive,soft,medium,0,object,either,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.023,0.8
124,5.144,5.2584,audio,audio,none,none,na,medium,0,object,either,none,,,,,,,,,,no_contact,-1,none,0.8,0.0,0,0,0.028,0.8
130,5.368,5.3434,audio,audio,tap,impulsive,soft,medium,0,object,either,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.034,0.8
146,6.032,6.2001,audio,audio,tap,impulsive,soft,medium,1,object,either,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,1.0,0.8
149,6.184,6.2001,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,1.0,0.8
154,6.376,6.2184,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,1.0,0.8
180,7.44,7.5567,audio,audio,none,none,hard,medium,1,support,support,none,,,,,,,,,,transient_support,-1,support,0.8,1.0,0,0,0.045,0.8
184,7.64,7.4784,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.043,0.8
