frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
5,right_hand,penetration,-0.0032,0.0051,0.0000,0.77
6,right_hand,penetration,-0.0086,0.0038,0.0000,0.47
9,right_hand,penetration,-0.0007,0.0025,0.0000,0.25
11,right_hand,penetration,-0.0008,0.0013,0.0000,0.18
12,right_hand,penetration,-0.0033,0.0017,0.0000,0.29
13,right_hand,penetration,-0.0046,0.0025,0.0000,0.48
14,right_hand,penetration,-0.0049,0.0010,0.0000,0.37
15,right_hand,penetration,-0.0044,0.0010,0.0000,0.34
16,right_hand,penetration,-0.0050,0.0011,0.0000,0.41
17,right_hand,penetration,-0.0055,0.0004,0.0000,0.49
18,right_hand,penetration,-0.0057,0.0009,0.0000,0.54
19,left_hand,penetration,-0.0021,0.0010,0.0000,0.37
19,right_hand,penetration,-0.0052,0.0010,0.0000,0.37
20,left_hand,penetration,-0.0025,0.0012,0.0000,0.26
20,right_hand,penetration,-0.0054,0.0010,0.0000,0.26
21,left_hand,penetration,-0.0033,0.0015,0.0000,0.30
21,right_hand,penetration,-0.0035,0.0010,0.0000,0.30
22,left_hand,penetration,-0.0026,0.0024,0.0000,0.19
22,right_hand,penetration,-0.0009,0.0013,0.0000,0.19
23,left_hand,penetration,-0.0031,0.0019,0.0000,0.20
24,left_hand,penetration,-0.0033,0.0055,0.0000,0.30
25,left_hand,penetration,-0.0024,0.0014,0.0000,0.22
32,right_hand,penetration,-0.0018,0.0010,0.0000,0.67
33,right_hand,penetration,-0.0028,0.0007,0.0000,1.12
34,right_hand,penetration,-0.0021,0.0004,0.0000,1.44
35,right_hand,penetration,-0.0011,0.0002,0.0000,0.77
36,right_hand,penetration,-0.0019,0.0012,0.0000,0.46
38,left_hand,penetration,-0.0008,0.0009,0.0000,0.11
39,left_hand,penetration,-0.0003,0.0013,0.0000,0.06
42,right_hand,penetration,-0.0001,0.0035,0.0000,0.19
43,right_hand,penetration,-0.0039,0.0018,0.0000,0.32
44,right_hand,penetration,-0.0051,0.0010,0.0000,0.40
45,right_hand,penetration,-0.0048,0.0010,0.0000,0.49
46,right_hand,penetration,-0.0047,0.0009,0.0000,0.64
47,right_hand,penetration,-0.0044,0.0007,0.0000,0.82
48,right_hand,penetration,-0.0048,0.0009,0.0000,0.81
49,right_hand,penetration,-0.0047,0.0008,0.0000,0.90
50,right_hand,penetration,-0.0036,0.0012,0.0000,0.80
51,right_hand,penetration,-0.0012,0.0011,0.0000,0.46
57,left_hand,penetration,-0.0017,0.0039,0.0000,0.54
58,left_hand,penetration,-0.0032,0.0009,0.0000,0.92
59,left_hand,penetration,-0.0055,0.0008,0.0000,1.30
60,left_hand,penetration,-0.0042,-0.0002,0.0000,1.32
61,left_hand,penetration,-0.0054,-0.0061,0.0000,2.72
62,left_hand,penetration,-0.0051,-0.0002,0.0000,1.54
63,left_hand,penetration,-0.0059,0.0008,0.0000,1.58
63,right_hand,penetration,-0.0004,0.0014,0.0000,1.58
64,left_hand,penetration,-0.0057,0.0008,0.0000,1.47
65,left_hand,penetration,-0.0066,0.0008,0.0000,1.40
66,left_hand,penetration,-0.0056,0.0008,0.0000,1.32
67,left_hand,penetration,-0.0051,0.0009,0.0000,1.04
68,left_hand,penetration,-0.0050,0.0007,0.0000,0.94
69,left_hand,penetration,-0.0032,0.0065,0.0000,0.94
69,right_hand,penetration,-0.0057,0.0007,0.0000,0.94
70,left_hand,penetration,-0.0018,0.0048,0.0000,0.86
70,right_hand,penetration,-0.0060,0.0006,0.0000,0.86
71,right_hand,penetration,-0.0094,0.0006,0.0000,1.19
72,left_hand,penetration,-0.0009,0.0073,0.0000,1.35
72,right_hand,penetration,-0.0072,0.0008,0.0000,1.35
73,left_hand,penetration,-0.0010,0.0004,0.0000,1.65
73,right_hand,penetration,-0.0049,0.0004,0.0000,1.65
74,left_hand,penetration,-0.0051,0.0005,0.0000,2.02
