frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,0.681381,0.502775,5.462493,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,823.192,495.173,132.385,823.191,495.172,67.213,562.385,627.159,0.001213,0,0,0
2,0.041667,0.661997,0.490582,5.318357,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.802,495.468,132.677,822.803,495.469,69.035,564.503,627.159,0.001180,0,0,0
3,0.083333,0.643838,0.478306,5.174224,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.741,495.758,132.415,822.741,495.758,70.958,566.716,627.159,0.000021,0,0,0
4,0.125000,0.626649,0.466386,5.030087,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.959,496.168,131.887,822.959,496.168,72.991,569.159,627.159,0.000068,0,0,0
5,0.166667,0.608722,0.454897,4.885950,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.968,496.734,130.972,822.968,496.732,75.144,571.876,627.159,0.002292,0,0,0
6,0.208333,0.589147,0.438978,4.741817,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.468,495.950,130.673,822.467,495.957,77.428,573.386,627.159,0.007465,0,0,0
7,0.250000,0.571843,0.585930,4.597681,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.656,496.749,130.410,822.660,547.159,79.856,627.015,627.159,50.410491,1,0,0
8,0.291667,0.664183,0.494320,5.359537,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.002,495.446,129.458,821.998,495.452,68.504,563.956,627.159,0.007497,0,0,0
9,0.333333,0.659091,0.491109,5.324858,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.777,495.450,129.058,821.778,495.449,68.950,564.399,627.159,0.001853,0,0,0
10,0.375000,0.653659,0.489428,5.290178,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.462,495.870,127.908,821.462,495.870,69.402,565.272,627.159,0.000124,0,0,0
11,0.416667,0.649159,0.486951,5.255499,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.402,496.074,126.873,821.402,496.074,69.860,565.935,627.159,0.000254,0,0,0
12,0.458333,0.647154,0.489936,5.220820,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,822.043,497.818,126.970,822.043,497.818,70.324,568.142,627.159,0.000175,0,0,0
13,0.500000,0.642619,0.488129,5.186140,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.976,498.228,126.082,821.976,498.228,70.795,569.023,627.159,0.000165,0,0,0
14,0.541667,0.636011,0.482303,5.151460,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.317,497.497,125.266,821.317,497.497,71.271,568.769,627.159,0.000355,0,0,0
15,0.583333,0.633752,0.483294,5.116781,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.898,498.714,125.450,821.898,498.714,71.754,570.468,627.159,0.000246,0,0,0
16,0.625000,0.629520,0.480061,5.082102,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.916,498.726,125.925,821.916,498.726,72.244,570.970,627.159,0.000074,0,0,0
17,0.666667,0.624959,0.477276,5.047422,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.839,498.869,125.735,821.839,498.869,72.740,571.609,627.159,0.000022,0,0,0
18,0.708333,0.620819,0.474339,5.012743,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.884,498.969,126.133,821.884,498.969,73.244,572.213,627.159,0.000014,0,0,0
19,0.750000,0.616280,0.470828,4.978063,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.812,498.904,126.338,821.812,498.902,73.754,572.655,627.159,0.002433,0,0,0
20,0.791667,0.611284,0.466978,4.943384,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.604,498.723,126.761,821.603,498.732,74.271,573.003,627.159,0.009049,0,0,0
21,0.833333,0.606281,0.642474,4.908705,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.387,498.902,126.934,821.389,552.218,74.796,627.014,627.159,53.315733,1,0,0
22,0.875000,0.662273,0.507526,5.371840,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,821.061,498.744,127.148,821.058,498.752,68.347,567.100,627.159,0.008798,0,0,0
23,0.916667,0.661143,0.505765,5.369460,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,820.829,498.334,127.161,820.830,498.332,68.378,566.710,627.159,0.002042,0,0,0
24,0.958333,0.658176,0.504904,5.367080,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,820.098,498.158,127.148,820.098,498.158,68.408,566.566,627.159,0.000048,0,0,0
25,1.000000,0.654976,0.501558,5.364699,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,819.302,497.303,126.941,819.302,497.303,68.438,565.741,627.159,0.000098,0,0,0
26,1.041667,0.651509,0.495159,5.362319,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,818.432,495.612,126.568,818.432,495.612,68.469,564.080,627.159,0.000375,0,0,0
27,1.083333,0.646768,0.478493,5.359939,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,817.212,491.105,125.536,817.212,491.105,68.499,559.605,627.159,0.000431,0,0,0
28,1.125000,0.647716,0.468757,5.357559,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,817.551,488.495,125.196,817.551,488.495,68.530,557.024,627.159,0.000163,0,0,0
29,1.166667,0.647524,0.457052,5.355179,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,817.577,485.342,125.993,817.577,485.342,68.560,553.902,627.159,0.000087,0,0,0
30,1.208333,0.647681,0.441953,5.352799,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,817.699,481.255,125.469,817.699,481.255,68.591,549.846,627.159,0.000157,0,0,0
31,1.250000,0.651513,0.427737,5.350419,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,818.830,477.407,125.925,818.830,477.407,68.621,546.028,627.159,0.000126,0,0,0
32,1.291667,0.653023,0.413352,5.348039,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,819.324,473.509,125.916,819.324,473.509,68.652,542.160,627.159,0.000092,0,0,0
33,1.333333,0.654570,0.395503,5.345659,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,819.829,468.656,124.935,819.829,468.656,68.682,537.338,627.159,0.000056,0,0,0
34,1.375000,0.654585,0.375830,5.343279,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,819.913,463.297,126.142,819.913,463.297,68.713,532.010,627.159,0.000135,0,0,0
35,1.416667,0.655114,0.354703,5.340899,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,820.139,457.534,126.145,820.139,457.534,68.743,526.277,627.159,0.000295,0,0,0
36,1.458333,0.650606,0.327178,5.338519,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,818.979,450.005,126.023,818.979,450.005,68.774,518.779,627.159,0.000327,0,0,0
37,1.500000,0.645897,0.305698,5.336139,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,817.763,444.134,125.606,817.763,444.134,68.805,512.938,627.159,0.000206,0,0,0
38,1.541667,0.638644,0.281429,5.333758,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,815.845,437.489,125.926,815.845,437.489,68.835,506.324,627.159,0.000161,0,0,0
39,1.583333,0.632869,0.258236,5.331378,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,814.333,431.135,127.121,814.333,431.135,68.866,500.001,627.159,0.000127,0,0,0
40,1.625000,0.624485,0.232471,5.328998,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,812.100,424.066,127.346,812.100,424.066,68.897,492.963,627.159,0.000062,0,0,0
41,1.666667,0.616759,0.205197,5.326618,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,810.047,416.575,126.297,810.047,416.575,68.928,485.503,627.159,0.000061,0,0,0
42,1.708333,0.609059,0.179220,5.324238,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,807.999,409.435,126.593,807.999,409.435,68.958,478.393,627.159,0.000041,0,0,0
43,1.750000,0.602061,0.153379,5.321858,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,806.143,402.326,127.347,806.143,402.326,68.989,471.315,627.159,0.000027,0,0,0
44,1.791667,0.595181,0.129031,5.319478,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,804.318,395.623,127.584,804.318,395.623,69.020,464.643,627.159,0.000064,0,0,0
