frame,time,tz_initial,tz_refined,relax,is_contact
1,0.000000,4.092220,4.092220,1.000,0
2,0.041667,4.089274,4.089274,1.000,0
3,0.083333,4.086329,4.086329,0.000,1
4,0.125000,4.083383,4.083383,1.000,0
5,0.166667,4.080438,4.080438,1.000,0
6,0.208333,4.077492,4.077492,1.000,0
7,0.250000,4.074547,4.074547,1.000,0
8,0.291667,4.071601,4.071601,1.000,0
9,0.333333,4.068656,4.068656,1.000,0
10,0.375000,4.065711,4.065710,1.000,0
11,0.416667,4.062765,4.062764,0.000,1
12,0.458333,4.059820,4.059819,1.000,0
13,0.500000,4.056874,4.056873,1.000,0
14,0.541667,4.053929,4.053929,1.000,0
15,0.583333,4.050983,4.050985,1.000,0
16,0.625000,4.048038,4.048042,1.000,0
17,0.666667,4.045092,4.045101,1.000,0
18,0.708333,4.042147,4.042162,0.000,1
19,0.750000,4.039202,4.039212,1.000,0
20,0.791667,4.036256,4.036258,1.000,0
21,0.833333,4.033311,4.033297,1.000,0
22,0.875000,4.030365,4.030323,1.000,0
23,0.916667,4.027420,4.027333,1.000,0
24,0.958333,4.024474,4.024331,0.000,1
25,1.000000,4.021529,4.021281,1.000,0
26,1.041667,4.018583,4.018262,1.000,0
27,1.083333,4.015638,4.015336,1.000,0
28,1.125000,4.012693,4.012606,1.000,0
29,1.166667,4.009747,4.010211,1.000,0
30,1.208333,4.006802,4.008303,1.000,0
31,1.250000,4.003856,4.006975,1.000,0
32,1.291667,4.000911,4.006131,0.000,1
33,1.333333,3.997965,3.999534,1.000,0
34,1.375000,3.995020,3.991799,1.000,0
35,1.416667,3.992074,3.981594,1.000,0
36,1.458333,3.989129,3.967988,1.000,0
37,1.500000,3.937051,3.951360,0.000,1
38,1.541667,3.935621,3.944299,1.000,0
39,1.583333,3.934191,3.938472,1.000,0
40,1.625000,3.932761,3.934027,1.000,0
41,1.666667,3.931331,3.930577,1.000,0
42,1.708333,3.929901,3.927578,0.000,1
43,1.750000,3.928470,3.926458,1.000,0
44,1.791667,3.927040,3.925178,1.000,0
45,1.833333,3.925610,3.923828,1.000,0
46,1.875000,3.924180,3.922733,1.000,0
47,1.916667,3.922750,3.922440,1.000,0
48,1.958333,3.921320,3.923677,1.000,0
49,2.000000,3.919890,3.927208,1.000,0
50,2.041667,3.918460,3.933507,1.000,0
51,2.083333,3.952911,3.942129,0.000,1
52,2.125000,3.965583,3.959051,1.000,0
53,2.166667,3.978255,3.974997,1.000,0
54,2.208333,3.990927,3.989807,1.000,0
55,2.250000,4.003599,4.003729,1.000,0
56,2.291667,4.016272,4.017149,1.000,0
57,2.333333,4.028944,4.030439,1.000,0
58,2.375000,4.041616,4.043860,1.000,0
59,2.416667,4.054288,4.057487,0.000,1
60,2.458333,4.066960,4.068013,1.000,0
61,2.500000,4.079632,4.077933,1.000,0
62,2.541667,4.092305,4.086510,1.000,0
63,2.583333,4.104977,4.093218,1.000,0
64,2.625000,4.090332,4.098256,0.000,1
65,2.666667,4.078464,4.083407,1.000,0
66,2.708333,4.066596,4.069236,1.000,0
67,2.750000,4.054728,4.055805,1.000,0
68,2.791667,4.042860,4.042843,1.000,0
69,2.833333,4.030993,4.029948,1.000,0
70,2.875000,4.019125,4.016718,1.000,0
71,2.916667,4.007257,4.002882,1.000,0
72,2.958333,3.995389,3.988469,0.000,1
73,3.000000,3.983521,3.981375,1.000,0
74,3.041667,3.971653,3.975724,1.000,0
75,3.083333,3.959785,3.973224,1.000,0
76,3.125000,3.947917,3.975077,1.000,0
77,3.166667,3.998696,3.980803,0.000,1
78,3.208333,3.994550,3.983771,1.000,0
79,3.250000,3.990404,3.985102,1.000,0
80,3.291667,3.986257,3.984506,1.000,0
81,3.333333,3.982111,3.982356,1.000,0
82,3.375000,3.977965,3.979244,1.000,0
83,3.416667,3.973818,3.975730,0.000,1
84,3.458333,3.969672,3.970827,1.000,0
85,3.500000,3.965526,3.966085,1.000,0
86,3.541667,3.961379,3.961524,1.000,0
87,3.583333,3.957233,3.957090,1.000,0
88,3.625000,3.953087,3.952714,1.000,0
89,3.666667,3.948940,3.948344,0.000,1
90,3.708333,3.944794,3.944247,1.000,0
91,3.750000,3.940648,3.940218,1.000,0
92,3.791667,3.936501,3.936396,1.000,0
93,3.833333,3.932355,3.932970,1.000,0
94,3.875000,3.928209,3.930145,1.000,0
95,3.916667,3.924062,3.928048,1.000,0
96,3.958333,3.919916,3.926564,0.000,1
97,4.000000,3.915770,3.914660,1.000,0
98,4.041667,3.911623,3.901313,1.000,0
99,4.083333,3.907477,3.885215,1.000,0
100,4.125000,3.854599,3.866352,0.000,1
101,4.166667,3.873786,3.880054,1.000,0
102,4.208333,3.892972,3.895054,1.000,0
103,4.250000,3.912159,3.911864,1.000,0
104,4.291667,3.931346,3.930738,1.000,0
105,4.333333,3.950533,3.951966,1.000,0
106,4.375000,3.969720,3.975913,1.000,0
107,4.416667,3.988907,4.002767,1.000,0
108,4.458333,4.008093,4.031941,0.000,1
109,4.500000,4.027280,4.035535,1.000,0
110,4.541667,4.046467,4.033829,1.000,0
111,4.583333,4.065654,4.020490,1.000,0
112,4.625000,4.084841,3.990764,1.000,0
113,4.666667,3.867054,3.945545,1.000,0
114,4.708333,3.885865,3.897485,0.000,1
115,4.750000,3.904676,3.911157,1.000,0
116,4.791667,3.923487,3.926217,1.000,0
117,4.833333,3.942298,3.943244,1.000,0
118,4.875000,3.961109,3.962474,1.000,0
119,4.916667,3.979920,3.984028,1.000,0
120,4.958333,3.998731,4.007852,1.000,0
121,5.000000,4.017542,4.033381,0.000,1
122,5.041667,4.036353,4.040876,1.000,0
123,5.083333,4.055164,4.044685,1.000,0
124,5.125000,4.073975,4.040558,1.000,0
125,5.166667,4.092786,4.025555,1.000,0
126,5.208333,3.956631,4.000911,0.000,1
127,5.250000,3.959887,3.986401,1.000,0
128,5.291667,3.963143,3.975995,1.000,0
129,5.333333,3.966399,3.970486,1.000,0
130,5.375000,3.969655,3.969058,1.000,0
131,5.416667,3.972911,3.970383,1.000,0
132,5.458333,3.976166,3.973211,1.000,0
133,5.500000,3.979422,3.976605,0.000,1
134,5.541667,3.982678,3.980998,1.000,0
135,5.583333,3.985934,3.985177,1.000,0
136,5.625000,3.989190,3.989137,1.000,0
137,5.666667,3.992446,3.992968,1.000,0
138,5.708333,3.995702,3.996768,0.000,1
139,5.750000,3.998958,3.999644,1.000,0
140,5.791667,4.002214,4.002419,1.000,0
141,5.833333,4.005470,4.004905,1.000,0
142,5.875000,4.008726,4.006889,1.000,0
143,5.916667,4.011982,4.008229,1.000,0
144,5.958333,4.015237,4.009012,0.000,1
145,6.000000,4.018493,4.016601,1.000,0
146,6.041667,4.021749,4.025525,1.000,0
147,6.083333,4.025005,4.037355,1.000,0
148,6.125000,4.028261,4.053190,1.000,0
149,6.166667,4.089431,4.072585,0.000,1
150,6.208333,4.080250,4.069788,1.000,0
151,6.250000,4.071069,4.065535,1.000,0
152,6.291667,4.061888,4.059680,1.000,0
153,6.333333,4.052707,4.052768,1.000,0
154,6.375000,4.043526,4.045619,1.000,0
155,6.416667,4.034345,4.039046,1.000,0
156,6.458333,4.025164,4.033599,1.000,0
157,6.500000,4.015983,4.029244,0.000,1
158,6.541667,4.006802,4.004829,1.000,0
159,6.583333,3.997621,3.977665,1.000,0
160,6.625000,3.988440,3.945252,1.000,0
161,6.666667,3.863378,3.907581,1.000,0
162,6.708333,3.870401,3.870045,0.000,1
163,6.750000,3.877425,3.877298,1.000,0
164,6.791667,3.884449,3.884462,1.000,0
165,6.833333,3.891472,3.891462,1.000,0
166,6.875000,3.898496,3.898224,1.000,0
167,6.916667,3.905520,3.904673,1.000,0
168,6.958333,3.912543,3.910768,1.000,0
169,7.000000,3.919567,3.916576,0.000,1
170,7.041667,3.926591,3.925702,1.000,0
171,7.083333,3.933614,3.935489,1.000,0
172,7.125000,3.940638,3.946710,1.000,0
173,7.166667,3.947661,3.959903,1.000,0
174,7.208333,3.982003,3.974847,0.000,1
175,7.250000,3.969100,3.964834,1.000,0
176,7.291667,3.956196,3.953963,1.000,0
177,7.333333,3.943293,3.941913,1.000,0
178,7.375000,3.930389,3.928639,1.000,0
179,7.416667,3.917486,3.914269,1.000,0
180,7.458333,3.904582,3.899150,0.000,1
181,7.500000,3.891679,3.884965,1.000,0
182,7.541667,3.878775,3.872208,1.000,0
183,7.583333,3.865872,3.863146,1.000,0
184,7.625000,3.852968,3.860868,1.000,0
185,7.666667,3.840065,3.868801,1.000,0
186,7.708333,3.827162,3.889389,1.000,0
187,7.750000,3.972318,3.921479,1.000,0
188,7.791667,3.969309,3.956143,0.000,1
189,7.833333,3.966300,3.958523,1.000,0
190,7.875000,3.963292,3.959975,1.000,0
191,7.916667,3.960283,3.960542,1.000,0
192,7.958333,3.957274,3.960683,0.000,1
