frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,514.078,390.350,44.356,6181.0
2,0.041667,516.069,382.262,44.302,6166.0
3,0.083333,518.139,380.631,44.212,6141.0
4,0.125000,519.871,383.976,43.949,6068.0
5,0.166667,521.876,395.827,44.410,6196.0
6,0.208333,524.219,418.576,45.234,6428.0
7,0.250000,526.324,458.407,45.465,6494.0
8,0.291667,528.005,518.245,43.115,5840.0
9,0.333333,530.838,582.958,42.423,5654.0
10,0.375000,531.681,602.555,42.472,5667.0
11,0.416667,529.007,561.270,40.429,5135.0
12,0.458333,529.933,516.630,42.916,5786.0
13,0.500000,529.511,484.517,43.811,6030.0
14,0.541667,528.911,458.821,44.097,6109.0
15,0.583333,528.445,438.244,44.061,6099.0
16,0.625000,529.473,423.577,44.360,6182.0
17,0.666667,530.308,414.719,44.256,6153.0
18,0.708333,531.262,415.877,43.622,5978.0
19,0.750000,531.938,431.467,43.523,5951.0
20,0.791667,533.386,477.454,42.434,5657.0
21,0.833333,538.062,535.285,42.513,5678.0
22,0.875000,541.471,601.586,41.305,5360.0
23,0.916667,540.453,599.136,40.946,5267.0
24,0.958333,535.451,546.341,43.614,5976.0
25,1.000000,530.596,503.943,45.139,6401.0
26,1.041667,529.165,472.761,44.216,6142.0
27,1.083333,525.387,449.782,43.439,5928.0
28,1.125000,524.413,434.492,44.083,6105.0
29,1.166667,524.348,424.696,44.820,6311.0
30,1.208333,524.723,421.465,45.444,6488.0
31,1.250000,525.877,424.827,45.290,6444.0
32,1.291667,528.367,440.441,47.153,6985.0
33,1.333333,532.664,474.277,47.055,6956.0
34,1.375000,535.672,532.365,44.435,6203.0
35,1.416667,539.288,591.303,42.782,5750.0
36,1.458333,538.973,616.240,43.603,5973.0
37,1.500000,533.543,570.740,42.733,5737.0
38,1.541667,529.644,530.314,44.916,6338.0
39,1.583333,524.490,493.986,44.617,6254.0
40,1.625000,520.070,467.054,44.431,6202.0
41,1.666667,517.085,446.401,44.571,6241.0
42,1.708333,515.456,432.486,45.521,6510.0
43,1.750000,514.059,424.593,46.226,6713.0
44,1.791667,514.870,422.925,46.322,6741.0
45,1.833333,517.399,428.687,45.560,6521.0
46,1.875000,521.909,445.120,45.118,6395.0
47,1.916667,528.134,481.029,45.029,6370.0
48,1.958333,538.173,531.839,44.714,6281.0
49,2.000000,549.412,587.041,45.311,6450.0
50,2.041667,557.499,626.519,43.391,5915.0
51,2.083333,561.500,580.708,44.158,6126.0
52,2.125000,565.273,537.313,45.012,6365.0
53,2.166667,570.943,505.068,43.545,5957.0
54,2.208333,576.676,477.039,44.101,6110.0
55,2.250000,581.090,456.699,44.962,6351.0
56,2.291667,586.958,442.559,45.185,6414.0
57,2.333333,593.547,435.692,44.485,6217.0
58,2.375000,599.288,434.752,45.086,6386.0
59,2.416667,605.081,442.828,44.596,6248.0
60,2.458333,611.525,467.287,43.764,6017.0
61,2.500000,616.924,513.813,44.126,6117.0
62,2.541667,620.666,574.791,44.728,6285.0
63,2.583333,622.932,624.049,43.560,5961.0
64,2.625000,617.826,580.982,44.126,6117.0
65,2.666667,614.037,537.845,42.916,5786.0
66,2.708333,609.299,504.116,44.072,6102.0
67,2.750000,601.823,478.712,44.460,6210.0
68,2.791667,596.302,460.215,44.108,6112.0
69,2.833333,592.096,448.249,43.446,5930.0
70,2.875000,588.428,443.807,44.259,6154.0
71,2.916667,585.811,445.097,44.471,6213.0
72,2.958333,581.608,457.594,45.188,6415.0
73,3.000000,576.162,489.802,44.528,6229.0
74,3.041667,566.049,536.660,45.856,6606.0
75,3.083333,558.374,599.894,43.296,5889.0
76,3.125000,547.695,613.555,44.460,6210.0
77,3.166667,535.431,569.211,43.614,5976.0
78,3.208333,524.685,530.304,45.497,6503.0
79,3.250000,516.337,496.700,44.453,6208.0
80,3.291667,508.647,470.984,43.989,6079.0
81,3.333333,503.805,452.394,44.388,6190.0
82,3.375000,500.836,444.059,44.866,6324.0
83,3.416667,498.305,444.641,45.177,6412.0
84,3.458333,495.441,461.432,44.990,6359.0
85,3.500000,494.825,495.441,44.582,6244.0
86,3.541667,495.328,547.526,43.222,5869.0
87,3.583333,496.852,604.279,43.629,5980.0
88,3.625000,495.984,602.086,42.901,5782.0
89,3.666667,492.196,554.371,45.581,6527.0
