frame,time,contact_type,target,score,confidence,source
3,0.083333,hand_contact_event,right_hand,0.6539660777999754,0.6539660777999754,interval_highest_point
10,0.375,floor_contact_event,floor,0.48301842454558463,0.48301842454558463,rule2d_peak
17,0.666667,hand_contact_event,right_hand,0.5977371314279208,0.5977371314279208,interval_highest_point
22,0.875,floor_contact_event,floor,0.5597373377604256,0.5597373377604256,rule2d_peak
30,1.208333,hand_contact_event,right_hand,0.5813629010752372,0.5813629010752372,interval_highest_point
36,1.458333,floor_contact_event,floor,0.9516280683824972,0.9516280683824972,rule2d_peak
44,1.791667,hand_contact_event,right_hand,0.4859701910032269,0.4859701910032269,interval_highest_point
50,2.041667,floor_contact_event,floor,0.39974484616363437,0.39974484616363437,rule2d_peak
58,2.375,hand_contact_event,right_hand,0.48490762646303703,0.48490762646303703,interval_highest_point
63,2.583333,floor_contact_event,floor,0.5246516187461752,0.5246516187461752,rule2d_peak
70,2.875,hand_contact_event,right_hand,0.40274041822896123,0.40274041822896123,interval_highest_point
76,3.125,floor_contact_event,floor,0.9813389100716974,0.9813389100716974,rule2d_peak
82,3.375,hand_contact_event,right_hand,0.5086225322676401,0.5086225322676401,interval_highest_point
87,3.583333,floor_contact_event,floor,0.8020528143336548,0.8020528143336548,rule2d_peak
94,3.875,hand_contact_event,right_hand,0.5020525295589345,0.5020525295589345,interval_highest_point
99,4.083333,floor_contact_event,floor,0.9980048729172277,0.9980048729172277,rule2d_peak
107,4.416667,hand_contact_event,right_hand,0.3948162044561004,0.3948162044561004,interval_highest_point
112,4.625,floor_contact_event,floor,0.4127764792496577,0.4127764792496577,rule2d_peak
120,4.958333,hand_contact_event,right_hand,0.44372618571919664,0.44372618571919664,interval_highest_point
125,5.166667,floor_contact_event,floor,0.5837963194807689,0.5837963194807689,rule2d_peak
131,5.416667,hand_contact_event,right_hand,0.47031659617121524,0.47031659617121524,interval_highest_point
137,5.666667,floor_contact_event,floor,0.8403540229832008,0.8403540229832008,rule2d_peak
143,5.916667,hand_contact_event,right_hand,0.5215194490948356,0.5215194490948356,interval_highest_point
148,6.125,floor_contact_event,floor,0.5017728859945542,0.5017728859945542,rule2d_peak
155,6.416667,hand_contact_event,right_hand,0.4483380255320831,0.4483380255320831,interval_highest_point
161,6.666667,floor_contact_event,floor,0.4601819128299281,0.4601819128299281,interval_min_gap
168,6.958333,hand_contact_event,right_hand,0.44037423836129624,0.44037423836129624,interval_highest_point
173,7.166667,floor_contact_event,floor,0.9809175743658354,0.9809175743658354,rule2d_peak
181,7.5,hand_contact_event,right_hand,0.43668488274259165,0.43668488274259165,interval_highest_point
187,7.75,floor_contact_event,floor,1.0,1.0,interval_min_gap
192,7.958333,hand_contact_event,right_hand,0.5764220061685114,0.5764220061685114,rule2d_peak
