contact_type,target,start_frame,end_frame,start_time,end_time,peak_frame,peak_time,mean_score,max_score,num_frames
hand_contact_state,right_hand,1,7,0.0,0.25,3,0.083333,0.5860972725780067,0.6735801598941993,7
transition_contact_state,hand_floor_transition,8,9,0.291667,0.333333,8,0.291667,0.03644395195493483,0.06039477133929141,2
floor_contact_state,floor,10,10,0.375,0.375,10,0.375,0.48301842454558463,0.48301842454558463,1
hand_contact_state,right_hand,16,20,0.625,0.791667,17,0.666667,0.5914445369267947,0.7422536332910228,5
transition_contact_state,hand_floor_transition,21,21,0.833333,0.833333,21,0.833333,0.0980539208962609,0.0980539208962609,1
floor_contact_state,floor,22,23,0.875,0.916667,22,0.875,0.48319189779895105,0.5597373377604256,2
transition_contact_state,hand_floor_transition,24,25,0.958333,1.0,25,1.0,0.2501314698394736,0.39237752812035726,2
hand_contact_state,right_hand,26,33,1.041667,1.333333,30,1.208333,0.6122502378166681,0.7117615913829748,8
transition_contact_state,hand_floor_transition,34,35,1.375,1.416667,34,1.375,0.17413028376261747,0.23149979597304735,2
floor_contact_state,floor,36,36,1.458333,1.458333,36,1.458333,0.9516280683824972,0.9516280683824972,1
transition_contact_state,hand_floor_transition,37,38,1.5,1.541667,38,1.541667,0.25970233624267713,0.39006803798641254,2
hand_contact_state,right_hand,39,47,1.583333,1.916667,44,1.791667,0.548182261704166,0.6155134317916304,9
transition_contact_state,hand_floor_transition,48,49,1.958333,2.0,48,1.958333,0.18539828665430827,0.2735421297103229,2
floor_contact_state,floor,50,50,2.041667,2.041667,50,2.041667,0.39974484616363437,0.39974484616363437,1
transition_contact_state,hand_floor_transition,51,52,2.083333,2.125,52,2.125,0.2213549176952359,0.3554476898952844,2
hand_contact_state,right_hand,53,61,2.166667,2.5,58,2.375,0.514649139508351,0.6250929252911922,9
transition_contact_state,hand_floor_transition,62,62,2.541667,2.541667,62,2.541667,0.11924900894874069,0.11924900894874069,1
floor_contact_state,floor,63,63,2.583333,2.583333,63,2.583333,0.5246516187461752,0.5246516187461752,1
transition_contact_state,hand_floor_transition,64,65,2.625,2.666667,65,2.666667,0.26084447194014954,0.3999280928323615,2
hand_contact_state,right_hand,66,73,2.708333,3.0,70,2.875,0.5052360064430994,0.5737279504305576,8
transition_contact_state,hand_floor_transition,74,74,3.041667,3.041667,74,3.041667,0.3604221499544732,0.3604221499544732,1
floor_contact_state,floor,75,76,3.083333,3.125,76,3.125,0.7471707000414868,0.9813389100716974,2
transition_contact_state,hand_floor_transition,77,77,3.166667,3.166667,77,3.166667,0.18253899502565052,0.18253899502565052,1
