frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
1,0.000000,2.591619,4.113874,0.215764,3.554695,6181,0.697514,mask
2,0.041667,2.628296,4.116839,0.185618,3.628980,6169,0.689085,mask
3,0.083333,2.686345,4.122855,0.173679,3.656294,6143,0.696603,mask
4,0.125000,2.676255,4.120715,0.196050,3.596036,6072,0.711864,mask
5,0.166667,2.718340,4.136115,0.255943,3.440374,6203,0.709170,mask
6,0.208333,2.566809,4.096190,0.340603,3.221928,6427,0.773016,mask
7,0.250000,2.549854,4.088188,0.428658,2.995172,6495,0.749389,mask
8,0.291667,2.735650,4.180189,0.503919,2.801643,5838,0.637790,mask
9,0.333333,2.389802,3.995717,0.565063,2.645329,5661,0.858566,mask
10,0.375000,2.450179,4.025479,0.621380,2.502987,5675,0.804250,mask
11,0.416667,2.505569,4.059948,0.678348,2.360300,5135,0.802348,mask
12,0.458333,2.616973,4.141626,0.727721,2.237200,5789,0.723250,mask
13,0.500000,2.702589,4.209476,0.752692,2.175258,6027,0.687257,mask
14,0.541667,2.664127,4.179236,0.744448,2.195933,6105,0.639749,mask
15,0.583333,2.568336,4.104393,0.713723,2.271312,6099,0.611979,mask
16,0.625000,2.643582,4.149893,0.684258,2.341001,6183,0.576151,mask
17,0.666667,2.594687,4.109027,0.674886,2.357910,6153,0.641099,mask
18,0.708333,2.567428,4.083847,0.688851,2.315273,5972,0.677499,mask
19,0.750000,2.523622,4.047232,0.716686,2.238587,5957,0.700248,mask
20,0.791667,2.377143,3.933361,0.744054,2.164637,5658,0.739936,mask
21,0.833333,2.398933,3.943476,0.758299,2.124368,5675,0.753212,mask
22,0.875000,2.381083,3.925081,0.753364,2.131259,5362,0.934561,mask
23,0.916667,2.336501,3.887916,0.730955,2.180040,5268,0.931456,mask
24,0.958333,2.315491,3.870279,0.697788,2.254558,5980,0.822055,mask
25,1.000000,2.254732,3.828452,0.663140,2.333250,6415,0.858058,mask
26,1.041667,2.217185,3.804795,0.636548,2.393451,5870,0.851925,mask
27,1.083333,2.222477,3.807373,0.623453,2.421764,5895,0.803107,mask
28,1.125000,2.219887,3.803248,0.622580,2.421191,6099,0.792818,mask
29,1.166667,2.292533,3.846060,0.628353,2.405540,6307,0.812175,mask
30,1.208333,2.294221,3.845881,0.634069,2.391186,6605,0.780659,mask
31,1.250000,2.332729,3.870753,0.631795,2.396947,6569,0.800538,mask
32,1.291667,2.187604,3.783781,0.612724,2.443384,6748,0.797506,mask
33,1.333333,2.211956,3.806399,0.573361,2.538149,6669,0.752393,mask
34,1.375000,2.229917,3.824205,0.524180,2.655327,6169,0.889641,mask
35,1.416667,2.269568,3.847051,0.489043,2.737134,5654,0.906278,mask
36,1.458333,2.311262,3.863486,0.489312,2.732558,5947,0.912167,mask
37,1.500000,2.209749,3.802716,0.525685,2.641084,5792,0.833611,mask
38,1.541667,2.246493,3.811101,0.577455,2.513852,6414,0.860061,mask
39,1.583333,2.129838,3.731582,0.618885,2.413457,6322,0.842833,mask
40,1.625000,2.246908,3.802669,0.634602,2.376778,6227,0.812404,mask
41,1.666667,2.354852,3.874325,0.623704,2.405596,6249,0.789221,mask
42,1.708333,2.459361,3.941771,0.596893,2.473796,6393,0.754077,mask
43,1.750000,2.566871,4.006085,0.570891,2.540681,6602,0.747122,mask
44,1.791667,2.562610,4.006313,0.559414,2.572752,6643,0.772034,mask
45,1.833333,2.477825,3.963629,0.563420,2.567573,6559,0.769545,mask
46,1.875000,2.169368,3.793171,0.569238,2.558283,6477,0.826539,mask
47,1.916667,2.089774,3.756639,0.557471,2.591651,6426,0.851600,mask
48,1.958333,2.168625,3.815825,0.514666,2.699707,6275,0.893035,mask
49,2.000000,2.103739,3.809918,0.439348,2.885644,6605,0.843506,mask
50,2.041667,2.324385,3.919141,0.342280,3.123551,5903,0.886475,mask
51,2.083333,2.214524,3.904713,0.242653,3.367353,6122,0.852734,mask
52,2.125000,2.243289,3.928794,0.159730,3.570475,6211,0.813143,mask
53,2.166667,2.133153,3.929101,0.103603,3.708099,5780,0.855747,mask
54,2.208333,2.159296,3.940611,0.072562,3.783929,6268,0.858937,mask
55,2.250000,2.205088,3.946450,0.058330,3.817828,6336,0.835100,mask
56,2.291667,2.231535,3.947306,0.052803,3.829474,6399,0.820437,mask
57,2.333333,2.270642,3.946795,0.051047,3.830884,6176,0.725903,mask
58,2.375000,2.241992,3.941528,0.050889,3.827435,6456,0.770462,mask
59,2.416667,2.231588,3.936441,0.051485,3.821548,6311,0.869903,mask
60,2.458333,2.177474,3.929110,0.052401,3.815009,6120,0.864738,mask
61,2.500000,2.378487,3.936223,0.053366,3.809293,5943,0.935550,mask
62,2.541667,2.407782,3.935674,0.054378,3.804744,6093,0.774430,mask
63,2.583333,2.430685,3.935571,0.055798,3.799943,6023,0.886092,mask
64,2.625000,2.414198,3.932775,0.058372,3.791853,6260,0.792524,mask
65,2.666667,2.548989,3.937748,0.063227,3.776583,5929,0.848839,mask
66,2.708333,2.282518,3.914229,0.071618,3.750760,6183,0.863447,mask
67,2.750000,2.293156,3.906454,0.084750,3.712109,6028,0.823818,mask
68,2.791667,2.326313,3.900361,0.104067,3.658269,6002,0.822728,mask
69,2.833333,2.337675,3.892933,0.131724,3.585005,6063,0.799367,mask
70,2.875000,2.350365,3.886942,0.169205,3.489249,6264,0.785179,mask
71,2.916667,2.323139,3.874445,0.213206,3.379138,6477,0.686836,mask
72,2.958333,2.281755,3.857849,0.252879,3.280842,6425,0.725596,mask
73,3.000000,2.210595,3.834092,0.274467,3.227356,6154,0.764605,mask
74,3.041667,2.256267,3.846473,0.271394,3.234136,6397,0.908207,mask
75,3.083333,2.235920,3.844678,0.248689,3.288630,5848,0.905750,mask
76,3.125000,2.391700,3.884080,0.216903,3.365314,6149,0.931846,mask
77,3.166667,2.125564,3.836161,0.184938,3.443063,5962,0.840900,mask
78,3.208333,2.232190,3.862041,0.159996,3.504899,6453,0.880689,mask
79,3.250000,2.253345,3.869319,0.151208,3.528595,6131,0.886631,mask
80,3.291667,2.258070,3.869151,0.170712,3.483672,6056,0.834918,mask
81,3.333333,2.473705,3.909531,0.229124,3.342744,6182,0.821982,mask
82,3.375000,2.482559,3.915172,0.325548,3.106979,6318,0.782182,mask
83,3.416667,2.482730,3.917946,0.440683,2.823849,6412,0.789302,mask
84,3.458333,2.392584,3.870885,0.544405,2.568351,6348,0.731473,mask
