frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
1,0.000000,0.306603,0.000000,0.306603,0.000000,0.000000,0.000000,
2,0.041667,0.409416,0.000000,0.383592,0.000000,0.000000,0.025824,
3,0.083333,0.563058,0.000000,0.465939,0.000000,0.000000,0.097119,
4,0.125000,0.477291,0.000000,0.444694,0.000000,0.000000,0.032597,
5,0.166667,0.475675,0.000000,0.447538,0.000000,0.000000,0.028137,
6,0.208333,0.423286,0.000000,0.382662,0.000000,0.000000,0.040624,
7,0.250000,0.389009,0.000000,0.362173,0.000000,0.000000,0.026836,
8,0.291667,0.517714,0.000000,0.473205,0.000000,0.000000,0.044509,
9,0.333333,0.368143,0.000000,0.233521,0.000000,0.000000,0.134622,
10,0.375000,0.436508,0.000000,0.279529,0.000000,0.000000,0.156979,
11,0.416667,0.351360,0.000000,0.338043,0.000000,0.000000,0.013317,
12,0.458333,0.471044,0.000000,0.444681,0.000000,0.000000,0.026363,
13,0.500000,0.500395,0.000000,0.483138,0.000000,0.000000,0.017257,
14,0.541667,0.492285,0.000000,0.478776,0.000000,0.000000,0.013509,
15,0.583333,0.410134,0.000000,0.395626,0.000000,0.000000,0.014508,
16,0.625000,0.461614,0.000000,0.439389,0.000000,0.000000,0.022225,
17,0.666667,0.423967,0.000000,0.395630,0.000000,0.000000,0.028337,
18,0.708333,0.426797,0.000000,0.389014,0.000000,0.000000,0.037783,
19,0.750000,0.451807,0.000000,0.370259,0.000000,0.000000,0.081548,
20,0.791667,0.286411,0.000000,0.264374,0.000000,0.000000,0.022037,
21,0.833333,0.304214,0.000000,0.290304,0.000000,0.000000,0.013910,
22,0.875000,0.448259,0.000000,0.282396,0.000000,0.000000,0.165863,
23,0.916667,0.378388,0.000000,0.250427,0.000000,0.000000,0.127961,
24,0.958333,0.276646,0.000000,0.237580,0.000000,0.000000,0.039066,
25,1.000000,0.223694,0.000000,0.201380,0.000000,0.000000,0.022314,
26,1.041667,0.204923,0.000000,0.184117,0.000000,0.000000,0.020806,
27,1.083333,0.252881,0.000000,0.235036,0.000000,0.000000,0.017845,
28,1.125000,0.280505,0.000000,0.261151,0.000000,0.000000,0.019354,
29,1.166667,0.295784,0.000000,0.284306,0.000000,0.000000,0.011478,
30,1.208333,0.297471,0.000000,0.278002,0.000000,0.000000,0.019469,
31,1.250000,0.312325,0.000000,0.273747,0.000000,0.000000,0.038578,
32,1.291667,0.189358,0.000000,0.157662,0.000000,0.000000,0.031696,
33,1.333333,0.178845,0.000000,0.098939,0.000000,0.000000,0.079906,
34,1.375000,0.170185,0.000000,0.144875,0.000000,0.000000,0.025310,
35,1.416667,0.214767,0.000000,0.117633,0.000000,0.000000,0.097134,
36,1.458333,0.345510,0.000000,0.146624,0.000000,0.020800,0.178086,
37,1.500000,0.062671,0.000000,0.049321,0.000000,0.000000,0.013350,
38,1.541667,0.151339,0.000000,0.132994,0.000000,0.000000,0.018345,
39,1.583333,0.092673,0.000000,0.069979,0.000000,0.000000,0.022694,
40,1.625000,0.151672,0.000000,0.133968,0.000000,0.000000,0.017704,
41,1.666667,0.253206,0.000000,0.232826,0.000000,0.000000,0.020380,
42,1.708333,0.346423,0.000000,0.331353,0.000000,0.000000,0.015070,
43,1.750000,0.433080,0.000000,0.418346,0.000000,0.000000,0.014734,
44,1.791667,0.444396,0.000000,0.418325,0.000000,0.000000,0.026071,
45,1.833333,0.387174,0.000000,0.355653,0.000000,0.000000,0.031521,
46,1.875000,0.217380,0.000000,0.178809,0.000000,0.000000,0.038571,
47,1.916667,0.117450,0.000000,0.081515,0.000000,0.000000,0.035935,
48,1.958333,0.156449,0.000000,0.133578,0.000000,0.000000,0.022871,
49,2.000000,0.100460,0.000000,0.033038,0.000000,0.000000,0.067422,
50,2.041667,0.690226,0.000000,0.241625,0.000000,0.259250,0.189351,
51,2.083333,0.324792,0.000000,0.292561,0.000000,0.000000,0.032231,
52,2.125000,0.235253,0.000000,0.211823,0.000000,0.000000,0.023430,
53,2.166667,0.095771,0.000000,0.076647,0.000000,0.000000,0.019124,
54,2.208333,0.110329,0.000000,0.081798,0.000000,0.000000,0.028531,
55,2.250000,0.183938,0.000000,0.168365,0.000000,0.000000,0.015573,
56,2.291667,0.228820,0.000000,0.206967,0.000000,0.000000,0.021853,
57,2.333333,0.286587,0.000000,0.273487,0.000000,0.000000,0.013100,
58,2.375000,0.331675,0.000000,0.307177,0.000000,0.000000,0.024498,
59,2.416667,0.309960,0.000000,0.237720,0.000000,0.000000,0.072240,
60,2.458333,0.138992,0.000000,0.086466,0.000000,0.000000,0.052526,
61,2.500000,0.275537,0.000000,0.234371,0.000000,0.000000,0.041166,
62,2.541667,0.258109,0.000000,0.223635,0.000000,0.000000,0.034474,
63,2.583333,0.489422,0.000000,0.205158,0.000000,0.075800,0.208464,
64,2.625000,0.257245,0.000000,0.139896,0.000000,0.000000,0.117349,
65,2.666667,0.386407,0.000000,0.343170,0.000000,0.000000,0.043237,
66,2.708333,0.192277,0.000000,0.171786,0.000000,0.000000,0.020491,
67,2.750000,0.369932,0.000000,0.270291,0.000000,0.000000,0.099641,
68,2.791667,0.321193,0.000000,0.302457,0.000000,0.000000,0.018736,
69,2.833333,0.316283,0.000000,0.300256,0.000000,0.000000,0.016027,
70,2.875000,0.321995,0.000000,0.306037,0.000000,0.000000,0.015958,
71,2.916667,0.322336,0.000000,0.289724,0.000000,0.000000,0.032612,
72,2.958333,0.319338,0.000000,0.273538,0.000000,0.000000,0.045800,
73,3.000000,0.206177,0.000000,0.166027,0.000000,0.000000,0.040150,
74,3.041667,0.240889,0.000000,0.197898,0.000000,0.000000,0.042991,
75,3.083333,0.306487,0.000000,0.187648,0.000000,0.000000,0.118839,
76,3.125000,0.498812,0.000000,0.301239,0.000000,0.053000,0.144573,
77,3.166667,0.150247,0.000000,0.140622,0.000000,0.000000,0.009625,
78,3.208333,0.168546,0.000000,0.147930,0.000000,0.000000,0.020616,
79,3.250000,0.175587,0.000000,0.153193,0.000000,0.000000,0.022394,
80,3.291667,0.159030,0.000000,0.141289,0.000000,0.000000,0.017741,
81,3.333333,0.358055,0.000000,0.327606,0.000000,0.000000,0.030449,
82,3.375000,0.360709,0.000000,0.327702,0.000000,0.000000,0.033007,
83,3.416667,0.377644,0.000000,0.345935,0.000000,0.000000,0.031709,
84,3.458333,0.320588,0.000000,0.277798,0.000000,0.000000,0.042790,
85,3.500000,0.305168,0.000000,0.254150,0.000000,0.000000,0.051018,
86,3.541667,0.320623,0.000000,0.287467,0.000000,0.000000,0.033156,
87,3.583333,0.397491,0.000000,0.235042,0.000000,0.000000,0.162449,
88,3.625000,0.341877,0.000000,0.239832,0.000000,0.000000,0.102045,
89,3.666667,0.211583,0.000000,0.189087,0.000000,0.000000,0.022496,
90,3.708333,0.236541,0.000000,0.211517,0.000000,0.000000,0.025024,
91,3.750000,0.261651,0.000000,0.244006,0.000000,0.000000,0.017645,
92,3.791667,0.299152,0.000000,0.275964,0.000000,0.000000,0.023188,
93,3.833333,0.342203,0.000000,0.330617,0.000000,0.000000,0.011586,
94,3.875000,0.374889,0.000000,0.313135,0.000000,0.000000,0.061754,
