event,audio_time,audio_frame,peak,prominence
bounce 1,0.432000,10,5.997018,5.826910
bounce 2,0.976000,23,6.264126,6.144071
bounce 3,1.504000,36,5.779471,5.600362
bounce 4,2.112000,51,6.176434,6.056096
bounce 5,2.656000,64,6.082538,5.875283
bounce 6,3.184000,76,4.799191,4.637489
bounce 7,3.680000,88,5.015184,4.889118
bounce 8,4.160000,100,5.402902,5.192590
bounce 9,4.704000,113,5.646087,5.484465
bounce 10,5.248000,126,5.540432,5.358434
bounce 11,5.728000,137,5.353706,5.168212
bounce 12,6.208000,149,5.095335,4.929704
bounce 13,6.704000,161,4.473051,4.285479
bounce 14,7.248000,174,6.203244,6.004911
bounce 15,7.808000,187,5.337222,5.123981
