frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
1,0.000000,0.026645,-0.136527,4.168832,0.301103,-0.084385,4.109968,-0.314519,-0.087883,3.737025,-0.345961,0.738531,4.026817,1.050141,0.876315
2,0.041667,0.024816,-0.135240,4.168911,0.301292,-0.084833,4.109005,-0.310854,-0.086399,3.734311,-0.337781,0.759612,4.033671,1.061686,0.897818
3,0.083333,0.022425,-0.134110,4.166042,0.299479,-0.085761,4.103064,-0.308436,-0.080847,3.731636,-0.331495,0.764983,4.040524,1.061039,0.900761
4,0.125000,0.019382,-0.132957,4.167694,0.295135,-0.087188,4.102288,-0.307291,-0.068678,3.740064,-0.328828,0.756919,4.047377,1.051123,0.881201
5,0.166667,0.016906,-0.131940,4.167323,0.292257,-0.087728,4.100169,-0.306722,-0.045080,3.753964,-0.319928,0.725005,4.054230,1.018536,0.826660
6,0.208333,0.016161,-0.130649,4.161879,0.290008,-0.088588,4.092365,-0.302012,-0.010681,3.769780,-0.315497,0.663176,4.061083,0.965797,0.734250
7,0.250000,0.016756,-0.128313,4.162306,0.286990,-0.088650,4.089858,-0.295230,0.034904,3.803383,-0.316620,0.562032,4.067936,0.887814,0.590178
8,0.291667,0.018481,-0.125279,4.159181,0.285261,-0.088581,4.085968,-0.287782,0.067910,3.830977,-0.309785,0.390166,4.074789,0.763809,0.404694
9,0.333333,0.023594,-0.121052,4.154306,0.287803,-0.085921,4.081058,-0.278099,0.089301,3.852461,-0.306092,0.209265,4.081642,0.663208,0.260190
10,0.375000,0.031293,-0.116835,4.157969,0.293711,-0.081021,4.084691,-0.272389,0.098195,3.872549,-0.306122,0.120237,4.088495,0.632708,0.219673
11,0.416667,0.041542,-0.113151,4.169802,0.303621,-0.072947,4.096459,-0.270515,0.095526,3.885405,-0.310632,0.281743,4.109686,0.709427,0.294258
