frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,513.847,388.459,515.333,381.658,1.486278,-6.800635,6.961154
2,517.041,381.280,517.145,375.974,0.104175,-5.306494,5.307516
3,519.478,379.743,518.960,378.022,-0.517948,-1.720809,1.797068
4,520.628,383.106,520.778,387.825,0.150225,4.719167,4.721557
5,524.193,395.050,522.600,405.404,-1.592866,10.354328,10.476131
6,526.081,417.918,524.425,430.780,-1.655951,12.862457,12.968615
7,525.746,454.762,526.254,463.976,0.507679,9.214130,9.228105
8,528.398,517.203,528.085,505.012,-0.312669,-12.190652,12.194661
9,529.901,582.494,529.921,553.910,0.019721,-28.584068,28.584075
10,530.000,599.500,526.808,611.823,-3.191951,12.322703,12.729397
11,529.000,557.000,527.683,557.939,-1.316814,0.939313,1.617501
12,530.000,515.500,528.555,513.235,-1.444543,-2.265013,2.686445
13,530.371,484.292,529.424,477.656,-0.946881,-6.635537,6.702755
14,529.000,458.856,530.290,451.155,1.289570,-7.701325,7.808546
15,529.042,438.000,531.152,433.679,2.109829,-4.320599,4.808218
16,529.778,423.168,532.011,425.180,2.232914,2.011651,3.005436
17,530.030,413.418,532.867,425.607,2.837219,12.189080,12.514931
18,530.821,414.977,533.720,434.912,2.899005,19.935188,20.144874
19,531.994,429.713,534.570,453.046,2.575669,23.333214,23.474943
20,534.182,476.567,535.416,479.961,1.234227,3.393753,3.611215
21,538.406,534.935,536.260,515.607,-2.146304,-19.327623,19.446429
22,541.000,602.500,537.100,559.939,-3.899531,-42.560862,42.739131
23,539.800,601.000,528.730,611.934,-11.070116,10.934394,15.559834
24,534.738,547.007,529.041,559.338,-5.697113,12.330954,13.583428
25,529.500,503.500,529.354,515.152,-0.145570,11.651937,11.652846
26,527.411,470.277,529.670,479.464,2.258695,9.187088,9.460671
27,524.197,446.770,529.987,452.362,5.790161,5.591992,8.049617
28,523.407,431.722,530.307,433.933,6.899776,2.211039,7.245385
29,523.932,422.845,530.629,424.268,6.697026,1.423442,6.846630
30,524.500,419.750,530.953,423.459,6.453083,3.708810,7.442953
31,526.536,423.280,531.279,431.597,4.743431,8.316724,9.574342
32,529.979,439.374,531.608,448.776,1.629415,9.402132,9.542279
33,534.500,472.500,531.939,475.091,-2.560655,2.591026,3.642851
34,535.008,532.830,532.273,510.639,-2.735434,-22.191185,22.359144
35,538.971,590.980,532.608,555.517,-6.362825,-35.462664,36.028961
36,537.498,615.445,521.020,611.326,-16.477705,-4.119451,16.984835
37,533.000,570.441,522.081,563.239,-10.918958,-7.202395,13.080449
38,532.519,530.242,523.147,522.299,-9.371712,-7.942885,12.284886
39,524.545,492.597,524.219,488.564,-0.325843,-4.032927,4.046069
40,519.683,465.867,525.297,462.089,5.613652,-3.778386,6.766778
