frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.353463,0.085205,4.122310,1.000000,0.000000,0.000000,0.000000,0.129864,shared_fullimg_cam,514.076,390.355,46.265,4.113874,0.697514,L1
2,0.041667,-0.354955,0.051145,4.118218,1.000000,0.000000,0.000000,0.000000,0.130503,shared_fullimg_cam,513.419,378.239,46.539,4.116839,0.689085,L1
3,0.083333,-0.351498,0.044369,4.113961,1.000000,0.000000,0.000000,0.000000,0.130408,shared_fullimg_cam,514.522,375.839,46.553,4.122855,0.696603,L1
4,0.125000,-0.346574,0.051614,4.109349,1.000000,0.000000,0.000000,0.000000,0.127466,shared_fullimg_cam,516.141,378.446,45.554,4.120715,0.711864,L1
5,0.166667,-0.337412,0.094529,4.104366,1.000000,0.000000,0.000000,0.000000,0.131923,shared_fullimg_cam,519.269,393.824,47.204,4.136115,0.709170,L1
6,0.208333,-0.330287,0.167739,4.099223,1.000000,0.000000,0.000000,0.000000,0.134764,shared_fullimg_cam,521.670,420.095,48.281,4.096190,0.773016,L1
7,0.250000,-0.326435,0.284748,4.094770,1.000000,0.000000,0.000000,0.000000,0.143311,shared_fullimg_cam,522.923,462.126,51.399,4.088188,0.749389,L1
8,0.291667,-0.320477,0.430280,4.091788,1.000000,0.000000,0.000000,0.000000,0.127662,shared_fullimg_cam,524.976,514.434,45.820,4.180189,0.637790,L1
9,0.333333,-0.308786,0.623860,4.090905,1.000000,0.000000,0.000000,0.000000,0.127256,shared_fullimg_cam,529.148,583.961,45.684,3.995717,0.858566,L1
10,0.375000,-0.311061,0.673383,4.094185,1.000000,0.000000,0.000000,0.000000,0.128852,shared_fullimg_cam,528.421,601.546,46.220,4.025479,0.804250,L1
11,0.416667,-0.314250,0.552242,4.100916,1.000000,0.000000,0.000000,0.000000,0.124691,shared_fullimg_cam,527.462,557.767,44.654,4.059948,0.802348,L1
12,0.458333,-0.310342,0.440157,4.108618,1.000000,0.000000,0.000000,0.000000,0.126489,shared_fullimg_cam,529.070,517.332,45.213,4.141626,0.723250,L1
13,0.500000,-0.319783,0.352097,4.113763,1.000000,0.000000,0.000000,0.000000,0.127032,shared_fullimg_cam,525.838,485.698,45.350,4.209476,0.687257,L1
14,0.541667,-0.318382,0.279256,4.113501,1.000000,0.000000,0.000000,0.000000,0.128133,shared_fullimg_cam,526.331,459.700,45.746,4.179236,0.639749,L1
15,0.583333,-0.313690,0.220554,4.106781,1.000000,0.000000,0.000000,0.000000,0.126553,shared_fullimg_cam,527.823,438.871,45.256,4.104393,0.611979,L1
16,0.625000,-0.314009,0.176609,4.093628,1.000000,0.000000,0.000000,0.000000,0.129551,shared_fullimg_cam,527.348,423.359,46.477,4.149893,0.576151,L1
17,0.666667,-0.307127,0.156161,4.074032,1.000000,0.000000,0.000000,0.000000,0.130060,shared_fullimg_cam,529.287,416.293,46.884,4.109027,0.641099,L1
18,0.708333,-0.301379,0.158665,4.048732,1.000000,0.000000,0.000000,0.000000,0.126035,shared_fullimg_cam,530.680,417.553,45.717,4.083847,0.677499,L1
19,0.750000,-0.291288,0.202002,4.019042,1.000000,0.000000,0.000000,0.000000,0.127445,shared_fullimg_cam,533.560,433.814,46.570,4.047232,0.700248,L1
20,0.791667,-0.287657,0.333314,3.986920,1.000000,0.000000,0.000000,0.000000,0.122232,shared_fullimg_cam,534.040,482.778,45.025,3.933361,0.739936,L1
21,0.833333,-0.282288,0.487305,3.954873,1.000000,0.000000,0.000000,0.000000,0.121255,shared_fullimg_cam,535.175,540.956,45.027,3.943476,0.753212,L1
22,0.875000,-0.269704,0.652820,3.924239,1.000000,0.000000,0.000000,0.000000,0.118937,shared_fullimg_cam,539.066,604.311,44.511,3.925081,0.934561,L1
23,0.916667,-0.270033,0.639004,3.896095,1.000000,0.000000,0.000000,0.000000,0.115055,shared_fullimg_cam,538.213,600.868,43.369,3.887916,0.931456,L1
24,0.958333,-0.279966,0.488783,3.871552,1.000000,0.000000,0.000000,0.000000,0.119792,shared_fullimg_cam,533.800,545.411,45.441,3.870279,0.822055,L1
25,1.000000,-0.291262,0.382168,3.851436,1.000000,0.000000,0.000000,0.000000,0.126222,shared_fullimg_cam,528.938,505.726,48.130,3.828452,0.858058,L1
26,1.041667,-0.300441,0.300305,3.836539,1.000000,0.000000,0.000000,0.000000,0.121151,shared_fullimg_cam,524.993,474.955,46.376,3.804795,0.851925,L1
27,1.083333,-0.310532,0.241180,3.826974,1.000000,0.000000,0.000000,0.000000,0.120127,shared_fullimg_cam,520.833,452.553,46.099,3.807373,0.803107,L1
28,1.125000,-0.312822,0.199455,3.821932,1.000000,0.000000,0.000000,0.000000,0.121583,shared_fullimg_cam,519.796,436.642,46.719,3.803248,0.792818,L1
29,1.166667,-0.310609,0.177832,3.820097,1.000000,0.000000,0.000000,0.000000,0.122018,shared_fullimg_cam,520.589,428.366,46.909,3.846060,0.812175,L1
30,1.208333,-0.311363,0.168085,3.819686,1.000000,0.000000,0.000000,0.000000,0.124973,shared_fullimg_cam,520.286,424.626,48.050,3.845881,0.780659,L1
31,1.250000,-0.309224,0.175034,3.819602,1.000000,0.000000,0.000000,0.000000,0.124520,shared_fullimg_cam,521.106,427.299,47.877,3.870753,0.800538,L1
32,1.291667,-0.304962,0.222749,3.819384,1.000000,0.000000,0.000000,0.000000,0.128516,shared_fullimg_cam,522.738,445.650,49.416,3.783781,0.797506,L1
33,1.333333,-0.281038,0.297388,3.819880,1.000000,0.000000,0.000000,0.000000,0.131050,shared_fullimg_cam,531.951,474.335,50.384,3.806399,0.752393,L1
34,1.375000,-0.291752,0.448485,3.821033,1.000000,0.000000,0.000000,0.000000,0.121918,shared_fullimg_cam,527.866,532.374,46.859,3.824205,0.889641,L1
35,1.416667,-0.280527,0.613550,3.822481,1.000000,0.000000,0.000000,0.000000,0.119934,shared_fullimg_cam,532.221,595.727,46.079,3.847051,0.906278,L1
36,1.458333,-0.277912,0.676193,3.823963,1.000000,0.000000,0.000000,0.000000,0.118442,shared_fullimg_cam,533.267,619.694,45.488,3.863486,0.912167,L1
37,1.500000,-0.295058,0.555894,3.826023,1.000000,0.000000,0.000000,0.000000,0.116706,shared_fullimg_cam,526.743,573.378,44.797,3.802716,0.833611,L1
38,1.541667,-0.306631,0.447219,3.830518,1.000000,0.000000,0.000000,0.000000,0.126086,shared_fullimg_cam,522.439,531.462,48.341,3.811101,0.860061,L1
39,1.583333,-0.308958,0.354987,3.838659,1.000000,0.000000,0.000000,0.000000,0.123785,shared_fullimg_cam,521.798,495.812,47.358,3.731582,0.842833,L1
40,1.625000,-0.320987,0.284294,3.851084,1.000000,0.000000,0.000000,0.000000,0.122237,shared_fullimg_cam,517.592,468.415,46.615,3.802669,0.812404,L1
41,1.666667,-0.336804,0.231312,3.865429,1.000000,0.000000,0.000000,0.000000,0.124409,shared_fullimg_cam,512.037,447.883,47.267,3.874325,0.789221,L1
42,1.708333,-0.342396,0.196963,3.878060,1.000000,0.000000,0.000000,0.000000,0.124718,shared_fullimg_cam,510.336,434.589,47.230,3.941771,0.754077,L1
43,1.750000,-0.349226,0.178107,3.885560,1.000000,0.000000,0.000000,0.000000,0.125951,shared_fullimg_cam,508.005,427.318,47.605,4.006085,0.747122,L1
44,1.791667,-0.344940,0.170776,3.885949,1.000000,0.000000,0.000000,0.000000,0.125834,shared_fullimg_cam,509.638,424.541,47.556,4.006313,0.772034,L1
45,1.833333,-0.328938,0.187855,3.879910,1.000000,0.000000,0.000000,0.000000,0.126764,shared_fullimg_cam,515.492,431.106,47.982,3.963629,0.769545,L1
46,1.875000,-0.313524,0.238419,3.870955,1.000000,0.000000,0.000000,0.000000,0.129220,shared_fullimg_cam,521.052,450.454,49.025,3.793171,0.826539,L1
47,1.916667,-0.294998,0.329894,3.864555,1.000000,0.000000,0.000000,0.000000,0.127338,shared_fullimg_cam,527.895,485.366,48.391,3.756639,0.851600,L1
48,1.958333,-0.271511,0.459625,3.864078,1.000000,0.000000,0.000000,0.000000,0.131254,shared_fullimg_cam,536.808,534.688,49.885,3.815825,0.893035,L1
49,2.000000,-0.240058,0.613317,3.869807,1.000000,0.000000,0.000000,0.000000,0.126969,shared_fullimg_cam,548.897,592.756,48.185,3.809918,0.843506,L1
50,2.041667,-0.223419,0.699890,3.880481,1.000000,0.000000,0.000000,0.000000,0.118116,shared_fullimg_cam,555.445,624.880,44.702,3.919141,0.886475,L1
51,2.083333,-0.207858,0.588243,3.893147,1.000000,0.000000,0.000000,0.000000,0.122570,shared_fullimg_cam,561.590,581.902,46.237,3.904713,0.852734,L1
52,2.125000,-0.201298,0.479299,3.906067,1.000000,0.000000,0.000000,0.000000,0.127315,shared_fullimg_cam,564.316,540.207,47.868,3.928794,0.813143,L1
53,2.166667,-0.182067,0.388480,3.917840,1.000000,0.000000,0.000000,0.000000,0.119736,shared_fullimg_cam,571.752,505.622,44.883,3.929101,0.855747,L1
54,2.208333,-0.162479,0.317847,3.927668,1.000000,0.000000,0.000000,0.000000,0.125289,shared_fullimg_cam,579.247,478.847,46.847,3.940611,0.858937,L1
55,2.250000,-0.153654,0.265857,3.935079,1.000000,0.000000,0.000000,0.000000,0.125788,shared_fullimg_cam,582.655,459.220,46.945,3.946450,0.835100,L1
56,2.291667,-0.134138,0.226775,3.939986,1.000000,0.000000,0.000000,0.000000,0.126682,shared_fullimg_cam,590.001,444.529,47.220,3.947306,0.820437,L1
57,2.333333,-0.120050,0.210790,3.942618,1.000000,0.000000,0.000000,0.000000,0.124531,shared_fullimg_cam,595.282,438.518,46.387,3.946795,0.725903,L1
58,2.375000,-0.101971,0.208603,3.943402,1.000000,0.000000,0.000000,0.000000,0.128000,shared_fullimg_cam,602.024,437.688,47.670,3.941528,0.770462,L1
59,2.416667,-0.089309,0.233209,3.942851,1.000000,0.000000,0.000000,0.000000,0.126278,shared_fullimg_cam,606.735,446.864,47.035,3.936441,0.869903,L1
60,2.458333,-0.069212,0.298666,3.941436,1.000000,0.000000,0.000000,0.000000,0.125497,shared_fullimg_cam,614.211,471.285,46.761,3.929110,0.864738,L1
61,2.500000,-0.058791,0.419227,3.939433,1.000000,0.000000,0.000000,0.000000,0.124433,shared_fullimg_cam,618.083,516.286,46.388,3.936223,0.935550,L1
62,2.541667,-0.055076,0.580938,3.936748,1.000000,0.000000,0.000000,0.000000,0.123579,shared_fullimg_cam,619.454,576.719,46.101,3.935674,0.774430,L1
63,2.583333,-0.051059,0.702144,3.933176,1.000000,0.000000,0.000000,0.000000,0.124007,shared_fullimg_cam,620.935,622.173,46.303,3.935571,0.886092,L1
64,2.625000,-0.071708,0.601576,3.928487,1.000000,0.000000,0.000000,0.000000,0.125938,shared_fullimg_cam,613.193,584.890,47.080,3.932775,0.792524,L1
65,2.666667,-0.068926,0.474972,3.922524,1.000000,0.000000,0.000000,0.000000,0.123501,shared_fullimg_cam,614.194,537.831,46.239,3.937748,0.848839,L1
