frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
1,0.000000,-0.345961,0.077972,4.026817,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.847,388.459,46.265,513.826,388.437,43.765,432.202,657.784,0.030527,0,0
2,0.041667,-0.337781,0.058282,4.033671,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.041,381.280,46.539,517.018,381.220,43.690,424.910,657.784,0.064441,0,0
3,0.083333,-0.331495,0.054300,4.040524,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.478,379.743,46.553,519.512,379.736,43.616,423.353,657.784,0.034528,0,0
4,0.125000,-0.328828,0.063756,4.047377,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.628,383.106,45.554,520.684,383.134,43.542,426.676,657.784,0.062182,0,0
5,0.166667,-0.319928,0.097056,4.054230,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.193,395.050,47.204,524.109,395.158,43.469,438.627,657.784,0.136475,0,0
6,0.208333,-0.315497,0.160276,4.061083,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.081,417.918,48.281,525.907,417.961,43.395,461.356,657.784,0.178808,0,0
7,0.250000,-0.316620,0.262810,4.067936,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.746,454.762,51.399,525.694,454.880,43.322,498.202,657.784,0.128565,0,0
8,0.291667,-0.309785,0.436067,4.074789,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.398,517.203,45.820,528.350,517.164,43.249,560.413,657.784,0.062261,0,0
9,0.333333,-0.306092,0.618356,4.081642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.901,582.494,45.684,529.866,582.489,43.177,625.666,657.784,0.035429,0,0
10,0.375000,-0.306122,0.708773,4.088495,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.000,599.500,46.220,530.040,614.594,43.105,657.699,657.784,15.094145,1,1
11,0.416667,-0.310632,0.551566,4.109686,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.000,557.000,44.654,528.995,557.103,42.882,599.985,657.784,0.103371,0,0
12,0.458333,-0.307436,0.435191,4.106100,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.000,515.500,45.213,530.041,515.652,42.920,558.572,657.784,0.157655,0,0
13,0.500000,-0.306525,0.347474,4.102513,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.371,484.292,45.350,530.271,484.387,42.957,527.345,657.784,0.138134,0,0
14,0.541667,-0.309589,0.275705,4.098927,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.000,458.856,45.746,529.077,458.782,42.995,501.777,657.784,0.106787,0,0
15,0.583333,-0.309227,0.217338,4.095340,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.042,438.000,45.256,529.110,437.938,43.032,480.971,657.784,0.091732,0,0
16,0.625000,-0.307333,0.175972,4.091754,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.778,423.168,46.477,529.692,423.159,43.070,466.230,657.784,0.085941,0,0
