frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,active_hand,active_hand_z,floor_window_weight,contact_depth_gap
1,0.000000,-0.330547,0.074568,3.848048,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.847,388.459,46.265,513.847,388.459,45.798,434.257,657.784,0.000000,0,0,right,3.667256,0.000000,0.180792
2,0.041667,-0.322190,0.055760,3.848186,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.041,381.280,46.539,517.041,381.280,45.796,427.076,657.784,0.000000,0,0,right,3.663545,0.000000,0.184641
3,0.083333,-0.316130,0.051786,3.852161,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.478,379.743,46.553,519.478,379.743,45.749,425.492,657.784,0.000000,0,0,right,3.660486,0.000000,0.191675
4,0.125000,-0.312426,0.060474,3.843703,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.628,383.106,45.554,520.628,383.106,45.850,428.956,657.784,0.000000,0,0,right,3.669440,0.000000,0.174262
5,0.166667,-0.298192,0.090250,3.781515,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.193,395.050,47.204,524.193,395.050,46.604,441.654,657.784,0.000000,0,0,right,3.685719,0.000000,0.095795
6,0.208333,-0.287523,0.146180,3.706642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.081,417.918,48.281,526.081,417.918,47.545,465.463,657.784,0.000000,0,0,right,3.706092,0.000000,0.000550
7,0.250000,-0.285811,0.237051,3.673779,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.746,454.762,51.399,525.746,454.762,47.970,502.732,657.784,0.000000,0,0,right,3.749129,0.084658,-0.075349
8,0.291667,-0.285508,0.402167,3.757082,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.398,517.203,45.820,528.398,517.203,46.907,564.110,657.784,0.000000,0,0,right,3.786225,0.333740,-0.029144
9,0.333333,-0.284810,0.575559,3.799063,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.901,582.494,45.684,529.901,582.494,46.388,628.882,657.784,0.000000,0,0,right,3.815989,0.760067,-0.016926
10,0.375000,-0.284910,0.620326,3.803814,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.000,599.500,46.220,530.000,599.500,46.330,645.830,657.784,0.000000,1,1,right,3.840481,1.000000,-0.036667
11,0.416667,-0.292284,0.518739,3.867118,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.000,557.000,44.654,529.000,557.000,45.572,602.572,657.784,0.000000,0,0,right,3.852963,0.760067,0.014155
12,0.458333,-0.292803,0.413917,3.909195,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.000,515.500,45.213,530.000,515.500,45.082,560.582,657.784,0.000000,0,0,right,3.847499,0.333740,0.061695
13,0.500000,-0.292905,0.332081,3.923795,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.371,484.292,45.350,530.371,484.292,44.914,529.206,657.784,0.000000,0,0,right,3.813038,0.084658,0.110757
14,0.541667,-0.296065,0.263674,3.917144,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.000,458.856,45.746,529.000,458.856,44.990,503.846,657.784,0.000000,0,0,right,3.785596,0.000000,0.131549
15,0.583333,-0.294726,0.207183,3.900903,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.042,438.000,45.256,529.042,438.000,45.177,483.177,657.784,0.000000,0,0,right,3.755041,0.000000,0.145863
