frame,time,ball_center_x,ball_center_y,source
1,0.000000,513.500,390.500,cotracker_box_center
2,0.041667,514.167,384.082,cotracker_box_center
3,0.083333,514.694,382.633,cotracker_tb_center
4,0.125000,516.095,385.087,cotracker_tb_center
5,0.166667,519.269,393.824,cotracker_center_fallback
6,0.208333,521.670,420.095,cotracker_center_fallback
7,0.250000,522.923,462.126,cotracker_center_fallback
8,0.291667,524.976,514.434,cotracker_center_fallback
9,0.333333,529.148,583.961,cotracker_center_fallback
10,0.375000,528.421,601.546,cotracker_center_fallback
11,0.416667,527.462,557.767,cotracker_center_fallback
12,0.458333,529.070,517.332,cotracker_center_fallback
13,0.500000,525.838,485.698,cotracker_center_fallback
14,0.541667,526.331,459.700,cotracker_center_fallback
15,0.583333,527.823,438.871,cotracker_center_fallback
16,0.625000,527.348,423.359,cotracker_center_fallback
17,0.666667,529.287,416.293,cotracker_center_fallback
18,0.708333,530.680,417.553,cotracker_center_fallback
19,0.750000,533.560,433.814,cotracker_center_fallback
20,0.791667,534.040,482.778,cotracker_center_fallback
21,0.833333,535.175,540.956,cotracker_center_fallback
22,0.875000,539.066,604.311,cotracker_center_fallback
23,0.916667,538.213,600.868,cotracker_center_fallback
24,0.958333,533.800,545.411,cotracker_center_fallback
25,1.000000,528.938,505.726,cotracker_center_fallback
26,1.041667,524.993,474.955,cotracker_center_fallback
27,1.083333,520.833,452.553,cotracker_center_fallback
28,1.125000,519.796,436.642,cotracker_center_fallback
29,1.166667,520.589,428.366,cotracker_center_fallback
30,1.208333,520.286,424.626,cotracker_center_fallback
31,1.250000,521.106,427.299,cotracker_center_fallback
32,1.291667,522.738,445.650,cotracker_center_fallback
33,1.333333,531.500,474.500,cotracker_box_center
34,1.375000,527.866,532.374,cotracker_center_fallback
35,1.416667,532.221,595.727,cotracker_center_fallback
36,1.458333,533.267,619.694,cotracker_center_fallback
37,1.500000,526.743,573.378,cotracker_center_fallback
38,1.541667,522.439,531.462,cotracker_center_fallback
39,1.583333,521.798,495.812,cotracker_center_fallback
40,1.625000,517.592,468.415,cotracker_center_fallback
41,1.666667,512.037,447.883,cotracker_center_fallback
42,1.708333,510.336,434.589,cotracker_center_fallback
43,1.750000,508.005,427.318,cotracker_center_fallback
44,1.791667,509.638,424.541,cotracker_center_fallback
