frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,514.076,390.355,1.000000,470.000,390.355,1.000000,557.000,390.355,1.000000,514.076,347.000,1.000000,514.076,434.000,1.000000
2,0.041667,513.419,378.239,1.000000,471.747,383.992,1.000000,556.587,385.740,1.000000,513.784,339.994,1.000000,513.712,428.170,1.000000
3,0.083333,514.521,375.840,1.000000,473.509,383.851,1.000000,557.568,386.047,0.000000,514.595,339.132,1.000000,514.793,426.136,1.000000
4,0.125000,516.140,378.447,1.000000,475.193,386.841,0.000000,558.922,389.183,0.000000,515.667,342.199,1.000000,516.523,427.976,1.000000
5,0.166667,519.267,393.827,1.000000,477.304,397.041,0.000000,560.818,398.016,0.000000,517.756,352.317,1.000000,520.525,438.400,0.000000
6,0.208333,521.669,420.097,1.000000,479.215,417.469,0.000000,562.066,416.106,0.000000,522.149,371.656,1.000000,522.378,461.936,0.000000
7,0.250000,522.922,462.128,0.000000,481.432,457.718,0.000000,561.810,451.832,0.000000,527.279,397.355,1.000000,522.556,501.369,0.000000
8,0.291667,524.975,514.435,0.000000,484.793,508.809,0.000000,566.090,509.403,0.000000,533.623,415.551,0.000000,523.510,553.426,0.000000
9,0.333333,529.147,583.962,0.000000,490.697,574.216,0.000000,567.864,578.728,0.000000,536.049,426.834,0.000000,527.549,626.644,0.000000
10,0.375000,528.420,601.547,0.000000,491.991,592.164,0.000000,568.521,598.141,0.000000,534.291,443.335,0.000000,527.407,635.216,0.000000
11,0.416667,527.461,557.767,0.000000,488.538,544.576,0.000000,567.104,548.462,0.000000,534.143,432.812,0.000000,526.137,591.072,0.000000
12,0.458333,529.069,517.333,0.000000,490.213,509.229,0.000000,565.973,513.062,0.000000,533.245,420.747,0.000000,525.785,551.874,0.000000
13,0.500000,525.838,485.698,0.000000,487.545,477.052,0.000000,564.417,479.108,0.000000,528.511,407.758,0.000000,523.564,520.379,0.000000
14,0.541667,526.331,459.701,0.000000,487.880,451.807,0.000000,564.291,452.621,0.000000,526.843,392.715,0.000000,524.501,495.510,0.000000
15,0.583333,527.822,438.871,0.000000,487.388,431.170,0.000000,565.577,433.236,0.000000,527.446,378.683,0.000000,525.126,474.874,0.000000
16,0.625000,527.347,423.360,0.000000,486.410,416.728,0.000000,565.331,417.594,0.000000,527.805,370.530,0.000000,525.446,461.324,0.000000
17,0.666667,529.286,416.294,0.000000,487.828,409.524,0.000000,567.477,411.292,0.000000,530.562,370.201,1.000000,527.757,453.519,0.000000
18,0.708333,530.678,417.554,0.000000,489.467,410.288,0.000000,567.941,413.474,0.000000,532.800,374.229,0.000000,528.748,454.034,0.000000
