frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,653.487,838.931,34.132,3660.0
2,0.041667,653.233,839.072,34.531,3746.0
3,0.083333,653.256,839.067,34.503,3740.0
4,0.125000,653.109,839.112,34.568,3754.0
5,0.166667,653.106,839.099,34.591,3759.0
6,0.208333,653.058,839.051,34.549,3750.0
7,0.250000,653.173,839.127,34.549,3750.0
8,0.291667,653.155,839.075,34.545,3749.0
9,0.333333,653.169,839.136,34.531,3746.0
10,0.375000,653.105,839.109,34.568,3754.0
11,0.416667,653.853,839.155,34.216,3678.0
12,0.458333,653.036,839.145,34.623,3766.0
13,0.500000,653.793,839.268,34.346,3706.0
14,0.541667,653.809,839.270,34.332,3703.0
15,0.583333,653.122,839.171,34.568,3754.0
16,0.625000,653.132,839.199,34.623,3766.0
17,0.666667,653.854,839.206,34.263,3688.0
18,0.708333,653.887,839.208,34.263,3688.0
19,0.750000,653.901,839.185,34.244,3684.0
20,0.791667,653.899,839.204,34.263,3688.0
21,0.833333,653.869,839.253,34.295,3695.0
22,0.875000,653.869,839.249,34.309,3698.0
23,0.916667,653.869,839.249,34.309,3698.0
24,0.958333,653.885,839.295,34.281,3692.0
25,1.000000,653.874,839.256,34.304,3697.0
26,1.041667,653.890,839.255,34.286,3693.0
27,1.083333,653.878,839.209,34.277,3691.0
28,1.125000,653.865,839.208,34.286,3693.0
29,1.166667,653.887,839.244,34.272,3690.0
30,1.208333,653.859,839.224,34.295,3695.0
31,1.250000,653.885,839.252,34.332,3703.0
32,1.291667,653.895,839.283,34.328,3702.0
33,1.333333,653.860,839.272,34.351,3707.0
34,1.375000,653.862,839.271,34.341,3705.0
35,1.416667,653.876,839.276,34.369,3711.0
36,1.458333,653.886,839.279,34.420,3722.0
37,1.500000,653.042,839.242,34.738,3791.0
38,1.541667,653.026,839.240,34.742,3792.0
39,1.583333,653.023,839.145,34.609,3763.0
40,1.625000,653.913,839.023,34.216,3678.0
41,1.666667,654.075,838.884,34.104,3654.0
42,1.708333,653.990,839.139,34.258,3687.0
43,1.750000,652.673,839.417,34.802,3805.0
44,1.791667,652.620,839.407,34.811,3807.0
45,1.833333,652.598,839.397,34.857,3817.0
46,1.875000,652.691,839.416,34.889,3824.0
47,1.916667,652.671,839.419,34.907,3828.0
48,1.958333,652.728,839.408,34.902,3827.0
49,2.000000,652.676,839.403,34.884,3823.0
50,2.041667,653.472,839.448,34.623,3766.0
51,2.083333,652.783,839.559,34.834,3812.0
52,2.125000,684.835,787.162,35.409,3939.0
53,2.166667,683.943,787.488,35.892,4047.0
54,2.208333,699.989,710.705,38.642,4691.0
55,2.250000,711.891,639.637,37.057,4314.0
56,2.291667,716.789,583.728,38.896,4753.0
57,2.333333,722.382,531.696,39.473,4895.0
58,2.375000,727.059,480.492,38.896,4753.0
59,2.416667,726.152,480.269,39.324,4858.0
60,2.458333,729.330,437.106,39.554,4915.0
61,2.500000,731.852,401.555,39.638,4936.0
62,2.541667,733.737,369.975,39.251,4840.0
63,2.583333,735.926,343.459,38.543,4667.0
64,2.625000,736.178,343.398,39.186,4824.0
65,2.666667,738.722,322.575,39.170,4820.0
66,2.708333,740.103,305.678,39.271,4845.0
67,2.750000,741.378,295.202,40.236,5086.0
68,2.791667,741.538,295.386,39.894,5000.0
69,2.833333,743.076,290.705,39.546,4913.0
70,2.875000,743.556,290.875,39.766,4968.0
71,2.916667,743.893,294.412,39.758,4966.0
72,2.958333,745.916,303.832,39.918,5006.0
73,3.000000,746.705,318.100,40.949,5268.0
74,3.041667,746.657,318.097,40.038,5036.0
75,3.083333,748.221,337.058,39.746,4963.0
76,3.125000,748.210,359.376,41.182,5328.0
77,3.166667,748.049,387.852,39.822,4982.0
78,3.208333,748.763,419.852,40.794,5228.0
79,3.250000,748.711,419.855,40.089,5049.0
80,3.291667,748.857,456.192,39.778,4971.0
81,3.333333,748.584,495.533,39.682,4947.0
82,3.375000,748.424,543.183,39.425,4883.0
83,3.416667,748.525,543.040,39.834,4985.0
84,3.458333,747.296,592.468,39.186,4824.0
85,3.500000,750.368,643.549,37.864,4504.0
86,3.541667,751.866,698.094,39.542,4912.0
87,3.583333,754.339,720.939,36.927,4284.0
88,3.625000,749.380,693.600,40.437,5137.0
89,3.666667,749.890,693.224,39.758,4966.0
90,3.708333,750.669,669.608,39.400,4877.0
91,3.750000,748.445,646.298,35.847,4037.0
92,3.791667,747.966,632.663,38.580,4676.0
93,3.833333,745.650,624.158,39.986,5023.0
94,3.875000,745.642,624.008,39.882,4997.0
95,3.916667,743.271,619.682,39.235,4836.0
96,3.958333,743.480,622.441,39.380,4872.0
97,4.000000,741.277,626.420,40.267,5094.0
98,4.041667,741.678,626.554,39.610,4929.0
99,4.083333,740.018,636.956,39.786,4973.0
100,4.125000,739.640,653.458,39.890,4999.0
101,4.166667,741.767,680.770,39.222,4833.0
102,4.208333,740.726,707.349,40.727,5211.0
103,4.250000,738.613,736.363,41.834,5498.0
104,4.291667,738.601,736.392,41.547,5423.0
105,4.333333,738.853,706.482,40.622,5184.0
106,4.375000,738.219,679.241,39.360,4867.0
107,4.416667,735.411,654.756,38.823,4735.0
108,4.458333,730.422,634.618,40.184,5073.0
109,4.500000,730.314,634.468,40.105,5053.0
110,4.541667,729.811,621.226,40.770,5222.0
111,4.583333,725.956,610.884,40.579,5173.0
112,4.625000,723.707,608.370,40.145,5063.0
113,4.666667,723.683,608.720,40.938,5265.0
114,4.708333,722.299,610.355,40.248,5089.0
115,4.750000,721.083,616.426,38.921,4759.0
116,4.791667,718.767,627.330,38.386,4629.0
117,4.833333,718.293,627.449,38.543,4667.0
118,4.875000,714.902,646.712,39.846,4988.0
119,4.916667,714.843,646.829,40.053,5040.0
