frame,time,anchor_type,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
1,0.0,foot,654.057,841.01,563.1279925877352,848.1105294402523,451.54973530592986,868.9832165892426,1,1,center,center,91.20582167445014,204.43016680574047,91.20582167445014,46.544821674450134,113.51377258669704,0.0,0.0,left,center,0.5857169518688013,0.0,0.0,0.0,0.14642923796720034,0,0
2,0.033333,foot,653.609,840.7,560.3073989970363,848.0530908657933,449.15211342409117,869.1668665599193,1,1,center,center,93.59090070619499,206.4291184887789,93.59090070619499,48.86190070619499,113.14278162951827,0.0,0.0,left,center,0.554603101642696,0.0,0.016590778472638613,0.0,0.14196893110520173,0,0
3,0.066667,foot,653.609,840.7,558.5615723850367,847.5608154057958,447.39724310118197,869.2879244569692,1,1,center,center,95.29472327602458,208.18395257092854,95.29472327602458,50.56472327602459,113.26771549232758,0.0,0.0,left,center,0.5318964353384739,0.0,0.0021212521024561084,0.0,0.13339835925510968,0,0
4,0.1,foot,653.565,840.754,559.2050377553448,847.0144779797677,447.26117678634375,869.5934204272342,1,1,center,center,94.56741542068237,208.30981648292604,94.56741542068237,49.820415420682366,114.19823400864415,0.0,0.0,left,center,0.541800337401274,0.052232130199454115,0.0021212521024561084,0.0,0.14370915430072784,0,0
5,0.133333,foot,653.565,840.754,559.3413128336663,846.2429006147952,445.6429389368611,870.0721277030602,1,1,center,center,94.38342679293982,209.97889438883286,94.38342679293982,49.636426792939815,116.16863729252319,0.0,0.0,left,center,0.5442538675002568,0.012911482648600045,0.007443656213257437,0.0,0.1394889205150057,0,0
6,0.166667,foot,653.41,840.943,560.9764655688258,845.3929771318124,445.1103398110066,870.2490858469248,1,1,center,center,92.54058884572063,210.35112336880312,92.54058884572063,47.73058884572063,118.50225836913093,0.0,0.0,left,center,0.5697709914410091,0.13374301383994266,0.007615108648611771,0.0,0.164027221665966,0,0
7,0.2,foot,653.414,840.939,564.2227532390948,845.2896661822383,445.4864270688789,870.5457034821861,1,1,center,center,89.29729444386292,210.02483775998675,89.29729444386292,44.48829444386293,121.39267923765522,0.0,0.0,left,center,0.6134273640131509,0.22752943170931267,0.00017226889930208934,0.0,0.18752070953954506,0,0
8,0.233333,foot,653.414,840.939,566.2075549484406,845.4523858591524,445.1693297377807,870.5689454605368,1,1,center,center,87.3231625082615,210.34204610732212,87.3231625082615,42.514162508261506,123.61672026209206,0.0,0.0,left,center,0.6400013830124542,0.13853557442816983,0.005902959804120834,0.0,0.18196127387816322,0,0
9,0.266667,foot,653.396,841.132,569.9254456878894,845.8497801252724,445.8735480672474,870.6084545576316,1,1,center,center,83.60377315935821,209.60541364542505,83.60377315935821,38.85777315935821,126.49847929097722,0.0,0.0,left,center,0.6887882624146151,0.25658872623882784,0.010194567953856194,0.0,0.21272428813024918,0,0
10,0.3,foot,653.099,841.51,573.4284082346223,846.3821051110941,446.00527630162355,870.7184668323343,1,1,center,center,79.8194249569553,209.14335975582654,79.8194249569553,34.9514249569553,129.7263005463482,0.0,0.0,left,center,0.7396115598243929,0.2741296984142393,0.008328025422893844,0.0,0.22768794980281287,0,0
11,0.333333,foot,652.971,841.673,575.7352843386093,846.9508785443879,445.8968483445134,870.7335241989923,1,1,center,center,77.41583672386746,209.10336762127886,77.41583672386746,32.49383672386746,131.99861247651586,0.0,0.0,left,center,0.7705092942002452,0.1724623321465151,0.001973823114329452,0.0,0.21889143799490443,0,0
12,0.366667,foot,652.883,841.785,577.1664714437582,847.9106957652984,446.1273341416313,871.1093095284555,1,1,center,center,75.96391804809167,208.82485602499068,75.96391804809167,31.00391804809167,133.0767868015222,0.0,0.0,left,center,0.7887199734297545,0.1045556965456695,0.042822261626604914,0.0,0.22142780016461006,0,0
13,0.4,foot,653.963,841.114,577.8509557688078,848.7762706043386,446.2833965767502,871.5391220740455,1,1,center,center,76.49675593033382,209.89641667083998,76.49675593033382,31.80475593033382,133.5221705889607,0.0,0.0,left,center,0.778984928767976,0.0,0.04227298767880733,0.0,0.20320082972775547,0,0
14,0.433333,foot,653.951,841.3,576.8337069712206,848.6894577213549,445.2144691850534,871.1602712811427,1,1,center,center,77.47051677575358,210.86150691305087,77.47051677575358,32.85951677575358,133.5236354262809,0.0,0.0,left,center,0.765976027353957,0.0,0.019691708545866993,0.0,0.19543234854766264,0,0
15,0.466667,foot,653.408,841.117,577.536377568862,848.5151294539778,445.8854523877276,870.9358593584184,1,1,center,center,76.23145944917347,209.6539342366964,76.23145944917347,31.49045944917347,133.54645345532967,0.0,0.0,left,center,0.7828206893283011,0.0960741983564991,0.017449880770099076,0.0,0.21360627823956993,0,0
16,0.5,foot,653.408,841.117,578.7572142913516,847.5906852425811,447.1383431006693,870.2552286085121,1,1,center,center,74.93095760457463,208.31756460704295,74.93095760457463,30.18995760457463,133.5560136403284,0.0,0.0,left,center,0.7984800319745705,0.09126328734026956,0.0,0.0,0.21330950109468305,0,0
17,0.533333,foot,653.408,841.117,579.8451109350078,846.5784440717971,448.4168465345337,870.2252622585906,1,1,center,center,73.76534429484971,207.04749196939636,73.76534429484971,29.024344294849712,133.5386112466361,0.0,0.0,left,center,0.8122045175211609,0.0817974252438539,0.0,0.0,0.2153207431668683,0,0
18,0.566667,foot,653.408,841.117,580.5022485129134,845.7233460818916,449.0723478618759,870.3076697575782,1,1,center,center,73.05112609756942,206.41015947769733,73.05112609756942,28.310126097569423,133.70941535932505,0.0,0.0,left,center,0.8204583282826757,0.050120575247739566,0.0011085105449994775,0.0,0.21285437046682976,0,0
19,0.6,foot,653.443,841.127,579.5751105810588,845.5122287414358,447.44139561437987,869.9103976602835,1,1,center,center,73.99794131138813,208.00275236236553,73.99794131138813,29.22794131138813,134.3673668622265,0.0,0.0,left,center,0.8098295426434292,0.0,0.0011085105449994775,0.0,0.20267908776985719,0,0
20,0.633333,foot,653.443,841.127,580.4675415247928,845.7217209864391,445.7783347553308,869.290070202092,1,1,center,center,73.1199630785596,209.56567398882024,73.1199630785596,28.349963078559604,136.73569213975497,0.0,0.0,left,center,0.8200011936122759,0.06161250756691404,0.0,0.0,0.21424217453810607,0,0
21,0.666667,foot,653.443,841.127,580.6282539241911,845.5655039036524,442.19007310077404,867.9791518842678,1,1,center,center,72.94989762149955,212.95266418691617,72.94989762149955,28.179897621499542,140.24086966892375,0.0,0.0,left,center,0.8219500015829349,0.011934418039302591,0.022096214597356858,0.0,0.21169690602110047,0,0
22,0.7,foot,654.165,841.055,579.9241419193459,845.4055890073246,438.5321551150598,866.470677793955,1,1,center,center,74.36822327622517,217.1254947510743,74.36822327622517,29.82422327622517,142.9525512121138,0.0,0.0,left,center,0.8028191955368,0.0,0.021896878133969108,0.0,0.20508417451099384,0,0
23,0.733333,foot,654.171,841.049,579.1495713543584,845.8326742426315,434.76752325529765,866.1260984886197,1,1,center,center,75.17378728847389,220.83194170289565,75.17378728847389,30.63078728847389,145.8012307249399,0.0,0.0,left,center,0.7932114365675613,0.0,0.022498493023179373,0.0,0.2028025577465262,0,0
24,0.766667,foot,653.443,841.127,578.8220697536185,846.024287007489,429.81398416089894,865.3603298309818,1,1,center,center,74.78145927212874,224.93819373299425,74.78145927212874,30.01145927212874,150.25741953088104,0.0,0.0,left,center,0.8006014497145869,0.04346161518211582,0.022296763703113922,0.0,0.21112895744658688,0,0
25,0.8,foot,653.443,841.127,578.6154130711238,845.8375882373027,425.3832559444711,864.6807802634846,1,1,center,center,74.9757121149238,229.27282312427232,74.9757121149238,30.20571211492379,154.3863979223,0.0,0.0,left,center,0.7982924596620938,0.0,0.006333152193274679,0.0,0.2008397453541784,0,0
26,0.833333,foot,653.643,841.184,577.8387842414008,845.6974932808291,420.1453840244909,864.6053083440811,1,1,center,center,75.9384668555558,234.6693298042905,75.9384668555558,31.0004668555558,158.82290119008866,0.0,0.0,left,center,0.7887616479761265,0.0,0.006333152193274679,0.0,0.19845704243268655,0,0
27,0.866667,foot,653.643,841.184,577.3269693465104,846.0905313231265,415.98657737001633,866.1991673247801,1,1,center,center,76.47359403303334,238.9693156318781,76.47359403303334,31.535594033033334,162.58868141717537,0.0,0.0,left,center,0.7822710417530115,0.0,0.0,0.0,0.19556776043825289,0,0
