frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
1,0.000000,4.981895,6.683131,0.016709,6.599890,4231,0.547791,obs_disk
2,0.033333,5.011082,6.680306,0.013978,6.610263,4243,0.556579,obs_disk
3,0.066667,5.029510,6.674510,0.007735,6.635608,4243,0.557891,obs_disk
4,0.100000,5.039474,6.666143,-0.001327,6.672832,4242,0.548554,obs_disk
5,0.133333,5.043815,6.656797,-0.011118,6.712876,4247,0.550434,obs_disk
6,0.166667,5.051714,6.648378,-0.019213,6.745439,4262,0.545697,obs_disk
7,0.200000,5.018638,6.643458,-0.023816,6.762982,4260,0.546226,obs_disk
8,0.233333,5.033764,6.640580,-0.024205,6.762422,4259,0.545586,obs_disk
9,0.266667,5.057395,6.640218,-0.020914,6.745991,4244,0.546683,obs_disk
10,0.300000,5.046648,6.642237,-0.015691,6.721423,4270,0.548114,obs_disk
11,0.333333,5.014316,6.645027,-0.010624,6.698300,4288,0.548370,obs_disk
12,0.366667,5.010133,6.647866,-0.006537,6.680619,4302,0.542652,obs_disk
13,0.400000,5.060026,6.651753,-0.002331,6.663548,4229,0.552284,obs_disk
14,0.433333,5.058691,6.657979,0.003595,6.639794,4209,0.554059,obs_disk
15,0.466667,5.047020,6.666012,0.011492,6.608010,4241,0.554711,obs_disk
16,0.500000,4.995729,6.673956,0.020369,6.572198,4244,0.558594,obs_disk
17,0.533333,4.991676,6.682228,0.029789,6.533533,4247,0.560507,obs_disk
18,0.566667,5.035594,6.691986,0.040666,6.487207,4242,0.559302,obs_disk
19,0.600000,5.033050,6.700314,0.053690,6.430090,4250,0.560169,obs_disk
20,0.633333,5.024991,6.708002,0.067579,6.368416,4250,0.559993,obs_disk
21,0.666667,5.027796,6.715014,0.079659,6.314505,4252,0.555196,obs_disk
22,0.700000,4.969993,6.713986,0.087405,6.279584,4196,0.562715,obs_disk
23,0.733333,4.969565,6.714013,0.088795,6.272741,4198,0.567062,obs_disk
24,0.766667,4.993901,6.712364,0.082724,6.299250,4249,0.557153,obs_disk
25,0.800000,5.018625,6.707143,0.070588,6.352889,4248,0.557816,obs_disk
26,0.833333,4.969714,6.695549,0.056735,6.413595,4285,0.559537,obs_disk
27,0.866667,4.937923,6.686448,0.046879,6.454964,4284,0.565486,obs_disk
28,0.900000,4.976778,6.683378,0.046664,6.451144,4285,0.563319,obs_disk
29,0.933333,4.986231,6.683927,0.060807,6.380731,4279,0.562652,obs_disk
30,0.966667,5.011877,6.692312,0.090449,6.238995,4288,0.560290,obs_disk
31,1.000000,4.973435,6.698965,0.129346,6.055671,4250,0.562704,obs_disk
32,1.033333,4.989902,6.712784,0.164337,5.892760,4297,0.554690,obs_disk
33,1.066667,4.989462,6.721572,0.183334,5.806832,4259,0.553518,obs_disk
34,1.100000,4.982014,6.724888,0.184165,5.807378,4267,0.562182,obs_disk
35,1.133333,4.985171,6.726930,0.173517,5.861919,4270,0.564252,obs_disk
36,1.166667,5.011381,6.729783,0.156660,5.944700,4315,0.553794,obs_disk
37,1.200000,4.996502,6.721732,0.131118,6.066598,4212,0.562033,obs_disk
38,1.233333,4.992559,6.709584,0.092440,6.248069,4217,0.563178,obs_disk
39,1.266667,4.947680,6.690906,0.043744,6.474474,4254,0.550917,obs_disk
40,1.300000,4.928552,6.675211,-0.004100,6.695419,4291,0.548608,obs_disk
41,1.333333,4.927310,6.662701,-0.041143,6.865426,4179,0.558553,obs_disk
42,1.366667,4.918650,6.655137,-0.064076,6.970305,4233,0.553911,obs_disk
43,1.400000,4.930665,6.651052,-0.074003,7.015935,4237,0.557670,obs_disk
44,1.433333,4.928630,6.652072,-0.072169,7.007766,4235,0.557253,obs_disk
45,1.466667,4.872115,6.659111,-0.059295,6.948003,4234,0.556812,obs_disk
46,1.500000,4.928298,6.661066,-0.036609,6.841484,4235,0.551220,obs_disk
47,1.533333,4.824709,6.668696,-0.004774,6.691727,4237,0.556397,obs_disk
48,1.566667,4.761497,6.673162,0.037489,6.494658,4233,0.560525,obs_disk
49,1.600000,4.761950,6.681911,0.089925,6.253695,4209,0.564709,obs_disk
50,1.633333,4.901564,6.715481,0.144059,6.009368,4243,0.544986,obs_disk
51,1.666667,4.764588,6.711579,0.182860,5.840325,4210,0.527712,obs_disk
52,1.700000,6.050530,6.971933,0.191143,5.815417,4908,0.272599,obs_disk
53,1.733333,6.048679,6.952962,0.168196,5.935599,4878,0.277815,obs_disk
54,1.766667,6.796634,7.006797,0.129546,6.126318,5000,0.143949,obs_disk
55,1.800000,5.764809,6.840960,0.094413,6.296687,5028,0.073865,obs_disk
56,1.833333,6.011427,6.835733,0.071316,6.407025,5030,0.106364,obs_disk
57,1.866667,5.105954,6.764616,0.057046,6.473340,5023,0.085311,obs_disk
58,1.900000,6.279370,6.813736,0.047109,6.517920,5025,0.086181,obs_disk
59,1.933333,6.282065,6.804933,0.042855,6.535713,5023,0.082531,obs_disk
60,1.966667,6.170775,6.807306,0.048331,6.509067,5025,0.079647,obs_disk
61,2.000000,6.079502,6.824552,0.063145,6.440660,5026,0.079183,obs_disk
62,2.033333,6.469404,6.882201,0.080268,6.362917,5028,0.074613,obs_disk
63,2.066667,6.583859,6.913438,0.090911,6.314893,5029,0.074707,obs_disk
64,2.100000,6.557797,6.910862,0.091509,6.310767,5027,0.074687,obs_disk
65,2.133333,6.507642,6.889823,0.085680,6.332247,5033,0.083269,obs_disk
66,2.166667,5.982099,6.828295,0.080589,6.346203,5028,0.084340,obs_disk
67,2.200000,6.151031,6.833714,0.083331,6.321141,5025,0.082537,obs_disk
