frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
1,0.000000,5.447016,0.000000,4.584916,0.000000,0.862100,0.000000,
2,0.033333,5.398698,0.000000,4.559117,0.000000,0.836600,0.002981,
3,0.066667,5.396358,0.000000,4.564912,0.000000,0.829700,0.001746,
4,0.100000,5.408862,0.000000,4.571311,0.000000,0.836100,0.001451,
5,0.133333,5.432561,0.000000,4.599570,0.000000,0.832350,0.000641,
6,0.166667,5.456958,0.000000,4.622760,0.000000,0.833800,0.000398,
7,0.200000,5.479169,0.000000,4.647481,0.000000,0.831400,0.000288,
8,0.233333,5.493910,0.000000,4.661916,0.000000,0.831800,0.000194,
9,0.266667,5.494466,0.000000,4.662306,0.000000,0.832050,0.000110,
10,0.300000,5.466555,0.000000,4.633020,0.000000,0.833000,0.000535,
11,0.333333,5.456944,0.000000,4.627575,0.000000,0.829150,0.000219,
12,0.366667,5.431920,0.000000,4.604795,0.000000,0.826300,0.000825,
13,0.400000,5.397864,0.000000,4.574400,0.000000,0.823050,0.000414,
14,0.433333,5.353208,0.000000,4.530440,0.000000,0.822500,0.000268,
15,0.466667,5.302932,0.000000,4.481983,0.000000,0.820800,0.000149,
16,0.500000,5.275592,0.000000,4.455852,0.000000,0.819500,0.000240,
17,0.533333,5.255119,0.000000,4.438794,0.000000,0.816200,0.000125,
18,0.566667,5.193571,0.000000,4.380144,0.000000,0.812650,0.000777,
19,0.600000,5.182350,0.000000,4.373228,0.000000,0.808100,0.001022,
20,0.633333,5.182644,0.000000,4.375012,0.000000,0.806100,0.001532,
21,0.666667,5.159761,0.000000,4.346794,0.000000,0.811300,0.001667,
22,0.700000,4.992165,0.000000,4.174862,0.000000,0.814850,0.002453,
23,0.733333,5.024645,0.000000,4.212505,0.000000,0.809250,0.002890,
24,0.766667,5.052920,0.000000,4.234900,0.000000,0.814550,0.003470,
25,0.800000,5.064436,0.000000,4.247334,0.000000,0.813450,0.003652,
26,0.833333,5.099498,0.000000,4.280963,0.000000,0.814900,0.003635,
27,0.866667,5.135486,0.000000,4.315680,0.000000,0.816950,0.002856,
28,0.900000,5.128326,0.000000,4.311959,0.000000,0.815050,0.001317,
29,0.933333,5.137703,0.000000,4.314804,0.000000,0.820400,0.002499,
30,0.966667,5.125447,0.000000,4.299275,0.000000,0.818400,0.007772,
31,1.000000,5.154656,0.000000,4.323025,0.000000,0.816150,0.015481,
32,1.033333,5.245348,0.000000,4.403153,0.000000,0.816700,0.025495,
33,1.066667,5.100605,0.000000,4.238997,0.000000,0.821800,0.039808,
34,1.100000,5.018564,0.000000,4.170705,0.000000,0.793850,0.054009,
35,1.133333,4.881784,0.000000,4.035993,0.000000,0.774550,0.071241,
36,1.166667,4.794083,0.000000,3.946573,0.000000,0.760200,0.087310,
37,1.200000,4.437367,0.000000,3.608470,0.000000,0.731650,0.097247,
38,1.233333,4.033826,0.000000,3.260254,0.000000,0.679500,0.094072,
39,1.266667,3.511168,0.000000,2.820790,0.000000,0.619550,0.070828,
40,1.300000,2.889912,0.000000,2.324164,0.000000,0.536550,0.029198,
41,1.333333,2.225834,0.000000,1.753859,0.000000,0.439550,0.032425,
42,1.366667,1.636590,0.000000,1.226384,0.000000,0.335600,0.074606,
43,1.400000,1.085780,0.000000,0.751472,0.000000,0.236350,0.097958,
44,1.433333,0.636864,0.000000,0.385140,0.000000,0.150150,0.101574,
45,1.466667,0.276545,0.000000,0.113593,0.000000,0.072050,0.090902,
46,1.500000,0.155738,0.000000,0.063198,0.000000,0.018400,0.074140,
47,1.533333,0.242973,0.000000,0.168564,0.000000,0.018350,0.056059,
48,1.566667,0.285759,0.000000,0.213524,0.000000,0.032800,0.039435,
49,1.600000,0.294245,0.000000,0.228793,0.000000,0.041250,0.024202,
50,1.633333,0.279593,0.000000,0.241378,0.000000,0.027350,0.010865,
51,1.666667,0.393805,0.000000,0.218672,0.000000,0.002650,0.172483,
52,1.700000,0.401086,0.000000,0.227288,0.000000,0.000000,0.173798,
53,1.733333,0.503972,0.000000,0.266879,0.000000,0.000000,0.237093,
54,1.766667,0.258105,0.000000,0.233019,0.000000,0.000000,0.025086,
55,1.800000,0.355199,0.000000,0.278325,0.000000,0.000000,0.076874,
56,1.833333,0.267215,0.000000,0.257763,0.000000,0.000000,0.009452,
57,1.866667,0.222826,0.000000,0.215744,0.000000,0.000000,0.007082,
58,1.900000,0.336218,0.000000,0.188949,0.000000,0.000000,0.147269,
59,1.933333,0.307411,0.000000,0.182192,0.000000,0.000000,0.125219,
60,1.966667,0.188903,0.000000,0.168971,0.000000,0.000000,0.019932,
61,2.000000,0.200860,0.000000,0.186281,0.000000,0.000000,0.014579,
62,2.033333,0.250336,0.000000,0.225889,0.000000,0.000000,0.024447,
63,2.066667,0.335380,0.000000,0.260356,0.000000,0.000000,0.075024,
64,2.100000,0.300804,0.000000,0.276358,0.000000,0.000000,0.024446,
65,2.133333,0.302502,0.000000,0.261296,0.000000,0.000000,0.041206,
66,2.166667,0.238502,0.000000,0.206492,0.000000,0.000000,0.032010,
67,2.200000,0.243733,0.000000,0.209548,0.000000,0.000000,0.034185,
68,2.233333,0.211021,0.000000,0.200995,0.000000,0.000000,0.010026,
69,2.266667,0.280781,0.000000,0.265404,0.000000,0.000000,0.015377,
70,2.300000,0.207631,0.000000,0.201926,0.000000,0.000000,0.005705,
71,2.333333,0.408511,0.000000,0.388476,0.000000,0.000000,0.020035,
72,2.366667,0.389641,0.000000,0.369659,0.000000,0.000000,0.019982,
73,2.400000,0.333162,0.000000,0.287626,0.000000,0.000000,0.045536,
74,2.433333,0.315220,0.000000,0.268236,0.000000,0.000000,0.046984,
75,2.466667,0.314745,0.000000,0.297311,0.000000,0.000000,0.017434,
76,2.500000,0.312595,0.000000,0.292229,0.000000,0.000000,0.020366,
77,2.533333,0.240506,0.000000,0.232984,0.000000,0.000000,0.007522,
78,2.566667,0.256812,0.000000,0.171322,0.000000,0.000000,0.085490,
79,2.600000,0.254358,0.000000,0.153485,0.000000,0.000000,0.100873,
80,2.633333,0.182011,0.000000,0.169120,0.000000,0.000000,0.012891,
81,2.666667,0.163640,0.000000,0.136269,0.000000,0.000000,0.027371,
82,2.700000,0.203111,0.000000,0.075009,0.000000,0.000000,0.128102,
83,2.733333,0.158473,0.000000,0.014827,0.000000,0.000000,0.143646,
84,2.766667,0.069662,0.000000,0.040297,0.000000,0.000000,0.029365,
85,2.800000,0.094871,0.000000,0.068587,0.000000,0.000000,0.026284,
86,2.833333,0.156382,0.000000,0.064617,0.000000,0.000000,0.091765,
87,2.866667,0.362083,0.000000,0.051561,0.000000,0.000000,0.310522,
88,2.900000,0.296424,0.000000,0.199490,0.000000,0.000000,0.096934,
89,2.933333,0.154034,0.000000,0.093174,0.000000,0.000000,0.060860,
90,2.966667,0.107967,0.000000,0.093158,0.000000,0.000000,0.014809,
91,3.000000,0.442569,0.000000,0.417172,0.000000,0.000000,0.025397,
92,3.033333,0.095584,0.000000,0.067788,0.000000,0.000000,0.027796,
93,3.066667,0.180832,0.000000,0.147966,0.000000,0.000000,0.032866,
94,3.100000,0.170750,0.000000,0.159024,0.000000,0.000000,0.011726,
95,3.133333,0.186335,0.000000,0.170698,0.000000,0.000000,0.015637,
96,3.166667,0.158376,0.000000,0.143065,0.000000,0.000000,0.015311,
97,3.200000,0.185111,0.000000,0.170092,0.000000,0.000000,0.015019,
98,3.233333,0.146715,0.000000,0.133958,0.000000,0.000000,0.012757,
99,3.266667,0.174965,0.000000,0.151162,0.000000,0.000000,0.023803,
100,3.300000,0.105339,0.000000,0.065340,0.000000,0.000000,0.039999,
101,3.333333,0.074901,0.000000,0.067572,0.000000,0.000000,0.007329,
102,3.366667,0.073842,0.000000,0.065151,0.000000,0.000000,0.008691,
103,3.400000,0.154897,0.000000,0.070834,0.000000,0.000000,0.084063,
104,3.433333,0.134975,0.000000,0.054893,0.000000,0.000000,0.080082,
105,3.466667,0.093118,0.000000,0.087686,0.000000,0.000000,0.005432,
106,3.500000,0.102994,0.000000,0.096898,0.000000,0.000000,0.006096,
107,3.533333,0.136334,0.000000,0.109259,0.000000,0.000000,0.027075,
108,3.566667,0.145171,0.000000,0.104936,0.000000,0.000000,0.040235,
109,3.600000,0.124020,0.000000,0.100062,0.000000,0.000000,0.023958,
110,3.633333,0.112190,0.000000,0.101441,0.000000,0.000000,0.010749,
111,3.666667,0.159342,0.000000,0.143375,0.000000,0.000000,0.015967,
112,3.700000,0.123527,0.000000,0.109476,0.000000,0.000000,0.014051,
113,3.733333,0.144047,0.000000,0.136184,0.000000,0.000000,0.007863,
114,3.766667,0.154521,0.000000,0.139718,0.000000,0.000000,0.014803,
115,3.800000,0.136779,0.000000,0.127988,0.000000,0.000000,0.008791,
116,3.833333,0.228485,0.000000,0.222978,0.000000,0.000000,0.005507,
117,3.866667,0.208231,0.000000,0.180658,0.000000,0.000000,0.027573,
118,3.900000,0.147639,0.000000,0.126123,0.000000,0.000000,0.021516,
119,3.933333,0.179483,0.000000,0.133620,0.000000,0.000000,0.045863,
120,3.966667,0.073126,0.000000,0.053760,0.000000,0.000000,0.019366,
121,4.000000,0.109600,0.000000,0.095400,0.000000,0.000000,0.014200,
122,4.033333,0.142527,0.000000,0.110035,0.000000,0.000000,0.032492,
123,4.066667,0.289911,0.000000,0.166819,0.000000,0.000000,0.123092,
124,4.100000,0.374963,0.000000,0.255455,0.000000,0.000000,0.119508,
125,4.133333,0.315235,0.000000,0.193617,0.000000,0.000000,0.121618,
126,4.166667,0.322454,0.000000,0.258617,0.000000,0.000000,0.063837,
127,4.200000,0.313333,0.000000,0.250756,0.000000,0.000000,0.062577,
128,4.233333,0.296018,0.000000,0.223790,0.000000,0.000000,0.072228,
129,4.266667,0.135820,0.000000,0.126072,0.000000,0.000000,0.009748,
130,4.300000,0.110625,0.000000,0.092909,0.000000,0.000000,0.017716,
131,4.333333,0.095160,0.000000,0.085304,0.000000,0.000000,0.009856,
132,4.366667,0.161084,0.000000,0.131583,0.000000,0.000000,0.029501,
133,4.400000,0.174261,0.000000,0.147164,0.000000,0.000000,0.027097,
134,4.433333,0.208445,0.000000,0.201763,0.000000,0.000000,0.006682,
135,4.466667,0.231372,0.000000,0.218898,0.000000,0.000000,0.012474,
136,4.500000,0.356091,0.000000,0.336066,0.000000,0.000000,0.020025,
137,4.533333,0.375014,0.000000,0.343003,0.000000,0.000000,0.032011,
138,4.566667,0.313716,0.000000,0.248109,0.000000,0.000000,0.065607,
139,4.600000,0.287729,0.000000,0.234665,0.000000,0.000000,0.053064,
140,4.633333,0.277080,0.000000,0.247471,0.000000,0.000000,0.029609,
141,4.666667,0.214729,0.000000,0.192186,0.000000,0.000000,0.022543,
