event_id,event_center_frame,event_center_time,event_sources,window_start_frame,window_end_frame,pair,target,contact_type,anchor_type,proxy_type,candidate_frame,candidate_time,audio_support,visual_motion_support,spatial_proximity,depth_consistency,semantic_prior,temporal_consistency,occlusion_penalty,score
impact_001,40,1.3,visual_floor,28,46,ball-floor,floor,floor_ball_contact,plane,floor_plane,40,1.3,0.0,1.0,0.9497841791869538,0.0,0.0,1.0,0.0,0.5399568358373907
impact_002,53,1.76,audio|visual_floor,47,60,ball-floor,floor,floor_ball_contact,plane,floor_plane,50,1.633333,0.7999999999999999,1.0,0.9439669915748949,0.0,0.0,0.75,0.0,0.6612933983149789
impact_003,68,2.233333,visual_floor,61,78,ball-floor,floor,floor_ball_contact,plane,floor_plane,68,2.233333,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.29
impact_004,88,2.944,audio|visual_floor,79,92,ball-floor,floor,floor_ball_contact,plane,floor_plane,87,2.866667,0.7628099777674086,0.7,1.6837273959108923e-33,0.0,0.0,0.9166666666666666,0.0,0.4300619955534817
impact_005,97,3.2,visual_floor,93,101,ball-floor,floor,floor_ball_contact,plane,floor_plane,97,3.2,0.0,0.7,6.793339408547129e-98,0.0,0.0,1.0,0.0,0.29
impact_006,105,3.488,audio|visual_floor,102,111,ball-floor,floor,floor_ball_contact,plane,floor_plane,104,3.433333,0.5891646719355115,0.7,4.5733543717826914e-23,0.0,0.0,0.9166666666666666,0.0,0.39533293438710226
impact_007,117,3.866667,visual_anchor,112,120,ball-left_foot,left_foot,anchor_ball_contact,foot,inner_edge,117,3.866667,0.0,0.3234135503557816,0.5046283056298363,0.0,0.0,1.0,0.0,0.3156083711971236
impact_007,117,3.866667,visual_anchor,112,120,ball-floor,floor,floor_ball_contact,plane,floor_plane,120,3.966667,0.0,0.0,3.8889112362504313e-67,0.0,0.0,0.75,0.0,0.11249999999999999
impact_008,124,4.128,audio|visual_anchor|visual_floor,121,135,ball-floor,floor,floor_ball_contact,plane,floor_plane,124,4.1,0.4856999990172878,0.7,5.146156425694492e-12,0.0,0.0,1.0,0.0,0.38713999980448677
impact_008,124,4.128,audio|visual_anchor|visual_floor,121,135,ball-left_foot,left_foot,anchor_ball_contact,foot,inner_edge,131,4.333333,0.4856999990172878,0.13514100271513194,0.3890518438185453,0.0,0.0,0.41666666666666663,0.0,0.264478569110193
impact_009,146,4.833333,audio|visual_anchor|visual_floor,136,156,ball-right_foot,right_foot,anchor_ball_contact,foot,toe,146,4.833333,0.44811221652427147,1.0,0.8080887426633512,0.0,0.0,1.0,0.0,0.6012401918375245
impact_009,146,4.833333,audio|visual_anchor|visual_floor,136,156,ball-floor,floor,floor_ball_contact,plane,floor_plane,146,4.833333,0.44811221652427147,0.7,1.7112827439284595e-09,0.0,0.0,1.0,0.0,0.37962244364711084
impact_010,166,5.536,audio|visual_floor,157,171,ball-floor,floor,floor_ball_contact,plane,floor_plane,166,5.5,0.6348832922001633,0.7,3.4462131514194103e-12,0.0,0.0,1.0,0.0,0.41697665844072185
impact_011,177,5.888,audio|visual_floor,172,189,ball-floor,floor,floor_ball_contact,plane,floor_plane,177,5.866667,0.5188322910945478,0.7,2.0100065172212754e-90,0.0,0.0,1.0,0.0,0.39376645821890954
impact_012,206,6.833333,audio|visual_floor,194,212,ball-floor,floor,floor_ball_contact,plane,floor_plane,206,6.833333,0.42996337746184066,1.0,0.9331822076243083,0.0,0.0,1.0,0.0,0.6226291170172299
impact_013,219,7.266667,visual_floor,213,222,ball-floor,floor,floor_ball_contact,plane,floor_plane,219,7.266667,0.0,1.0,0.9971161662603152,0.0,0.0,1.0,0.0,0.5494232332520631
impact_014,226,7.5,visual_anchor|visual_floor,223,238,ball-floor,floor,floor_ball_contact,plane,floor_plane,226,7.5,0.0,1.0,0.9971161662603152,0.0,0.0,1.0,0.0,0.5494232332520631
impact_014,226,7.5,visual_anchor|visual_floor,223,238,ball-right_foot,right_foot,anchor_ball_contact,foot,toe,231,7.666667,0.0,0.10190128776104061,0.6839670959203468,0.0,0.0,0.5833333333333333,0.0,0.2446736767362775
