event_id,event_center_frame,event_center_time,label,selected_pair,selected_frame,selected_time,anchor_type,proxy_type,weight,sources
impact_001,40,1.3,floor_ball_contact,ball-floor,40,1.3,plane,floor_plane,0.5399568358373907,visual_floor
impact_002,53,1.76,floor_ball_contact,ball-floor,50,1.633333,plane,floor_plane,0.6612933983149789,audio|visual_floor
impact_003,68,2.233333,false_peak,,,,,,0.0,visual_floor
impact_004,88,2.944,floor_ball_contact,ball-floor,87,2.866667,plane,floor_plane,0.4300619955534817,audio|visual_floor
impact_005,97,3.2,false_peak,,,,,,0.0,visual_floor
impact_006,105,3.488,floor_ball_contact,ball-floor,104,3.433333,plane,floor_plane,0.39533293438710226,audio|visual_floor
impact_007,117,3.866667,false_peak,,,,,,0.0,visual_anchor
impact_008,124,4.128,floor_ball_contact,ball-floor,124,4.1,plane,floor_plane,0.38713999980448677,audio|visual_anchor|visual_floor
impact_009,146,4.833333,anchor_ball_contact,ball-right_foot,146,4.833333,foot,toe,0.6012401918375245,audio|visual_anchor|visual_floor
impact_010,166,5.536,floor_ball_contact,ball-floor,166,5.5,plane,floor_plane,0.41697665844072185,audio|visual_floor
impact_011,177,5.888,floor_ball_contact,ball-floor,177,5.866667,plane,floor_plane,0.39376645821890954,audio|visual_floor
impact_012,206,6.833333,floor_ball_contact,ball-floor,206,6.833333,plane,floor_plane,0.6226291170172299,audio|visual_floor
impact_013,219,7.266667,floor_ball_contact,ball-floor,219,7.266667,plane,floor_plane,0.5494232332520631,visual_floor
impact_014,226,7.5,floor_ball_contact,ball-floor,226,7.5,plane,floor_plane,0.5494232332520631,visual_anchor|visual_floor
