frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.895984,0.873892,6.439914,1.000000,0.000000,0.000000,0.000000,0.107174,shared_fullimg_cam,653.510,838.933,36.661,6.683131,0.547791,L1_L2ground
2,0.033333,-0.893582,0.874242,6.431971,1.000000,0.000000,0.000000,0.000000,0.107240,shared_fullimg_cam,653.954,839.422,36.729,6.680306,0.556579,L1_L2ground
3,0.066667,-0.893062,0.874077,6.428244,1.000000,0.000000,0.000000,0.000000,0.107181,shared_fullimg_cam,653.955,839.539,36.730,6.674510,0.557891,L1_L2ground
4,0.100000,-0.893656,0.873624,6.428133,1.000000,0.000000,0.000000,0.000000,0.107229,shared_fullimg_cam,653.746,839.389,36.747,6.666143,0.548554,L1_L2ground
5,0.133333,-0.893728,0.873812,6.428356,1.000000,0.000000,0.000000,0.000000,0.107232,shared_fullimg_cam,653.732,839.443,36.747,6.656797,0.550434,L1_L2ground
6,0.166667,-0.893646,0.873743,6.428920,1.000000,0.000000,0.000000,0.000000,0.107426,shared_fullimg_cam,653.787,839.393,36.810,6.648378,0.545697,L1_L2ground
7,0.200000,-0.893717,0.873994,6.430212,1.000000,0.000000,0.000000,0.000000,0.107444,shared_fullimg_cam,653.824,839.419,36.809,6.643458,0.546226,L1_L2ground
8,0.233333,-0.893979,0.874248,6.432706,1.000000,0.000000,0.000000,0.000000,0.107486,shared_fullimg_cam,653.853,839.390,36.809,6.640580,0.545586,L1_L2ground
9,0.266667,-0.894442,0.874596,6.435846,1.000000,0.000000,0.000000,0.000000,0.107354,shared_fullimg_cam,653.844,839.363,36.746,6.640218,0.546683,L1_L2ground
10,0.300000,-0.894823,0.874795,6.438190,1.000000,0.000000,0.000000,0.000000,0.107750,shared_fullimg_cam,653.825,839.322,36.868,6.642237,0.548114,L1_L2ground
11,0.333333,-0.895349,0.875284,6.440604,1.000000,0.000000,0.000000,0.000000,0.107948,shared_fullimg_cam,653.760,839.377,36.922,6.645027,0.548370,L1_L2ground
12,0.366667,-0.896200,0.875941,6.444688,1.000000,0.000000,0.000000,0.000000,0.108128,shared_fullimg_cam,653.663,839.412,36.960,6.647866,0.542652,L1_L2ground
13,0.400000,-0.896918,0.876934,6.451088,1.000000,0.000000,0.000000,0.000000,0.107450,shared_fullimg_cam,653.722,839.454,36.692,6.651753,0.552284,L1_L2ground
14,0.433333,-0.897624,0.877607,6.456297,1.000000,0.000000,0.000000,0.000000,0.107300,shared_fullimg_cam,653.728,839.442,36.611,6.657979,0.554059,L1_L2ground
15,0.466667,-0.897807,0.877935,6.458497,1.000000,0.000000,0.000000,0.000000,0.107717,shared_fullimg_cam,653.770,839.452,36.741,6.666012,0.554711,L1_L2ground
16,0.500000,-0.897713,0.878006,6.458956,1.000000,0.000000,0.000000,0.000000,0.107725,shared_fullimg_cam,653.824,839.455,36.741,6.673956,0.558594,L1_L2ground
17,0.533333,-0.897222,0.877879,6.457114,1.000000,0.000000,0.000000,0.000000,0.107694,shared_fullimg_cam,653.904,839.497,36.741,6.682228,0.560507,L1_L2ground
18,0.566667,-0.896321,0.877417,6.452699,1.000000,0.000000,0.000000,0.000000,0.107621,shared_fullimg_cam,654.002,839.544,36.741,6.691986,0.559302,L1_L2ground
19,0.600000,-0.895518,0.876738,6.446243,1.000000,0.000000,0.000000,0.000000,0.107598,shared_fullimg_cam,653.970,839.612,36.770,6.700314,0.560169,L1_L2ground
20,0.633333,-0.894210,0.875922,6.439856,1.000000,0.000000,0.000000,0.000000,0.107491,shared_fullimg_cam,654.114,839.630,36.770,6.708002,0.559993,L1_L2ground
21,0.666667,-0.893649,0.874941,6.435312,1.000000,0.000000,0.000000,0.000000,0.107416,shared_fullimg_cam,654.090,839.506,36.770,6.715014,0.555196,L1_L2ground
22,0.700000,-0.893504,0.874276,6.432288,1.000000,0.000000,0.000000,0.000000,0.106705,shared_fullimg_cam,653.996,839.419,36.544,6.713986,0.562715,L1_L2ground
23,0.733333,-0.892864,0.873987,6.428015,1.000000,0.000000,0.000000,0.000000,0.106631,shared_fullimg_cam,654.012,839.519,36.543,6.714013,0.567062,L1_L2ground
24,0.766667,-0.892504,0.873183,6.424501,1.000000,0.000000,0.000000,0.000000,0.107235,shared_fullimg_cam,653.968,839.407,36.770,6.712364,0.557153,L1_L2ground
25,0.800000,-0.892393,0.873093,6.423367,1.000000,0.000000,0.000000,0.000000,0.107216,shared_fullimg_cam,653.952,839.429,36.770,6.707143,0.557816,L1_L2ground
26,0.833333,-0.892551,0.873135,6.424110,1.000000,0.000000,0.000000,0.000000,0.107718,shared_fullimg_cam,653.933,839.409,36.938,6.695549,0.559537,L1_L2ground
27,0.866667,-0.893190,0.873470,6.427110,1.000000,0.000000,0.000000,0.000000,0.107769,shared_fullimg_cam,653.857,839.384,36.938,6.686448,0.565486,L1_L2ground
28,0.900000,-0.893821,0.874143,6.430790,1.000000,0.000000,0.000000,0.000000,0.107830,shared_fullimg_cam,653.816,839.443,36.938,6.683378,0.563319,L1_L2ground
29,0.933333,-0.893964,0.874420,6.434615,1.000000,0.000000,0.000000,0.000000,0.107895,shared_fullimg_cam,653.949,839.360,36.938,6.683927,0.562652,L1_L2ground
30,0.966667,-0.894440,0.874909,6.436967,1.000000,0.000000,0.000000,0.000000,0.107934,shared_fullimg_cam,653.898,839.418,36.938,6.692312,0.560290,L1_L2ground
