frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.896326,0.874226,6.442375,1.000000,0.000000,0.000000,0.000000,0.107215,shared_fullimg_cam,653.510,838.933,36.661,6.683131,0.547791,L1_L2ground_size
2,0.033333,-0.893922,0.874574,6.434416,1.000000,0.000000,0.000000,0.000000,0.107281,shared_fullimg_cam,653.954,839.422,36.729,6.680306,0.556579,L1_L2ground_size
3,0.066667,-0.893402,0.874409,6.430691,1.000000,0.000000,0.000000,0.000000,0.107222,shared_fullimg_cam,653.955,839.539,36.730,6.674510,0.557891,L1_L2ground_size
4,0.100000,-0.893993,0.873953,6.430558,1.000000,0.000000,0.000000,0.000000,0.107269,shared_fullimg_cam,653.746,839.389,36.747,6.666143,0.548554,L1_L2ground_size
5,0.133333,-0.894059,0.874135,6.430737,1.000000,0.000000,0.000000,0.000000,0.107272,shared_fullimg_cam,653.732,839.443,36.747,6.656797,0.550434,L1_L2ground_size
6,0.166667,-0.893965,0.874055,6.431219,1.000000,0.000000,0.000000,0.000000,0.107464,shared_fullimg_cam,653.787,839.393,36.810,6.648378,0.545697,L1_L2ground_size
7,0.200000,-0.894031,0.874301,6.432471,1.000000,0.000000,0.000000,0.000000,0.107482,shared_fullimg_cam,653.824,839.419,36.809,6.643458,0.546226,L1_L2ground_size
8,0.233333,-0.894291,0.874553,6.434949,1.000000,0.000000,0.000000,0.000000,0.107523,shared_fullimg_cam,653.853,839.390,36.809,6.640580,0.545586,L1_L2ground_size
9,0.266667,-0.894748,0.874895,6.438047,1.000000,0.000000,0.000000,0.000000,0.107391,shared_fullimg_cam,653.844,839.363,36.746,6.640218,0.546683,L1_L2ground_size
10,0.300000,-0.895103,0.875068,6.440199,1.000000,0.000000,0.000000,0.000000,0.107784,shared_fullimg_cam,653.825,839.322,36.868,6.642237,0.548114,L1_L2ground_size
11,0.333333,-0.895606,0.875535,6.442452,1.000000,0.000000,0.000000,0.000000,0.107979,shared_fullimg_cam,653.760,839.377,36.922,6.645027,0.548370,L1_L2ground_size
12,0.366667,-0.896459,0.876194,6.446547,1.000000,0.000000,0.000000,0.000000,0.108159,shared_fullimg_cam,653.663,839.412,36.960,6.647866,0.542652,L1_L2ground_size
13,0.400000,-0.897213,0.877222,6.453210,1.000000,0.000000,0.000000,0.000000,0.107486,shared_fullimg_cam,653.722,839.454,36.692,6.651753,0.552284,L1_L2ground_size
14,0.433333,-0.897935,0.877911,6.458533,1.000000,0.000000,0.000000,0.000000,0.107337,shared_fullimg_cam,653.728,839.442,36.611,6.657979,0.554059,L1_L2ground_size
15,0.466667,-0.898102,0.878223,6.460617,1.000000,0.000000,0.000000,0.000000,0.107753,shared_fullimg_cam,653.770,839.452,36.741,6.666012,0.554711,L1_L2ground_size
16,0.500000,-0.897997,0.878284,6.461000,1.000000,0.000000,0.000000,0.000000,0.107759,shared_fullimg_cam,653.824,839.455,36.741,6.673956,0.558594,L1_L2ground_size
17,0.533333,-0.897506,0.878157,6.459156,1.000000,0.000000,0.000000,0.000000,0.107728,shared_fullimg_cam,653.904,839.497,36.741,6.682228,0.560507,L1_L2ground_size
18,0.566667,-0.896610,0.877699,6.454776,1.000000,0.000000,0.000000,0.000000,0.107655,shared_fullimg_cam,654.002,839.544,36.741,6.691986,0.559302,L1_L2ground_size
19,0.600000,-0.895813,0.877026,6.448366,1.000000,0.000000,0.000000,0.000000,0.107633,shared_fullimg_cam,653.970,839.612,36.770,6.700314,0.560169,L1_L2ground_size
20,0.633333,-0.894519,0.876224,6.442077,1.000000,0.000000,0.000000,0.000000,0.107528,shared_fullimg_cam,654.114,839.630,36.770,6.708002,0.559993,L1_L2ground_size
21,0.666667,-0.893984,0.875270,6.437726,1.000000,0.000000,0.000000,0.000000,0.107456,shared_fullimg_cam,654.090,839.506,36.770,6.715014,0.555196,L1_L2ground_size
22,0.700000,-0.893881,0.874645,6.435001,1.000000,0.000000,0.000000,0.000000,0.106750,shared_fullimg_cam,653.996,839.419,36.544,6.713986,0.562715,L1_L2ground_size
23,0.733333,-0.893248,0.874364,6.430784,1.000000,0.000000,0.000000,0.000000,0.106677,shared_fullimg_cam,654.012,839.519,36.543,6.714013,0.567062,L1_L2ground_size
24,0.766667,-0.892858,0.873529,6.427051,1.000000,0.000000,0.000000,0.000000,0.107278,shared_fullimg_cam,653.968,839.407,36.770,6.712364,0.557153,L1_L2ground_size
25,0.800000,-0.892719,0.873411,6.425712,1.000000,0.000000,0.000000,0.000000,0.107255,shared_fullimg_cam,653.952,839.429,36.770,6.707143,0.557816,L1_L2ground_size
