frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.929212,0.906301,6.678742,1.000000,0.000000,0.000000,0.000000,0.111148,shared_fullimg_cam,653.510,838.933,36.661,6.683131,0.547791,L1_L3contact
2,0.033333,-0.927084,0.907019,6.673118,1.000000,0.000000,0.000000,0.000000,0.111261,shared_fullimg_cam,653.954,839.422,36.729,6.680306,0.556579,L1_L3contact
3,0.066667,-0.926307,0.906616,6.667546,1.000000,0.000000,0.000000,0.000000,0.111171,shared_fullimg_cam,653.955,839.539,36.730,6.674510,0.557891,L1_L3contact
4,0.100000,-0.926192,0.905431,6.662168,1.000000,0.000000,0.000000,0.000000,0.111133,shared_fullimg_cam,653.746,839.389,36.747,6.666143,0.548554,L1_L3contact
5,0.133333,-0.925546,0.904921,6.657214,1.000000,0.000000,0.000000,0.000000,0.111050,shared_fullimg_cam,653.732,839.443,36.747,6.656797,0.550434,L1_L3contact
6,0.166667,-0.924788,0.904191,6.652958,1.000000,0.000000,0.000000,0.000000,0.111169,shared_fullimg_cam,653.787,839.393,36.810,6.648378,0.545697,L1_L3contact
7,0.200000,-0.924220,0.903823,6.649673,1.000000,0.000000,0.000000,0.000000,0.111111,shared_fullimg_cam,653.824,839.419,36.809,6.643458,0.546226,L1_L3contact
8,0.233333,-0.923841,0.903450,6.647575,1.000000,0.000000,0.000000,0.000000,0.111076,shared_fullimg_cam,653.853,839.390,36.809,6.640580,0.545586,L1_L3contact
9,0.266667,-0.923761,0.903265,6.646807,1.000000,0.000000,0.000000,0.000000,0.110873,shared_fullimg_cam,653.844,839.363,36.746,6.640218,0.546683,L1_L3contact
10,0.300000,-0.923905,0.903225,6.647428,1.000000,0.000000,0.000000,0.000000,0.111252,shared_fullimg_cam,653.825,839.322,36.868,6.642237,0.548114,L1_L3contact
11,0.333333,-0.924377,0.903662,6.649418,1.000000,0.000000,0.000000,0.000000,0.111448,shared_fullimg_cam,653.760,839.377,36.922,6.645027,0.548370,L1_L3contact
12,0.366667,-0.925126,0.904213,6.652696,1.000000,0.000000,0.000000,0.000000,0.111618,shared_fullimg_cam,653.663,839.412,36.960,6.647866,0.542652,L1_L3contact
13,0.400000,-0.925564,0.904942,6.657126,1.000000,0.000000,0.000000,0.000000,0.110882,shared_fullimg_cam,653.722,839.454,36.692,6.651753,0.552284,L1_L3contact
14,0.433333,-0.926295,0.905639,6.662518,1.000000,0.000000,0.000000,0.000000,0.110727,shared_fullimg_cam,653.728,839.442,36.611,6.657979,0.554059,L1_L3contact
15,0.466667,-0.927016,0.906497,6.668614,1.000000,0.000000,0.000000,0.000000,0.111222,shared_fullimg_cam,653.770,839.452,36.741,6.666012,0.554711,L1_L3contact
16,0.500000,-0.927754,0.907388,6.675100,1.000000,0.000000,0.000000,0.000000,0.111330,shared_fullimg_cam,653.824,839.455,36.741,6.673956,0.558594,L1_L3contact
17,0.533333,-0.928419,0.908404,6.681632,1.000000,0.000000,0.000000,0.000000,0.111439,shared_fullimg_cam,653.904,839.497,36.741,6.682228,0.560507,L1_L3contact
18,0.566667,-0.928986,0.909392,6.687852,1.000000,0.000000,0.000000,0.000000,0.111543,shared_fullimg_cam,654.002,839.544,36.741,6.691986,0.559302,L1_L3contact
19,0.600000,-0.929854,0.910354,6.693406,1.000000,0.000000,0.000000,0.000000,0.111724,shared_fullimg_cam,653.970,839.612,36.770,6.700314,0.560169,L1_L3contact
20,0.633333,-0.930054,0.911033,6.697995,1.000000,0.000000,0.000000,0.000000,0.111800,shared_fullimg_cam,654.114,839.630,36.770,6.708002,0.559993,L1_L3contact
21,0.666667,-0.930601,0.911119,6.701406,1.000000,0.000000,0.000000,0.000000,0.111857,shared_fullimg_cam,654.090,839.506,36.770,6.715014,0.555196,L1_L3contact
22,0.700000,-0.931185,0.911146,6.703551,1.000000,0.000000,0.000000,0.000000,0.111205,shared_fullimg_cam,653.996,839.419,36.544,6.713986,0.562715,L1_L3contact
23,0.733333,-0.931269,0.911581,6.704510,1.000000,0.000000,0.000000,0.000000,0.111218,shared_fullimg_cam,654.012,839.519,36.543,6.714013,0.567062,L1_L3contact
24,0.766667,-0.931401,0.911238,6.704495,1.000000,0.000000,0.000000,0.000000,0.111909,shared_fullimg_cam,653.968,839.407,36.770,6.712364,0.557153,L1_L3contact
25,0.800000,-0.931359,0.911216,6.703840,1.000000,0.000000,0.000000,0.000000,0.111898,shared_fullimg_cam,653.952,839.429,36.770,6.707143,0.557816,L1_L3contact
26,0.833333,-0.931297,0.911038,6.702977,1.000000,0.000000,0.000000,0.000000,0.112394,shared_fullimg_cam,653.933,839.409,36.938,6.695549,0.559537,L1_L3contact
