frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
1,0.000000,0.026645,-0.136527,4.168832,0.301103,-0.084385,4.109968,-0.314519,-0.087883,3.737025,-0.345554,0.735397,4.027247,1.047401,0.873488
2,0.041667,0.024816,-0.135240,4.168911,0.301292,-0.084832,4.109005,-0.310854,-0.086399,3.734311,-0.347421,0.769249,4.034250,1.075115,0.907433
3,0.083333,0.022425,-0.134110,4.166042,0.299479,-0.085761,4.103064,-0.308436,-0.080847,3.731636,-0.345010,0.777135,4.041253,1.078784,0.912871
4,0.125000,0.019382,-0.132957,4.167694,0.295135,-0.087188,4.102288,-0.307291,-0.068678,3.740064,-0.341223,0.771495,4.048256,1.070144,0.895558
5,0.166667,0.016906,-0.131940,4.167323,0.292257,-0.087728,4.100169,-0.306722,-0.045080,3.753964,-0.333124,0.730203,4.055259,1.030596,0.832190
6,0.208333,0.016161,-0.130649,4.161879,0.290008,-0.088588,4.092365,-0.302012,-0.010681,3.769780,-0.327122,0.659234,4.062262,0.970048,0.731412
7,0.250000,0.016756,-0.128313,4.162306,0.286990,-0.088650,4.089858,-0.295230,0.034904,3.803383,-0.324176,0.544387,4.069265,0.880162,0.575417
8,0.291667,0.018481,-0.125279,4.159181,0.285261,-0.088581,4.085968,-0.287782,0.067910,3.830977,-0.318827,0.399234,4.076268,0.776518,0.413409
9,0.333333,0.023594,-0.121052,4.154306,0.287803,-0.085921,4.081058,-0.278099,0.089301,3.852461,-0.308210,0.207209,4.083271,0.664200,0.260926
10,0.375000,0.031293,-0.116835,4.157969,0.293711,-0.081021,4.084692,-0.272389,0.098195,3.872549,-0.310469,0.120223,4.090274,0.636839,0.222125
11,0.416667,0.041542,-0.113151,4.169802,0.303621,-0.072947,4.096459,-0.270515,0.095526,3.885405,-0.314824,0.281547,4.110759,0.712983,0.295553
12,0.458333,0.051778,-0.109450,4.182904,0.315523,-0.062413,4.108603,-0.274132,0.081812,3.885287,-0.310154,0.394380,4.107053,0.774683,0.384937
13,0.500000,0.062192,-0.106782,4.185350,0.329627,-0.050229,4.112888,-0.276596,0.056767,3.860329,-0.318566,0.482566,4.103347,0.839116,0.492061
14,0.541667,0.069723,-0.106462,4.195700,0.343221,-0.039601,4.123569,-0.278057,0.024085,3.841213,-0.317020,0.554925,4.099641,0.888792,0.591687
15,0.583333,0.074698,-0.104556,4.193683,0.353140,-0.030533,4.121022,-0.274693,-0.000812,3.816177,-0.312458,0.612640,4.095935,0.925917,0.675288
16,0.625000,0.076815,-0.102298,4.190086,0.359460,-0.021735,4.118006,-0.267072,-0.013515,3.794228,-0.313777,0.654978,4.092229,0.954910,0.733396
17,0.666667,0.075552,-0.100314,4.188760,0.362444,-0.015442,4.118900,-0.259272,-0.012793,3.781233,-0.308393,0.674204,4.088523,0.962578,0.754191
18,0.708333,0.069847,-0.096470,4.175487,0.361659,-0.010916,4.110191,-0.251717,0.006941,3.764746,-0.304006,0.670350,4.084817,0.952826,0.738438
19,0.750000,0.058637,-0.090705,4.164785,0.354653,-0.007693,4.102300,-0.250695,0.043707,3.760384,-0.296165,0.624335,4.081110,0.907454,0.664877
20,0.791667,0.042131,-0.084790,4.149783,0.338729,-0.008398,4.087817,-0.253698,0.094738,3.763305,-0.294288,0.487915,4.077404,0.804453,0.504870
21,0.833333,0.023794,-0.079734,4.147496,0.319678,-0.009503,4.086076,-0.255738,0.134804,3.776988,-0.290681,0.326134,4.073698,0.696666,0.354775
22,0.875000,0.000950,-0.074236,4.125656,0.297052,-0.009746,4.065720,-0.259308,0.162830,3.766181,-0.279791,0.150271,4.069992,0.598642,0.304760
23,0.916667,-0.017355,-0.071025,4.120632,0.277588,-0.011996,4.065879,-0.267998,0.173497,3.764003,-0.281693,0.120227,4.066286,0.574698,0.307246
24,0.958333,-0.034563,-0.069969,4.122749,0.257994,-0.011279,4.075878,-0.280367,0.168000,3.755277,-0.292699,0.311413,4.047432,0.638907,0.325690
25,1.000000,-0.048260,-0.068463,4.103465,0.242664,-0.008735,4.066486,-0.290816,0.147527,3.719764,-0.305190,0.420315,4.040976,0.696332,0.421660
26,1.041667,-0.056949,-0.069242,4.106017,0.232913,-0.004617,4.077540,-0.300446,0.110861,3.703803,-0.315694,0.504314,4.034520,0.749554,0.514210
27,1.083333,-0.061218,-0.069755,4.106576,0.225996,0.001268,4.085626,-0.305170,0.069864,3.690312,-0.326471,0.564756,4.028064,0.791235,0.599540
28,1.125000,-0.060518,-0.069007,4.111403,0.223935,0.006995,4.092721,-0.307018,0.038090,3.683991,-0.328682,0.607572,4.021608,0.819229,0.662394
29,1.166667,-0.056129,-0.066661,4.111773,0.226398,0.013610,4.092486,-0.305049,0.019871,3.677406,-0.326135,0.629422,4.015152,0.830961,0.697186
30,1.208333,-0.049460,-0.064461,4.111377,0.232053,0.018520,4.089389,-0.299055,0.015594,3.669137,-0.326378,0.638598,4.008696,0.838363,0.710057
31,1.250000,-0.040406,-0.061121,4.107649,0.241460,0.024368,4.080483,-0.288320,0.032099,3.663056,-0.323628,0.630119,4.002240,0.832094,0.688419
32,1.291667,-0.030145,-0.058364,4.099808,0.253124,0.028609,4.066736,-0.274591,0.074673,3.659353,-0.318439,0.579258,3.995784,0.796827,0.608041
33,1.333333,-0.019828,-0.054909,4.088781,0.264099,0.031372,4.049048,-0.261168,0.126277,3.659110,-0.293200,0.500050,3.989328,0.730621,0.499776
34,1.375000,-0.009491,-0.050989,4.081840,0.273939,0.031515,4.033667,-0.252205,0.179763,3.673136,-0.303570,0.341775,3.982872,0.657539,0.353302
35,1.416667,0.001744,-0.046488,4.080475,0.284659,0.031540,4.022758,-0.242868,0.216725,3.699856,-0.291230,0.170123,3.976416,0.594139,0.284598
36,1.458333,0.011953,-0.043837,4.076200,0.297828,0.030575,4.011612,-0.240687,0.233035,3.712396,-0.288310,0.120000,3.969960,0.594382,0.285279
37,1.500000,0.019463,-0.042392,4.082431,0.309954,0.031829,4.014370,-0.246646,0.230520,3.722095,-0.304951,0.229568,3.958971,0.648289,0.243948
38,1.541667,0.025186,-0.042356,4.082943,0.321766,0.034240,4.015953,-0.258341,0.207865,3.713106,-0.316536,0.342366,3.960407,0.710954,0.287463
39,1.583333,0.027914,-0.042776,4.083202,0.332811,0.038515,4.017664,-0.272870,0.162748,3.694357,-0.318713,0.438713,3.961844,0.766654,0.387050
40,1.625000,0.028923,-0.042264,4.088390,0.341054,0.043623,4.023431,-0.285030,0.111700,3.684635,-0.329892,0.512732,3.963280,0.820884,0.490390
41,1.666667,0.027087,-0.041884,4.098138,0.345565,0.048644,4.033031,-0.294653,0.062749,3.684366,-0.344918,0.568652,3.964716,0.867089,0.580569
42,1.708333,0.019810,-0.041244,4.097573,0.344200,0.052992,4.032641,-0.302668,0.030750,3.677247,-0.349856,0.604641,3.966153,0.889073,0.644239
43,1.750000,0.011833,-0.040178,4.104304,0.338934,0.056358,4.039794,-0.310837,0.011382,3.681239,-0.356080,0.624519,3.967589,0.900591,0.678218
44,1.791667,0.003287,-0.039339,4.110114,0.331252,0.057818,4.047460,-0.315938,0.012338,3.684337,-0.351648,0.632107,3.969026,0.895719,0.682962
45,1.833333,-0.004869,-0.037766,4.105069,0.320881,0.059578,4.044690,-0.315097,0.035370,3.676475,-0.336526,0.614833,3.970462,0.863713,0.650126
