frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,653.510,838.934,34.114,3656.0
2,0.033333,653.217,839.079,34.545,3749.0
3,0.066667,653.274,839.076,34.513,3742.0
4,0.100000,653.135,839.089,34.545,3749.0
5,0.133333,653.158,839.051,34.540,3748.0
6,0.166667,653.103,839.028,34.536,3747.0
7,0.200000,653.205,839.112,34.517,3743.0
8,0.233333,653.171,839.087,34.480,3735.0
9,0.266667,653.203,839.128,34.462,3731.0
10,0.300000,653.131,839.121,34.489,3737.0
11,0.333333,653.109,839.173,34.595,3760.0
12,0.366667,653.037,839.165,34.600,3761.0
13,0.400000,653.749,839.278,34.360,3709.0
14,0.433333,653.830,839.220,34.295,3695.0
15,0.466667,653.105,839.197,34.563,3753.0
16,0.500000,653.131,839.245,34.586,3758.0
17,0.533333,653.108,839.253,34.582,3757.0
18,0.566667,653.129,839.233,34.600,3761.0
19,0.600000,653.129,839.216,34.618,3765.0
20,0.633333,653.146,839.224,34.618,3765.0
21,0.666667,653.129,839.201,34.646,3771.0
22,0.700000,653.810,839.259,34.328,3702.0
23,0.733333,653.833,839.255,34.323,3701.0
24,0.766667,653.124,839.233,34.632,3768.0
25,0.800000,653.127,839.216,34.655,3773.0
26,0.833333,653.148,839.215,34.646,3771.0
27,0.866667,653.138,839.232,34.637,3769.0
28,0.900000,653.142,839.225,34.623,3766.0
29,0.933333,653.125,839.238,34.651,3772.0
30,0.966667,653.126,839.239,34.651,3772.0
31,1.000000,653.100,839.270,34.641,3770.0
32,1.033333,653.120,839.225,34.674,3777.0
33,1.066667,653.089,839.240,34.687,3780.0
34,1.100000,653.080,839.243,34.683,3779.0
35,1.133333,653.076,839.255,34.697,3782.0
36,1.166667,653.074,839.278,34.724,3788.0
37,1.200000,653.780,839.285,34.411,3720.0
38,1.233333,653.837,839.279,34.379,3713.0
39,1.266667,653.097,839.143,34.563,3753.0
40,1.300000,652.876,839.233,34.522,3744.0
41,1.333333,654.026,838.925,34.123,3658.0
42,1.366667,652.994,839.195,34.517,3743.0
43,1.400000,653.531,839.384,34.489,3737.0
44,1.433333,653.522,839.383,34.503,3740.0
45,1.466667,653.462,839.381,34.503,3740.0
46,1.500000,653.519,839.391,34.540,3748.0
47,1.533333,653.522,839.378,34.536,3747.0
48,1.566667,653.573,839.420,34.540,3748.0
49,1.600000,653.605,839.409,34.531,3746.0
50,1.633333,653.596,839.401,34.554,3751.0
51,1.666667,653.690,839.436,34.434,3725.0
52,1.700000,683.986,787.500,35.829,4033.0
53,1.733333,684.409,787.439,35.696,4003.0
54,1.766667,700.432,710.821,38.410,4635.0
55,1.800000,711.947,639.547,37.185,4344.0
56,1.833333,716.845,583.701,38.925,4760.0
57,1.866667,722.307,531.774,39.521,4907.0
58,1.900000,726.637,480.534,39.104,4804.0
59,1.933333,726.755,480.395,38.921,4759.0
60,1.966667,729.931,437.411,39.043,4789.0
61,2.000000,731.912,401.624,39.618,4931.0
62,2.033333,734.347,370.282,38.778,4724.0
63,2.066667,736.353,343.362,39.279,4847.0
64,2.100000,736.256,343.425,39.210,4830.0
65,2.133333,738.766,322.555,39.186,4824.0
66,2.166667,740.277,305.653,39.356,4866.0
67,2.200000,741.972,295.515,39.802,4977.0
68,2.233333,741.471,295.316,40.319,5107.0
69,2.266667,742.750,290.632,39.834,4985.0
70,2.300000,743.176,290.868,39.546,4913.0
71,2.333333,743.516,294.478,39.429,4884.0
72,2.366667,745.348,303.900,39.485,4898.0
73,2.400000,746.665,318.165,41.008,5283.0
74,2.433333,746.674,318.107,40.224,5083.0
75,2.466667,748.217,337.058,39.810,4979.0
76,2.500000,748.069,359.698,40.196,5076.0
77,2.533333,747.981,387.855,39.786,4973.0
78,2.566667,748.483,420.058,39.738,4961.0
79,2.600000,748.413,419.952,39.734,4960.0
80,2.633333,749.147,456.286,39.530,4909.0
81,2.666667,748.950,495.433,39.926,5008.0
82,2.700000,748.889,543.057,39.746,4963.0
83,2.733333,748.352,542.740,40.109,5054.0
84,2.766667,747.338,592.447,39.170,4820.0
85,2.800000,750.302,643.520,37.906,4514.0
86,2.833333,752.711,697.768,38.671,4698.0
87,2.866667,754.429,721.143,36.919,4282.0
88,2.900000,750.322,693.278,39.566,4918.0
89,2.933333,749.417,693.403,40.232,5085.0
90,2.966667,750.294,670.156,39.702,4952.0
91,3.000000,748.368,646.492,36.029,4078.0
92,3.033333,747.899,632.688,38.609,4683.0
93,3.066667,745.540,624.260,40.030,5034.0
94,3.100000,745.446,624.125,39.958,5016.0
95,3.133333,743.140,619.916,39.348,4864.0
96,3.166667,743.391,622.522,39.376,4871.0
97,3.200000,741.345,626.537,40.220,5082.0
98,3.233333,741.716,626.609,39.554,4915.0
99,3.266667,739.950,636.992,39.754,4965.0
100,3.300000,740.052,653.546,38.802,4730.0
101,3.333333,741.795,680.712,39.174,4821.0
102,3.366667,740.712,707.367,40.712,5207.0
103,3.400000,738.652,736.426,41.796,5488.0
104,3.433333,738.619,736.428,41.540,5421.0
105,3.466667,738.878,706.478,40.610,5181.0
106,3.500000,738.163,679.231,39.441,4887.0
107,3.533333,735.451,654.765,38.778,4724.0
108,3.566667,730.854,634.044,39.263,4843.0
109,3.600000,730.422,634.438,39.994,5025.0
110,3.633333,729.758,621.220,40.739,5214.0
111,3.666667,725.865,610.911,40.500,5153.0
112,3.700000,723.635,608.386,40.121,5057.0
113,3.733333,723.498,608.191,40.050,5039.0
114,3.766667,722.366,610.221,40.121,5057.0
115,3.800000,721.067,616.374,38.884,4750.0
116,3.833333,718.793,627.282,38.269,4601.0
117,3.866667,718.351,627.421,38.448,4644.0
118,3.900000,715.105,646.535,39.690,4949.0
119,3.933333,714.983,646.735,39.874,4995.0
120,3.966667,713.745,667.512,37.704,4466.0
121,4.000000,710.311,695.611,38.431,4640.0
122,4.033333,706.915,729.240,38.128,4567.0
123,4.066667,703.869,767.431,39.153,4816.0
124,4.100000,703.083,767.183,39.634,4935.0
125,4.133333,704.221,765.972,38.629,4688.0
126,4.166667,708.629,730.123,38.819,4734.0
127,4.200000,710.645,696.450,38.340,4618.0
128,4.233333,710.838,696.465,38.224,4590.0
129,4.266667,715.176,667.306,37.956,4526.0
130,4.300000,717.600,643.074,37.788,4486.0
131,4.333333,720.754,627.497,37.258,4361.0
132,4.366667,723.065,615.962,39.027,4785.0
133,4.400000,724.850,609.467,39.578,4921.0
134,4.433333,724.706,609.755,40.200,5077.0
135,4.466667,726.786,608.171,39.521,4907.0
136,4.500000,730.215,612.290,40.390,5125.0
137,4.533333,733.772,618.704,39.766,4968.0
138,4.566667,735.700,631.543,39.473,4895.0
139,4.600000,735.711,631.489,39.505,4903.0
140,4.633333,737.933,649.102,39.610,4929.0
141,4.666667,743.125,670.797,37.704,4466.0
142,4.700000,746.676,699.664,39.072,4796.0
143,4.733333,745.664,699.671,39.437,4886.0
144,4.766667,747.503,730.441,39.826,4983.0
145,4.800000,749.612,763.456,39.650,4939.0
146,4.833333,751.935,779.196,36.126,4100.0
147,4.866667,750.980,750.617,38.094,4559.0
148,4.900000,750.237,716.052,39.084,4799.0
149,4.933333,749.586,716.109,39.291,4850.0
150,4.966667,749.828,684.538,38.937,4763.0
151,5.000000,752.092,656.719,37.981,4532.0
152,5.033333,753.235,635.498,38.819,4734.0
153,5.066667,751.020,619.555,40.382,5123.0
154,5.100000,749.929,618.625,39.429,4884.0
155,5.133333,750.577,609.448,40.868,5247.0
156,5.166667,749.750,601.943,40.887,5252.0
157,5.200000,750.159,601.024,40.149,5064.0
158,5.233333,750.128,600.898,40.077,5046.0
159,5.266667,750.755,606.967,39.485,4898.0
160,5.300000,751.206,616.740,39.473,4895.0
161,5.333333,750.674,633.529,38.348,4620.0
162,5.366667,754.353,655.506,38.253,4597.0
163,5.400000,751.467,686.931,40.856,5244.0
164,5.433333,751.621,687.090,40.559,5168.0
165,5.466667,750.782,721.032,41.559,5426.0
166,5.500000,748.963,762.321,42.979,5803.0
167,5.533333,756.226,737.216,41.948,5528.0
168,5.566667,762.779,704.198,40.957,5270.0
169,5.600000,762.869,704.098,41.012,5284.0
170,5.633333,771.661,674.086,38.082,4556.0
171,5.666667,774.055,652.187,40.220,5082.0
172,5.700000,780.781,635.245,40.872,5248.0
173,5.733333,780.958,635.127,41.132,5315.0
174,5.766667,786.464,629.237,41.494,5409.0
175,5.800000,791.842,628.513,41.513,5414.0
176,5.833333,797.208,632.796,42.707,5730.0
177,5.866667,802.976,632.763,41.263,5349.0
178,5.900000,803.671,585.379,42.103,5569.0
179,5.933333,803.633,585.324,42.160,5584.0
180,5.966667,804.414,539.000,41.248,5345.0
181,6.000000,801.892,495.090,41.704,5464.0
182,6.033333,800.272,462.430,41.574,5430.0
183,6.066667,799.276,434.507,42.152,5582.0
184,6.100000,799.188,434.348,42.050,5555.0
185,6.133333,799.102,412.145,41.891,5513.0
186,6.166667,800.189,393.501,41.731,5471.0
187,6.200000,798.999,382.972,41.329,5366.0
188,6.233333,798.776,382.813,41.826,5496.0
189,6.266667,798.949,379.374,41.712,5466.0
190,6.300000,799.132,380.421,42.438,5658.0
191,6.333333,796.602,390.215,41.167,5324.0
192,6.366667,797.887,401.751,40.610,5181.0
193,6.400000,798.754,418.180,40.969,5273.0
194,6.433333,798.634,418.305,40.848,5242.0
195,6.466667,798.616,418.396,41.128,5314.0
196,6.500000,797.414,443.791,40.860,5245.0
197,6.533333,798.294,473.074,41.035,5290.0
198,6.566667,798.224,510.288,40.378,5122.0
199,6.600000,798.164,510.324,40.287,5099.0
200,6.633333,797.702,549.543,41.700,5463.0
201,6.666667,798.599,595.896,40.743,5215.0
202,6.700000,802.972,648.500,38.307,4610.0
203,6.733333,802.960,648.535,38.269,4601.0
204,6.766667,799.128,710.061,42.103,5569.0
205,6.800000,800.127,778.264,40.984,5277.0
206,6.833333,800.347,843.147,40.949,5268.0
207,6.866667,795.627,829.385,41.329,5366.0
208,6.900000,790.841,806.807,41.224,5339.0
209,6.933333,790.770,806.714,41.221,5338.0
