frame,time,anchor_type,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
1,0.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.14642923796720034,0.9120081796806034,0,1,0,0
2,0.033333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.14196893110520173,0.9023202478226562,0,1,0,0
3,0.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.13339835925510968,0.9023611554383567,0,1,0,0
4,0.1,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.14370915430072784,0.905247203086335,0,1,0,0
5,0.133333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1394889205150057,0.905247203086335,0,1,0,0
6,0.166667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.164027221665966,0.9151928233561006,0,1,0,0
7,0.2,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18752070953954506,0.9150000811665558,0,1,0,0
8,0.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18196127387816322,0.9150000811665558,0,1,0,0
9,0.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21272428813024918,0.9199498465910212,0,1,0,0
10,0.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.22768794980281287,0.9377600949519753,0,1,0,0
11,0.333333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21889143799490443,0.9448613139341573,0,1,0,0
12,0.366667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.22142780016461006,0.9495400020715553,0,1,0,0
13,0.4,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20320082972775547,0.9172242905277656,0,1,0,0
14,0.433333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19543234854766264,0.9211858053713629,0,1,0,0
15,0.466667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21360627823956993,0.919196716115691,0,1,0,0
16,0.5,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21330950109468305,0.919196716115691,0,1,0,0
17,0.533333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2153207431668683,0.919196716115691,0,1,0,0
18,0.566667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21285437046682976,0.919196716115691,0,1,0,0
19,0.6,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20267908776985719,0.9206624810318293,0,1,0,0
20,0.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21424217453810607,0.9206624810318293,0,1,0,0
21,0.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21169690602110047,0.9206624810318293,0,1,0,0
22,0.7,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20508417451099384,0.9091706396818761,0,1,0,0
23,0.733333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2028025577465262,0.9088927259728103,0,1,0,0
24,0.766667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21112895744658688,0.9206624810318293,0,1,0,0
25,0.8,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2008397453541784,0.9206624810318293,0,1,0,0
26,0.833333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19845704243268655,0.9288886522448223,0,1,0,0
27,0.866667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19556776043825289,0.9288886522448223,0,1,0,0
28,0.9,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19367459582349209,0.9288886522448223,0,1,0,0
29,0.933333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19950008670084834,0.9288886522448223,0,1,0,0
30,0.966667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19400432692702996,0.9288886522448223,0,1,0,0
31,1.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1937592971710557,0.9206624810318293,0,1,0,0
32,1.033333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18860366733985748,0.9252813690196036,0,1,0,0
33,1.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18726098572628921,0.9169572016062203,0,1,0,0
34,1.1,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19152992385190953,0.9169572016062203,0,1,0,0
35,1.133333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19128779787128955,0.9169572016062203,0,1,0,0
36,1.166667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20594626299917718,0.9259001495589136,0,1,0,0
