frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
1,0.000000,-0.879673,0.857983,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.510,838.933,36.661,653.510,838.933,41.810,880.743,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.938462,6.709749,7.441304,-0.387071
2,0.033333,-0.878398,0.859387,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.954,839.422,36.729,653.954,839.422,41.810,881.232,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.937442,6.703704,7.438234,-0.381027
3,0.066667,-0.878396,0.859722,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.955,839.539,36.730,653.955,839.539,41.810,881.349,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.934794,6.695471,7.435163,-0.372794
4,0.100000,-0.878995,0.859292,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.746,839.389,36.747,653.746,839.389,41.810,881.199,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932170,6.688560,7.432093,-0.365882
5,0.133333,-0.879036,0.859447,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.732,839.443,36.747,653.732,839.443,41.810,881.253,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928628,6.679928,7.429023,-0.357250
6,0.166667,-0.878878,0.859303,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.787,839.393,36.810,653.787,839.393,41.810,881.203,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.924734,6.670431,7.425953,-0.347753
7,0.200000,-0.878772,0.859378,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.419,36.809,653.824,839.419,41.810,881.229,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.923400,6.663061,7.422883,-0.340384
8,0.233333,-0.878688,0.859295,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.853,839.390,36.809,653.853,839.390,41.810,881.200,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.923543,6.660546,7.419813,-0.337869
9,0.266667,-0.878714,0.859217,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.844,839.363,36.746,653.844,839.363,41.810,881.173,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.924749,6.660575,7.416742,-0.337897
10,0.300000,-0.878769,0.859100,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.825,839.322,36.868,653.825,839.322,41.810,881.132,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.926108,6.658776,7.413672,-0.336098
11,0.333333,-0.878955,0.859257,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.377,36.922,653.760,839.377,41.810,881.187,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927897,6.659274,7.410602,-0.336596
12,0.366667,-0.879234,0.859358,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.663,839.412,36.960,653.663,839.412,41.810,881.222,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930191,6.654934,7.407532,-0.332257
13,0.400000,-0.879064,0.859478,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.722,839.454,36.692,653.722,839.454,41.810,881.264,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932321,6.651474,7.404462,-0.328797
14,0.433333,-0.879047,0.859444,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.728,839.442,36.611,653.728,839.442,41.810,881.252,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.933296,6.660299,7.401392,-0.337621
15,0.466667,-0.878927,0.859473,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,839.452,36.741,653.770,839.452,41.810,881.262,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.933583,6.666112,7.398321,-0.343434
16,0.500000,-0.878772,0.859481,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.455,36.741,653.824,839.455,41.810,881.265,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931915,6.674203,7.395251,-0.351525
17,0.533333,-0.878542,0.859602,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.904,839.497,36.741,653.904,839.497,41.810,881.307,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929947,6.682101,7.392181,-0.359423
18,0.566667,-0.878261,0.859737,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.002,839.544,36.741,654.002,839.544,41.810,881.354,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927154,6.680662,7.389111,-0.357985
19,0.600000,-0.878352,0.859932,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.970,839.612,36.770,653.970,839.612,41.810,881.422,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927437,6.687319,7.386041,-0.364642
20,0.633333,-0.877939,0.859984,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.114,839.630,36.770,654.114,839.630,41.810,881.440,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928537,6.690660,7.382971,-0.367983
21,0.666667,-0.878008,0.859628,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.090,839.506,36.770,654.090,839.506,41.810,881.316,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929186,6.698761,7.379900,-0.376083
22,0.700000,-0.878278,0.859378,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.996,839.419,36.544,653.996,839.419,41.810,881.229,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929368,6.703583,7.376830,-0.380906
23,0.733333,-0.878232,0.859665,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.012,839.519,36.543,654.012,839.519,41.810,881.329,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930446,6.701982,7.373760,-0.379305
24,0.766667,-0.878358,0.859343,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.968,839.407,36.770,653.968,839.407,41.810,881.217,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930138,6.695570,7.370690,-0.372893
25,0.800000,-0.878404,0.859407,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.952,839.429,36.770,653.952,839.429,41.810,881.239,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929435,6.694598,7.367620,-0.371921
26,0.833333,-0.878459,0.859349,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.933,839.409,36.938,653.933,839.409,41.810,881.219,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928665,6.692117,7.364550,-0.369440
