frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
2,2,2,0.041667,anchor_contact_event,right_hand,0.606828,soft,0.000000,0.606828,0.000000,0.233097,0.000000,0.000000
10,10,10,0.375000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.279895,1.000000,0.932983,0.000000,0.000000
22,22,22,0.875000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.130094,1.000000,0.433646,0.000000,0.000000
26,24,26,1.041667,anchor_contact_event,right_hand,0.569777,soft,0.000000,0.569777,0.000000,0.433646,0.000000,0.000000
36,36,36,1.458333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.205910,1.000000,0.686363,0.000000,0.000000
38,34,38,1.541667,anchor_contact_event,right_hand,0.471100,soft,0.250668,0.471100,0.000000,0.343181,0.000000,0.000000
50,50,50,2.041667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.211090,1.000000,0.703634,0.000000,0.000000
53,52,53,2.166667,anchor_contact_event,right_hand,0.480515,soft,0.000000,0.480515,0.000000,0.469089,0.000000,0.000000
63,63,63,2.583333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.199599,1.000000,0.665329,0.000000,0.000000
66,62,66,2.708333,anchor_contact_event,right_hand,0.628425,soft,0.000000,0.628425,0.000000,0.443553,0.000000,0.000000
76,76,76,3.125000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.137875,1.000000,0.459262,0.000000,0.000000
79,77,79,3.250000,anchor_contact_event,right_hand,0.585158,soft,0.000000,0.585158,0.000000,0.306175,0.000000,0.000000
87,87,87,3.583333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.187273,1.000000,0.624199,0.000000,0.000000
90,86,90,3.708333,anchor_contact_event,right_hand,0.562871,soft,0.000000,0.562871,0.000000,0.416133,0.000000,0.000000
99,99,99,4.083333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.085051,1.000000,0.283473,0.000000,0.000000
103,101,103,4.250000,anchor_contact_event,right_hand,0.585237,soft,0.000000,0.585237,0.000000,0.283473,0.000000,0.000000
112,112,112,4.625000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.136490,1.000000,0.454965,0.000000,0.000000
115,114,115,4.750000,anchor_contact_event,right_hand,0.448067,proposal,0.000000,0.448067,0.000000,0.303310,0.000000,0.000000
125,125,125,5.166667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.160685,1.000000,0.535614,0.000000,0.000000
128,124,128,5.291667,anchor_contact_event,right_hand,0.596577,soft,0.000000,0.596577,0.000000,0.357076,0.000000,0.000000
137,137,137,5.666667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.244675,1.000000,0.815531,0.000000,0.000000
139,135,139,5.750000,anchor_contact_event,right_hand,0.535869,soft,0.029854,0.535869,0.000000,0.407766,0.000000,0.000000
148,148,148,6.125000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.166695,1.000000,0.555648,0.000000,0.000000
151,150,151,6.250000,anchor_contact_event,right_hand,0.437770,proposal,0.000000,0.437770,0.000000,0.370432,0.000000,0.000000
160,160,160,6.625000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.163025,1.000000,0.543415,0.000000,0.000000
163,159,163,6.750000,anchor_contact_event,right_hand,0.549698,soft,0.000000,0.549698,0.000000,0.362277,0.000000,0.000000
173,173,173,7.166667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.193073,1.000000,0.643549,0.000000,0.000000
176,172,176,7.291667,anchor_contact_event,right_hand,0.553844,soft,0.011519,0.553844,0.000000,0.429032,0.000000,0.000000
186,186,186,7.708333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.167356,1.000000,0.557825,0.000000,0.000000
189,185,189,7.833333,anchor_contact_event,right_hand,0.493563,soft,0.173343,0.493563,0.000000,0.371883,0.000000,0.000000
