frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
1,0.000000,-0.312768,0.075410,3.631083,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.500,390.500,,513.500,390.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.053659,3.667256,513.500,390.500,508.000,349.000,0.034877,0.034877,3.665960,3.631083,3.935207,3.631083,-0.001296,0.015849,0.000000,
2,0.041667,-0.311118,0.059542,3.631083,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.167,384.082,,514.167,384.082,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.054241,3.663545,514.167,384.082,506.000,342.000,0.052342,0.052342,3.683425,3.631083,3.945672,3.631083,0.019880,-0.000000,0.233097,
3,0.083333,-0.313148,0.056561,3.670146,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.694,382.633,,514.694,382.633,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.050013,3.660486,514.694,382.633,506.000,341.000,0.072793,0.072793,3.742939,3.629179,3.923542,3.629179,0.082453,-0.011763,0.000000,
4,0.125000,-0.313226,0.063419,3.712567,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.095,385.087,,516.095,385.087,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.037309,3.669440,516.095,385.087,510.000,344.000,0.020017,0.020017,3.732584,3.627276,3.918552,3.627276,0.063144,-0.009268,0.000000,
5,0.166667,-0.309149,0.086611,3.760576,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,,519.269,393.824,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.009671,3.685719,519.269,393.824,507.000,358.000,0.018247,0.018247,3.778823,3.625372,3.946158,3.625372,0.093104,0.003725,0.000000,
6,0.208333,-0.307381,0.156106,3.814933,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,,521.670,420.095,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.032352,3.706092,521.670,420.095,514.000,378.000,-0.053594,-0.053594,3.761339,3.623469,3.908206,3.623469,0.055247,0.045783,0.000000,
7,0.250000,-0.308835,0.269396,3.874002,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,,522.923,462.126,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.089653,3.749129,522.923,462.126,526.000,406.000,-0.042657,-0.042657,3.831345,3.621566,3.872606,3.621566,0.082216,0.099048,0.000000,
8,0.291667,-0.308018,0.413552,3.932712,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,,524.976,514.434,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.131219,3.786225,524.976,514.434,524.000,479.000,2.437364,0.000000,3.932712,3.619662,3.845335,3.619662,0.146487,0.198074,0.000000,
9,0.333333,-0.300506,0.607131,3.981207,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,,529.148,583.961,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.158073,3.815989,529.148,583.961,527.000,540.000,-0.107549,-0.107549,3.873658,3.617759,3.828840,3.617759,0.057669,0.358494,0.000000,
10,0.375000,-0.304102,0.658319,4.002590,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,,528.421,601.546,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.168980,3.840481,528.421,601.546,547.000,558.000,0.008248,0.008248,4.010838,3.615855,3.855085,3.615855,0.170357,0.395617,0.932983,audio_floor_soft
