frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
1,0.000000,0.882245264,0.000000000,0.000000000,0.000000000,0.000000000,0.000448423,,0.000000000,,,,,0.881796841,0.881796841,pass,pass,0,,,0,,non_invasive_loss_audit_from_generic_outputs
2,0.041667,0.863372467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.001723763,0.001723763,,,0.861648704,0.861648704,pass,pass,1,,,1,,non_invasive_loss_audit_from_generic_outputs
3,0.083333,0.909756137,0.000000000,0.000000000,0.000000000,0.000000000,0.000623701,,0.000000000,0.001729948,0.001729948,,,0.907402488,0.907402488,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
4,0.125000,0.926773302,0.000000000,0.000000000,0.000000000,0.000000000,0.001246019,,0.000000000,0.001743434,0.001743434,,,0.923783849,0.923783849,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
5,0.166667,0.883071201,0.000000000,0.000000000,0.000000000,0.000000000,0.002691742,,0.000000000,0.001758673,0.001758673,,,0.878620786,0.878620786,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
6,0.208333,0.973616040,0.000000000,0.000000000,0.000000000,0.000000000,0.020362719,,0.000000000,0.001798006,0.001798006,,,0.951455315,0.951455315,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
7,0.250000,1.050603084,0.000000000,0.000000000,0.000000000,0.000000000,0.030087678,,0.000000000,0.002308528,0.002308528,,,1.018206878,1.018206878,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
8,0.291667,1.100460214,0.000000000,0.000000000,0.000000000,0.000000000,0.027735905,,0.000000000,0.002399204,0.002399204,,,1.070325105,1.070325105,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
9,0.333333,1.200208318,0.000000000,0.000000000,0.000000000,0.000000000,0.091560708,,0.000000000,0.002412921,0.002412921,,,1.106234689,1.106234689,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
10,0.375000,1.099830701,0.000000000,0.000000000,0.000000000,0.000000000,0.044044577,,0.000000000,0.002299632,0.002299632,,,1.053486492,1.053486492,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
