frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
1,0.000000,0,none,right,none,boundary_003,508.000,349.000,0.034877,0.765372,0.000000,hand_floor_from_anchor_floor_candidates
2,0.041667,0,none,right,none,boundary_004,506.000,342.000,0.052342,0.905911,0.000000,hand_floor_from_anchor_floor_candidates
3,0.083333,0,none,right,none,boundary_004,506.000,341.000,0.072793,0.948132,0.000000,hand_floor_from_anchor_floor_candidates
4,0.125000,0,none,right,none,boundary_003,510.000,344.000,0.020017,0.949831,0.000000,hand_floor_from_anchor_floor_candidates
5,0.166667,0,none,right,none,boundary_004,507.000,358.000,0.018247,0.941903,0.000000,hand_floor_from_anchor_floor_candidates
6,0.208333,0,none,right,none,boundary_002,514.000,378.000,-0.053594,0.861841,0.000000,hand_floor_from_anchor_floor_candidates
7,0.250000,0,none,right,none,boundary_000,526.000,406.000,-0.042657,0.685147,0.000000,hand_floor_from_anchor_floor_candidates
8,0.291667,0,none,right,none,boundary_000,524.000,479.000,2.437364,0.181739,0.000000,hand_floor_from_anchor_floor_candidates
9,0.333333,0,none,right,none,boundary_000,527.000,540.000,-0.107549,0.579706,1.000000,hand_floor_from_anchor_floor_candidates
10,0.375000,1,floor,,floor_support,boundary_000,547.000,558.000,0.008248,0.871438,1.000000,hand_floor_from_anchor_floor_candidates
11,0.416667,0,none,right,none,boundary_062,530.000,527.000,0.075393,0.318454,0.603810,hand_floor_from_anchor_floor_candidates
12,0.458333,0,none,right,none,boundary_062,526.000,474.000,1.796760,0.237584,0.000000,hand_floor_from_anchor_floor_candidates
13,0.500000,0,none,right,none,boundary_062,522.000,441.000,3.841463,0.397149,0.000000,hand_floor_from_anchor_floor_candidates
14,0.541667,0,none,right,none,boundary_000,521.000,414.000,3.813060,0.517754,0.000000,hand_floor_from_anchor_floor_candidates
15,0.583333,0,none,right,none,boundary_000,521.000,394.000,2.160910,0.619094,0.000000,hand_floor_from_anchor_floor_candidates
16,0.625000,0,none,right,none,boundary_000,525.000,379.000,0.550248,0.753833,0.000000,hand_floor_from_anchor_floor_candidates
17,0.666667,0,none,right,none,boundary_003,525.000,372.000,0.008560,0.904716,0.000000,hand_floor_from_anchor_floor_candidates
18,0.708333,0,none,right,none,boundary_002,529.000,375.000,-0.016328,0.945113,0.000000,hand_floor_from_anchor_floor_candidates
19,0.750000,0,none,right,none,boundary_003,529.000,391.000,-0.002018,0.901788,0.000000,hand_floor_from_anchor_floor_candidates
20,0.791667,0,none,right,none,boundary_003,529.000,439.000,-0.072256,0.617283,0.000000,hand_floor_from_anchor_floor_candidates
21,0.833333,0,none,right,none,boundary_003,531.000,495.000,0.041338,0.242323,0.234724,hand_floor_from_anchor_floor_candidates
22,0.875000,1,floor,,floor_support,boundary_000,534.000,563.000,0.012039,0.573102,1.000000,hand_floor_from_anchor_floor_candidates
23,0.916667,0,none,right,none,boundary_000,528.000,560.000,0.021368,0.579133,1.000000,hand_floor_from_anchor_floor_candidates
24,0.958333,0,none,right,none,boundary_000,532.000,502.000,0.125020,0.285891,0.426043,hand_floor_from_anchor_floor_candidates
25,1.000000,0,none,right,none,boundary_003,519.000,460.000,-0.038615,0.654390,0.000000,hand_floor_from_anchor_floor_candidates
26,1.041667,0,none,right,none,boundary_004,520.000,435.000,-0.005201,0.740000,0.000000,hand_floor_from_anchor_floor_candidates
27,1.083333,0,none,right,none,boundary_003,521.000,410.000,0.034359,0.766135,0.000000,hand_floor_from_anchor_floor_candidates
28,1.125000,0,none,right,none,boundary_001,519.000,394.000,0.073357,0.783244,0.000000,hand_floor_from_anchor_floor_candidates
29,1.166667,0,none,right,none,boundary_000,521.000,380.000,0.126605,0.814712,0.000000,hand_floor_from_anchor_floor_candidates
30,1.208333,0,none,right,none,boundary_001,518.000,378.000,0.115378,0.883802,0.000000,hand_floor_from_anchor_floor_candidates
31,1.250000,0,none,right,none,boundary_003,520.000,382.000,0.087785,0.964316,0.000000,hand_floor_from_anchor_floor_candidates
32,1.291667,0,none,right,none,boundary_004,519.000,399.000,-0.001729,0.925422,0.000000,hand_floor_from_anchor_floor_candidates
33,1.333333,0,none,right,none,boundary_005,528.000,432.000,0.036688,0.928892,0.000000,hand_floor_from_anchor_floor_candidates
34,1.375000,0,none,right,none,boundary_062,531.000,488.000,0.026105,0.448788,0.266611,hand_floor_from_anchor_floor_candidates
35,1.416667,0,none,right,none,boundary_000,542.000,545.000,0.070220,0.478145,1.000000,hand_floor_from_anchor_floor_candidates
36,1.458333,1,floor,,floor_support,boundary_000,539.000,574.000,0.069242,0.810150,1.000000,hand_floor_from_anchor_floor_candidates
37,1.500000,0,none,right,none,boundary_000,535.000,528.000,-0.027936,0.341507,0.792738,hand_floor_from_anchor_floor_candidates
38,1.541667,0,none,right,none,boundary_000,532.000,484.000,0.058664,0.668167,0.250668,hand_floor_from_anchor_floor_candidates
39,1.583333,0,none,right,none,boundary_001,518.000,450.000,0.000894,0.918361,0.000000,hand_floor_from_anchor_floor_candidates
40,1.625000,0,none,right,none,boundary_002,513.000,424.000,0.044904,0.921653,0.000000,hand_floor_from_anchor_floor_candidates
41,1.666667,0,none,right,none,boundary_001,511.000,402.000,0.135583,0.844804,0.000000,hand_floor_from_anchor_floor_candidates
42,1.708333,0,none,right,none,boundary_002,509.000,388.000,0.113495,0.795980,0.000000,hand_floor_from_anchor_floor_candidates
43,1.750000,0,none,right,none,boundary_002,508.000,380.000,0.132893,0.752804,0.000000,hand_floor_from_anchor_floor_candidates
44,1.791667,0,none,right,none,boundary_001,510.000,377.000,0.117810,0.769379,0.000000,hand_floor_from_anchor_floor_candidates
45,1.833333,0,none,right,none,boundary_003,504.000,390.000,0.063792,0.805642,0.000000,hand_floor_from_anchor_floor_candidates
46,1.875000,0,none,right,none,boundary_007,507.000,407.000,-0.099169,0.881746,0.000000,hand_floor_from_anchor_floor_candidates
47,1.916667,0,none,right,none,boundary_005,517.000,444.000,-0.084889,0.709285,0.000000,hand_floor_from_anchor_floor_candidates
48,1.958333,0,none,right,none,boundary_005,532.000,491.000,0.017989,0.428577,0.221173,hand_floor_from_anchor_floor_candidates
49,2.000000,0,none,right,none,boundary_002,541.000,541.000,0.004284,0.406760,1.000000,hand_floor_from_anchor_floor_candidates
50,2.041667,1,floor,,floor_support,boundary_000,539.000,586.000,0.116312,0.584193,1.000000,hand_floor_from_anchor_floor_candidates
51,2.083333,0,none,right,none,boundary_003,550.000,539.000,0.017078,0.292475,0.984057,hand_floor_from_anchor_floor_candidates
52,2.125000,0,none,right,none,boundary_003,559.000,493.000,0.039678,0.569540,0.298497,hand_floor_from_anchor_floor_candidates
53,2.166667,0,none,right,none,boundary_005,559.000,470.000,-0.027190,0.642980,0.000000,hand_floor_from_anchor_floor_candidates
54,2.208333,0,none,right,none,boundary_003,565.000,439.000,0.056577,0.745472,0.000000,hand_floor_from_anchor_floor_candidates
55,2.250000,0,none,right,none,boundary_001,574.000,415.000,0.090446,0.734285,0.000000,hand_floor_from_anchor_floor_candidates
56,2.291667,0,none,right,none,boundary_002,579.000,400.000,0.091486,0.730832,0.000000,hand_floor_from_anchor_floor_candidates
57,2.333333,0,none,right,none,boundary_004,588.000,396.000,0.072253,0.621598,0.000000,hand_floor_from_anchor_floor_candidates
