frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
1,0.000000,static_hold,0.000000,0,0,0,generic_motion_regime_from_se3_and_anchor_state
2,0.041667,low_speed,0.015867,0,0,0,generic_motion_regime_from_se3_and_anchor_state
3,0.083333,static_hold,0.003992,0,0,0,generic_motion_regime_from_se3_and_anchor_state
4,0.125000,static_hold,0.007063,0,0,0,generic_motion_regime_from_se3_and_anchor_state
5,0.166667,low_speed,0.022914,0,0,0,generic_motion_regime_from_se3_and_anchor_state
6,0.208333,uniform_motion,0.065008,0,0,0,generic_motion_regime_from_se3_and_anchor_state
7,0.250000,free_motion,0.103661,0,0,0,generic_motion_regime_from_se3_and_anchor_state
8,0.291667,free_motion,0.129120,0,0,0,generic_motion_regime_from_se3_and_anchor_state
9,0.333333,high_speed,0.171863,0,0,0,generic_motion_regime_from_se3_and_anchor_state
10,0.375000,short_impact,0.043655,1,0,1,generic_motion_regime_from_se3_and_anchor_state
11,0.416667,free_motion,0.107817,0,0,0,generic_motion_regime_from_se3_and_anchor_state
12,0.458333,free_motion,0.099696,0,0,0,generic_motion_regime_from_se3_and_anchor_state
13,0.500000,uniform_motion,0.078399,0,0,0,generic_motion_regime_from_se3_and_anchor_state
14,0.541667,uniform_motion,0.064130,0,0,0,generic_motion_regime_from_se3_and_anchor_state
15,0.583333,uniform_motion,0.051526,0,0,0,generic_motion_regime_from_se3_and_anchor_state
16,0.625000,low_speed,0.038327,0,0,0,generic_motion_regime_from_se3_and_anchor_state
17,0.666667,low_speed,0.018094,0,0,0,generic_motion_regime_from_se3_and_anchor_state
18,0.708333,static_hold,0.004828,0,0,0,generic_motion_regime_from_se3_and_anchor_state
19,0.750000,low_speed,0.040944,0,0,0,generic_motion_regime_from_se3_and_anchor_state
20,0.791667,free_motion,0.121332,0,0,0,generic_motion_regime_from_se3_and_anchor_state
21,0.833333,high_speed,0.144288,0,0,0,generic_motion_regime_from_se3_and_anchor_state
22,0.875000,sustained_grasp_high_speed,0.157530,1,1,1,generic_motion_regime_from_se3_and_anchor_state
23,0.916667,static_hold,0.008723,0,0,0,generic_motion_regime_from_se3_and_anchor_state
24,0.958333,high_speed,0.137746,0,0,0,generic_motion_regime_from_se3_and_anchor_state
25,1.000000,free_motion,0.099067,0,0,0,generic_motion_regime_from_se3_and_anchor_state
26,1.041667,uniform_motion,0.076920,0,0,0,generic_motion_regime_from_se3_and_anchor_state
27,1.083333,uniform_motion,0.056766,0,0,0,generic_motion_regime_from_se3_and_anchor_state
28,1.125000,low_speed,0.039794,0,0,0,generic_motion_regime_from_se3_and_anchor_state
29,1.166667,low_speed,0.020977,0,0,0,generic_motion_regime_from_se3_and_anchor_state
30,1.208333,static_hold,0.009875,0,0,0,generic_motion_regime_from_se3_and_anchor_state
31,1.250000,static_hold,0.007501,0,0,0,generic_motion_regime_from_se3_and_anchor_state
32,1.291667,uniform_motion,0.045515,0,0,0,generic_motion_regime_from_se3_and_anchor_state
33,1.333333,uniform_motion,0.074412,0,0,0,generic_motion_regime_from_se3_and_anchor_state
34,1.375000,high_speed,0.142818,0,0,0,generic_motion_regime_from_se3_and_anchor_state
35,1.416667,high_speed,0.156235,0,0,0,generic_motion_regime_from_se3_and_anchor_state
36,1.458333,sustained_grasp,0.058739,1,1,1,generic_motion_regime_from_se3_and_anchor_state
37,1.500000,free_motion,0.115553,0,0,0,generic_motion_regime_from_se3_and_anchor_state
38,1.541667,free_motion,0.103976,0,0,0,generic_motion_regime_from_se3_and_anchor_state
39,1.583333,uniform_motion,0.087515,0,0,0,generic_motion_regime_from_se3_and_anchor_state
40,1.625000,uniform_motion,0.068128,0,0,0,generic_motion_regime_from_se3_and_anchor_state
41,1.666667,uniform_motion,0.052383,0,0,0,generic_motion_regime_from_se3_and_anchor_state
42,1.708333,low_speed,0.033065,0,0,0,generic_motion_regime_from_se3_and_anchor_state
43,1.750000,low_speed,0.019037,0,0,0,generic_motion_regime_from_se3_and_anchor_state
44,1.791667,static_hold,0.008306,0,0,0,generic_motion_regime_from_se3_and_anchor_state
45,1.833333,low_speed,0.021909,0,0,0,generic_motion_regime_from_se3_and_anchor_state
46,1.875000,uniform_motion,0.050015,0,0,0,generic_motion_regime_from_se3_and_anchor_state
47,1.916667,uniform_motion,0.088353,0,0,0,generic_motion_regime_from_se3_and_anchor_state
48,1.958333,free_motion,0.124556,0,0,0,generic_motion_regime_from_se3_and_anchor_state
49,2.000000,high_speed,0.147571,0,0,0,generic_motion_regime_from_se3_and_anchor_state
50,2.041667,sustained_grasp,0.081939,1,1,1,generic_motion_regime_from_se3_and_anchor_state
51,2.083333,free_motion,0.107430,0,0,0,generic_motion_regime_from_se3_and_anchor_state
52,2.125000,free_motion,0.103573,0,0,0,generic_motion_regime_from_se3_and_anchor_state
53,2.166667,uniform_motion,0.087783,0,0,0,generic_motion_regime_from_se3_and_anchor_state
54,2.208333,uniform_motion,0.069589,0,0,0,generic_motion_regime_from_se3_and_anchor_state
55,2.250000,uniform_motion,0.049932,0,0,0,generic_motion_regime_from_se3_and_anchor_state
56,2.291667,low_speed,0.041217,0,0,0,generic_motion_regime_from_se3_and_anchor_state
57,2.333333,low_speed,0.020421,0,0,0,generic_motion_regime_from_se3_and_anchor_state
58,2.375000,low_speed,0.017363,0,0,0,generic_motion_regime_from_se3_and_anchor_state
59,2.416667,low_speed,0.025675,0,0,0,generic_motion_regime_from_se3_and_anchor_state
60,2.458333,uniform_motion,0.063087,0,0,0,generic_motion_regime_from_se3_and_anchor_state
61,2.500000,free_motion,0.111366,0,0,0,generic_motion_regime_from_se3_and_anchor_state
62,2.541667,high_speed,0.148819,0,0,0,generic_motion_regime_from_se3_and_anchor_state
63,2.583333,sustained_grasp,0.111644,1,1,1,generic_motion_regime_from_se3_and_anchor_state
64,2.625000,free_motion,0.094455,0,0,0,generic_motion_regime_from_se3_and_anchor_state
65,2.666667,free_motion,0.119694,0,0,0,generic_motion_regime_from_se3_and_anchor_state
66,2.708333,uniform_motion,0.076419,0,0,0,generic_motion_regime_from_se3_and_anchor_state
67,2.750000,uniform_motion,0.066374,0,0,0,generic_motion_regime_from_se3_and_anchor_state
68,2.791667,uniform_motion,0.048697,0,0,0,generic_motion_regime_from_se3_and_anchor_state
69,2.833333,low_speed,0.029864,0,0,0,generic_motion_regime_from_se3_and_anchor_state
70,2.875000,low_speed,0.017930,0,0,0,generic_motion_regime_from_se3_and_anchor_state
71,2.916667,static_hold,0.010894,0,0,0,generic_motion_regime_from_se3_and_anchor_state
72,2.958333,low_speed,0.039057,0,0,0,generic_motion_regime_from_se3_and_anchor_state
73,3.000000,uniform_motion,0.075241,0,0,0,generic_motion_regime_from_se3_and_anchor_state
74,3.041667,free_motion,0.114541,0,0,0,generic_motion_regime_from_se3_and_anchor_state
75,3.083333,high_speed,0.156035,0,0,0,generic_motion_regime_from_se3_and_anchor_state
76,3.125000,sustained_grasp,0.044647,1,1,1,generic_motion_regime_from_se3_and_anchor_state
77,3.166667,free_motion,0.112885,0,0,0,generic_motion_regime_from_se3_and_anchor_state
78,3.208333,free_motion,0.104337,0,0,0,generic_motion_regime_from_se3_and_anchor_state
79,3.250000,uniform_motion,0.083521,0,0,0,generic_motion_regime_from_se3_and_anchor_state
80,3.291667,uniform_motion,0.061243,0,0,0,generic_motion_regime_from_se3_and_anchor_state
81,3.333333,uniform_motion,0.048128,0,0,0,generic_motion_regime_from_se3_and_anchor_state
82,3.375000,low_speed,0.021577,0,0,0,generic_motion_regime_from_se3_and_anchor_state
83,3.416667,low_speed,0.014870,0,0,0,generic_motion_regime_from_se3_and_anchor_state
