frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
1,0.000000,513.500,390.500,513.500,390.500,513.500,390.500,cotracker_box_center,center,513.500,434.000,434.000,43.500,43.500,cotracker_bottom,,,stage2_contact_policy,2.681067,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.607968,2.681067,2.681067,2.681067,1.000000,0.000000,,,46.265
2,0.041667,514.167,384.082,514.167,384.082,514.167,384.082,cotracker_box_center,center,514.167,428.170,428.170,44.088,44.088,cotracker_bottom,,,stage2_contact_policy,2.691532,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.677267,2.691532,2.691532,2.691532,1.000000,0.000000,,,46.539
3,0.083333,514.694,382.633,514.694,382.633,514.694,382.633,cotracker_tb_center,center,514.694,426.135,426.135,43.502,43.502,cotracker_bottom,,,stage2_contact_policy,2.669402,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.724858,2.669402,2.669402,2.669402,1.000000,0.000000,,,46.553
4,0.125000,516.095,385.087,516.095,385.087,516.095,385.087,cotracker_tb_center,center,516.095,427.975,427.975,42.888,42.888,cotracker_bottom,,,stage2_contact_policy,2.664412,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.714178,2.664412,2.664412,2.664412,1.000000,0.000000,,,45.554
5,0.166667,519.269,393.824,519.269,393.824,519.269,393.824,cotracker_center_fallback,center,519.269,438.400,438.400,44.576,44.576,cotracker_bottom,,,stage2_contact_policy,2.692018,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.733392,2.692018,2.692018,2.692018,1.000000,0.000000,,,47.204
6,0.208333,521.670,420.095,521.670,420.095,521.670,420.095,cotracker_center_fallback,center,521.670,461.935,461.935,41.840,41.840,cotracker_bottom,,,stage2_contact_policy,2.654066,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.558751,2.654066,2.654066,2.654066,1.000000,0.000000,,,48.281
7,0.250000,522.923,462.126,522.923,462.126,522.923,462.126,cotracker_center_fallback,center,522.923,501.367,501.367,39.241,39.241,cotracker_bottom,,,stage2_contact_policy,2.618466,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.634469,2.618466,2.618466,2.618466,1.000000,0.000000,,,51.399
8,0.291667,524.976,514.434,524.976,514.434,524.976,514.434,cotracker_center_fallback,center,524.976,553.424,553.424,38.990,38.990,cotracker_bottom,,,stage2_contact_policy,2.591195,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.801210,2.591195,2.591195,2.591195,1.000000,0.000000,,,45.820
9,0.333333,529.148,583.961,529.148,583.961,529.148,583.961,cotracker_center_fallback,center,529.148,626.642,626.642,42.681,42.681,cotracker_bottom,,,stage2_contact_policy,2.574700,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.411601,2.574700,2.574700,2.574700,1.000000,0.000000,,,45.684
10,0.375000,528.421,601.546,528.421,601.546,528.421,601.546,cotracker_center_fallback,center,528.421,635.214,635.214,33.668,33.668,cotracker_bottom,,,stage2_contact_policy,2.600945,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.475661,2.600945,2.600945,2.600945,1.000000,0.000000,,,46.220
