frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
1,static_hold,1,1,0,1,1,1,1,1,1,1,0.200000,1.560000,2.020833,1,stage_audit_residual_reweight:vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
2,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,2.020833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
3,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,2.020833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
4,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.740000,2.020833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
5,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
6,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
7,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
8,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.616667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
9,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.516667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
10,short_impact,1,1,0,1,1,1,1,1,1,1,0.200000,0.420000,0.516667,1,stage_audit_residual_reweight:vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
11,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.684000,0.675000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
12,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
13,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
14,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
15,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
16,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
17,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
18,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
19,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.529167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
