frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,0.060314,0.000000,0.200000,0,0,0.000000
2,0,0,0,0,0.015867,0.012332,0.016019,0.000049,1,0.090951,0.000000,0.602000,0,0,0.000000
3,0,0,0,0,0.003992,0.009840,0.016062,0.000083,1,0.110111,0.000000,0.688000,0,0,0.000000
4,0,0,0,0,0.007063,0.016078,0.016136,0.000111,1,0.119693,0.000000,0.688000,0,0,0.000000
5,0,0,0,0,0.022914,0.043240,0.016231,0.000197,1,0.113738,0.000000,0.602000,0,0,0.000000
6,0,0,0,0,0.065008,0.038977,0.016398,0.000337,1,0.065176,0.000000,0.602000,0,0,0.000000
7,0,0,0,0,0.103661,0.025486,0.016668,0.000336,1,0.021991,0.000000,0.602000,0,0,0.000000
8,0,0,0,0,0.129120,0.042859,0.016853,0.000368,1,0.134199,0.000000,0.602000,0,0,0.000000
9,0,0,0,1,0.171863,0.128536,0.016775,0.000908,1,0.289294,0.000000,0.670800,0,0,0.000000
10,0,0,0,1,0.043655,0.151369,0.015925,0.009738,1,0.316980,0.000000,0.200000,0,0,0.000000
11,0,0,0,0,0.107817,0.010335,0.006381,0.002064,1,0.203105,0.000000,0.602000,0,0,0.000000
12,0,0,0,0,0.099696,0.024718,0.004405,0.000952,1,0.099687,0.000000,0.602000,0,0,0.000000
13,0,0,0,0,0.078399,0.016636,0.003498,0.000684,1,0.018671,0.000000,0.602000,0,0,0.000000
14,0,0,0,0,0.064130,0.012961,0.002842,0.000452,1,0.048113,0.000000,0.602000,0,0,0.000000
15,0,0,0,0,0.051526,0.013975,0.002398,0.000242,1,0.101404,0.000000,0.602000,0,0,0.000000
16,0,0,0,0,0.038327,0.021700,0.002160,0.000145,1,0.141487,0.000000,0.602000,0,0,0.000000
17,0,0,0,0,0.018094,0.020632,0.002025,0.000069,1,0.160612,0.000000,0.602000,0,0,0.000000
18,0,0,0,0,0.004828,0.037322,0.001970,0.000057,1,0.159181,0.000000,0.688000,0,0,0.000000
19,0,0,0,0,0.040944,0.081226,0.001941,0.000070,1,0.121024,0.000000,0.602000,0,0,0.000000
20,0,0,0,0,0.121332,0.022991,0.001931,0.000215,1,0.012516,0.000000,0.602000,0,0,0.000000
21,0,0,0,0,0.144288,0.014662,0.001864,0.000916,1,0.142555,0.000000,0.670800,0,0,0.000000
22,0,0,0,1,0.157530,0.165892,0.001389,0.000280,1,0.298805,0.000000,0.739600,0,0,0.000000
23,0,0,0,1,0.008723,0.129349,0.001243,0.000269,1,0.289447,0.000000,0.688000,0,0,0.000000
24,0,0,0,0,0.137746,0.039002,0.001146,0.000182,1,0.151052,0.000000,0.670800,0,0,0.000000
25,0,0,0,0,0.099067,0.022153,0.001105,0.000435,1,0.052134,0.000000,0.602000,0,0,0.000000
26,0,0,0,0,0.076920,0.020879,0.001013,0.000256,1,0.028995,0.000000,0.602000,0,0,0.000000
27,0,0,0,0,0.056766,0.017939,0.001015,0.000188,1,0.084199,0.000000,0.602000,0,0,0.000000
28,0,0,0,0,0.039794,0.019508,0.001034,0.000156,1,0.123807,0.000000,0.602000,0,0,0.000000
29,0,0,0,0,0.020977,0.011581,0.001070,0.000097,1,0.144470,0.000000,0.602000,0,0,0.000000
30,0,0,0,0,0.009875,0.016117,0.001105,0.000082,1,0.154485,0.000000,0.688000,0,0,0.000000
31,0,0,0,0,0.007501,0.038781,0.001146,0.000108,1,0.148525,0.000000,0.688000,0,0,0.000000
32,0,0,0,0,0.045515,0.031271,0.001216,0.000165,1,0.103959,0.000000,0.602000,0,0,0.000000
33,0,0,0,0,0.074412,0.077727,0.001335,0.000402,1,0.035625,0.000000,0.602000,0,0,0.000000
34,0,0,0,0,0.142818,0.023759,0.001622,0.000426,1,0.108028,0.000000,0.670800,0,0,0.000000
35,0,0,0,0,0.156235,0.097553,0.001635,0.000363,1,0.262720,0.000000,0.670800,0,0,0.000000
36,0,0,0,1,0.058739,0.174049,0.001421,0.000336,1,0.320207,0.000000,0.756800,0,0,0.000000
37,0,0,0,0,0.115553,0.012285,0.001276,0.000282,1,0.204612,0.000000,0.602000,0,0,0.000000
38,0,0,0,0,0.103976,0.018780,0.001287,0.000533,1,0.101764,0.000000,0.602000,0,0,0.000000
39,0,0,0,0,0.087515,0.022043,0.001562,0.000584,1,0.023225,0.000000,0.602000,0,0,0.000000
40,0,0,0,0,0.068128,0.017161,0.002062,0.000679,1,0.063696,0.000000,0.602000,0,0,0.000000
41,0,0,0,0,0.052383,0.020155,0.002723,0.000452,1,0.116511,0.000000,0.602000,0,0,0.000000
42,0,0,0,0,0.033065,0.014906,0.003172,0.000347,1,0.150166,0.000000,0.602000,0,0,0.000000
43,0,0,0,0,0.019037,0.014782,0.003515,0.000207,1,0.170836,0.000000,0.602000,0,0,0.000000
44,0,0,0,0,0.008306,0.025355,0.003720,0.000245,1,0.177862,0.000000,0.688000,0,0,0.000000
45,0,0,0,0,0.021909,0.031685,0.003962,0.000381,1,0.159873,0.000000,0.602000,0,0,0.000000
46,0,0,0,0,0.050015,0.038780,0.004338,0.001117,1,0.112489,0.000000,0.602000,0,0,0.000000
47,0,0,0,0,0.088353,0.036248,0.005426,0.004071,1,0.035192,0.000000,0.602000,0,0,0.000000
48,0,0,0,0,0.124556,0.023303,0.009390,0.003837,1,0.103147,0.000000,0.602000,0,0,0.000000
49,0,0,0,0,0.147571,0.065661,0.013153,0.000403,1,0.244828,0.000000,0.670800,0,0,0.000000
50,0,0,0,1,0.081939,0.186612,0.013416,0.000400,1,0.323833,0.000000,0.756800,0,0,0.000000
51,0,0,0,0,0.107430,0.008991,0.013437,0.000313,1,0.216640,0.000000,0.602000,0,0,0.000000
52,0,0,0,0,0.103573,0.021100,0.013351,0.000624,1,0.112963,0.000000,0.602000,0,0,0.000000
53,0,0,0,0,0.087783,0.019745,0.013008,0.000766,1,0.031273,0.000000,0.602000,0,0,0.000000
54,0,0,0,0,0.069589,0.020564,0.012437,0.001056,1,0.046000,0.000000,0.602000,0,0,0.000000
55,0,0,0,0,0.049932,0.015739,0.011530,0.000732,1,0.093067,0.000000,0.602000,0,0,0.000000
56,0,0,0,0,0.041217,0.022206,0.010900,0.000495,1,0.130528,0.000000,0.602000,0,0,0.000000
57,0,0,0,0,0.020421,0.013362,0.010491,0.000337,1,0.146388,0.000000,0.602000,0,0,0.000000
58,0,0,0,0,0.017363,0.025285,0.010239,0.000329,1,0.150211,0.000000,0.602000,0,0,0.000000
59,0,0,0,0,0.025675,0.038266,0.010014,0.000442,1,0.129169,0.000000,0.602000,0,0,0.000000
60,0,0,0,0,0.063087,0.051489,0.009746,0.000662,1,0.075989,0.000000,0.602000,0,0,0.000000
61,0,0,0,0,0.111366,0.038351,0.009370,0.007698,1,0.056367,0.000000,0.602000,0,0,0.000000
62,0,0,0,0,0.148819,0.037208,0.004162,0.001056,1,0.194694,0.000000,0.670800,0,0,0.000000
63,0,0,0,1,0.111644,0.205238,0.004282,0.001107,1,0.304542,0.000000,0.756800,0,0,0.000000
