frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
1,0.000000,0.885888733,0.000000000,0.000000000,0.000000000,0.000000000,0.000448423,,0.000000000,,,,,0.885440310,0.885440310,pass,pass,0,,,0,,non_invasive_loss_audit_from_generic_outputs
2,0.041667,0.871981808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000256590,0.000256590,,,0.871725218,0.871725218,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
3,0.083333,0.919534665,0.000000000,0.000000000,0.000000000,0.000000000,0.000621555,,0.000000000,0.000258014,0.000258014,,,0.918655096,0.918655096,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
4,0.125000,0.933889815,0.000000000,0.000000000,0.000000000,0.000000000,0.001249622,,0.000000000,0.000260347,0.000260347,,,0.932379846,0.932379846,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
5,0.166667,0.884678565,0.000000000,0.000000000,0.000000000,0.000000000,0.002696933,,0.000000000,0.000263448,0.000263448,,,0.881718184,0.881718184,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
6,0.208333,0.968974006,0.000000000,0.000000000,0.000000000,0.000000000,0.020375850,,0.000000000,0.000268913,0.000268913,,,0.948329243,0.948329243,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
7,0.250000,1.042102278,0.000000000,0.000000000,0.000000000,0.000000000,0.030100862,,0.000000000,0.000277820,0.000277820,,,1.011723596,1.011723596,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
8,0.291667,1.096139292,0.000000000,0.000000000,0.000000000,0.000000000,0.027746231,,0.000000000,0.000284027,0.000284027,,,1.068109034,1.068109034,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
9,0.333333,1.214007690,0.000000000,0.000000000,0.000000000,0.000000000,0.091576443,,0.000000000,0.000281425,0.000281425,,,1.122149822,1.122149822,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
10,0.375000,1.119565110,0.000000000,0.000000000,0.000000000,0.000000000,0.044054232,,0.000000000,0.000253617,0.000253617,,,1.075257261,1.075257261,pass,unclear,1,,,1,,non_invasive_loss_audit_from_generic_outputs
11,0.416667,1.067582461,0.000000000,0.000000000,0.000000000,0.000000000,0.023628609,,0.000000000,0.000040714,0.000040714,,,1.043913138,1.043913138,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
12,0.458333,1.151503877,0.000000000,0.000000000,0.000000000,0.000000000,0.049323968,,0.000000000,0.000019401,0.000019401,,,1.102160508,1.102160508,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
13,0.500000,1.073601548,0.000000000,0.000000000,0.000000000,0.000000000,0.034658897,,0.000000000,0.000012234,0.000012234,,,1.038930417,1.038930417,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
14,0.541667,1.028753243,0.000000000,0.000000000,0.000000000,0.000000000,0.024721902,,0.000000000,0.000008076,0.000008076,,,1.004023265,1.004023265,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
15,0.583333,1.011875711,0.000000000,0.000000000,0.000000000,0.000000000,0.015669281,,0.000000000,0.000005747,0.000005747,,,0.996200683,0.996200683,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
16,0.625000,1.220152236,0.000000000,0.000000000,0.000000000,0.000000000,0.204322984,,0.000000000,0.000004665,0.000004665,,,1.015824587,1.015824587,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
17,0.666667,1.121183893,0.000000000,0.000000000,0.000000000,0.000000000,0.005394021,,0.000000000,0.000004100,0.000004100,,,1.115785772,1.115785772,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
18,0.708333,1.212543310,0.000000000,0.000000000,0.000000000,0.000000000,0.006601725,,0.000000000,0.000003880,0.000003880,,,1.205937705,1.205937705,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
19,0.750000,1.259605888,0.000000000,0.000000000,0.000000000,0.000000000,0.004272583,,0.000000000,0.000003771,0.000003771,,,1.255329534,1.255329534,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
20,0.791667,1.335195586,0.000000000,0.000000000,0.000000000,0.000000000,0.021548772,,0.000000000,0.000003728,0.000003728,,,1.313643086,1.313643086,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
