frame,stage,constraint,active,weight,source_gate,reason
1,stage0,target_mask_check,1,,pass,yes
1,stage1,keypart_identity_check,1,,pass,ball_center
97,stage1,keypart_identity_check,1,,pass,ball_center
192,stage1,keypart_identity_check,1,,pass,ball_center
1,stage1,track_stability_check,1,,pass,stable
97,stage1,track_stability_check,1,,pass,stable
192,stage1,track_stability_check,1,,pass,stable
10,stage2,contact_relation_check,1,,pass,floor_support_ball_bottom
99,stage2,contact_relation_check,1,,pass,floor_support_ball_bottom
186,stage2,contact_relation_check,1,,pass,floor_support_ball_bottom
1,stage2,contact_relation_check,1,,pass,hand_on_ball_boundary
97,stage2,contact_relation_check,1,,pass,hand_on_ball_boundary
1,stage3,overlay_alignment_check,1,,pass,aligned
97,stage3,overlay_alignment_check,1,,pass,aligned
192,stage3,overlay_alignment_check,1,,pass,aligned
10,stage4,anchor_update_check,1,,unclear,unclear
99,stage4,anchor_update_check,1,,unclear,unclear
186,stage4,anchor_update_check,1,,pass,no_change
1,stage4,anchor_update_check,1,,pass,no_change
97,stage4,anchor_update_check,1,,unclear,unclear
10,stage4,temporal_motion_check,1,,unclear,unclear
99,stage4,temporal_motion_check,1,,unclear,unclear
186,stage4,temporal_motion_check,1,,unclear,unclear
1,stage4,temporal_motion_check,1,,unclear,unclear
97,stage4,temporal_motion_check,1,,unclear,unclear
1,stage5,post_render_sanity_check,1,,pass,pass
97,stage5,post_render_sanity_check,1,,pass,pass
192,stage5,post_render_sanity_check,1,,pass,pass
1,stage6,baseline_regression_check,1,,unclear,unclear
97,stage6,baseline_regression_check,1,,unclear,unclear
192,stage6,baseline_regression_check,1,,unclear,unclear
50,stage7,loss_diagnostic_check,1,,reject,visual_spike
56,stage7,loss_diagnostic_check,1,,reject,visual_spike
51,stage7,loss_diagnostic_check,1,,reject,visual_spike
1,stage7,loss_diagnostic_check,1,,reject,visual_spike
97,stage7,loss_diagnostic_check,1,,reject,visual_spike
