human_part,human_side,object_part,start_frame,end_frame,n_frames,mean_contact_confidence,mean_surface_gap_m,mean_anchor_drift,source
floor,,floor_support,10,10,1,0.871438,0.008248,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,22,22,1,0.573102,0.012039,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,50,50,1,0.584193,0.116312,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,76,76,1,0.570351,0.079477,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,99,99,1,0.579463,0.031334,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,112,112,1,0.204214,0.271235,,hand_floor_from_anchor_floor_candidates
floor,,floor_support,148,148,1,0.30406,0.14735,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,2,2,1,0.905911,0.052342,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,24,26,3,0.5600936666666666,0.027068,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,34,38,5,0.5493514,0.039259,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,52,53,2,0.60626,0.0062439999999999996,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,62,66,5,0.4250806,0.719468,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,77,79,3,0.623835,0.06806966666666665,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,86,90,5,0.5993839999999999,0.029832599999999997,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,101,103,3,0.5800253333333333,0.037152,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,114,115,2,0.5444445,0.04047450000000001,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,124,128,5,0.44609540000000003,0.07456759999999998,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,135,139,5,0.5854974000000001,0.066643,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,150,151,2,0.536726,0.0326625,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,159,163,5,0.46533040000000003,0.07258,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,172,176,5,0.6170142,0.0436918,,hand_floor_from_anchor_floor_candidates
hand,right,ball_boundary,185,189,5,0.444154,0.0804424,,hand_floor_from_anchor_floor_candidates
