frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,513.500,390.500,513.500,390.500,0.000000,0.000000,0.000000
2,514.167,384.082,514.167,384.082,0.000000,0.000000,0.000000
3,514.694,382.633,514.694,382.633,0.000000,0.000000,0.000000
4,516.095,385.087,516.095,385.087,0.000000,0.000000,0.000000
5,519.269,393.824,519.269,393.824,0.000000,0.000000,0.000000
6,521.670,420.095,521.670,420.095,0.000000,0.000000,0.000000
7,522.923,462.126,522.923,462.126,0.000000,0.000000,0.000000
8,524.976,514.434,524.976,514.434,0.000000,0.000000,0.000000
9,529.148,583.961,529.148,583.961,0.000000,0.000000,0.000000
10,528.421,601.546,528.421,601.546,0.000000,0.000000,0.000000
11,527.462,557.767,527.462,557.767,0.000000,0.000000,0.000000
12,529.070,517.332,529.070,517.332,0.000000,0.000000,0.000000
13,525.838,485.698,525.838,485.698,0.000000,0.000000,0.000000
14,526.331,459.700,526.331,459.700,0.000000,0.000000,0.000000
15,527.823,438.871,527.823,438.871,0.000000,0.000000,0.000000
16,527.348,423.359,527.348,423.359,0.000000,0.000000,0.000000
17,529.287,416.293,529.287,416.293,0.000000,0.000000,0.000000
18,530.680,417.553,530.680,417.553,0.000000,0.000000,0.000000
19,533.560,433.814,533.560,433.814,0.000000,0.000000,0.000000
20,534.040,482.778,534.040,482.778,0.000000,0.000000,0.000000
21,535.175,540.956,535.175,540.956,0.000000,0.000000,0.000000
22,539.066,604.311,539.066,604.311,0.000000,0.000000,0.000000
23,538.213,600.868,538.213,600.868,0.000000,0.000000,0.000000
24,533.800,545.411,533.800,545.411,0.000000,0.000000,0.000000
25,528.938,505.726,528.938,505.726,0.000000,0.000000,0.000000
26,524.993,474.955,524.993,474.955,0.000000,0.000000,0.000000
27,520.833,452.553,520.833,452.553,0.000000,0.000000,0.000000
28,519.796,436.642,519.796,436.642,0.000000,0.000000,0.000000
29,520.589,428.366,520.589,428.366,0.000000,0.000000,0.000000
30,520.286,424.626,520.286,424.626,0.000000,0.000000,0.000000
31,521.106,427.299,521.106,427.299,0.000000,0.000000,0.000000
32,522.738,445.650,522.738,445.650,0.000000,0.000000,0.000000
33,531.500,474.500,531.500,474.500,0.000000,0.000000,0.000000
34,527.866,532.374,527.866,532.374,0.000000,0.000000,0.000000
35,532.221,595.727,532.221,595.727,0.000000,0.000000,0.000000
36,533.267,619.694,533.267,619.694,0.000000,0.000000,0.000000
37,526.743,573.378,526.743,573.378,0.000000,0.000000,0.000000
38,522.439,531.462,522.439,531.462,0.000000,0.000000,0.000000
39,521.798,495.812,521.798,495.812,0.000000,0.000000,0.000000
40,517.592,468.415,517.592,468.415,0.000000,0.000000,0.000000
41,512.037,447.883,512.037,447.883,0.000000,0.000000,0.000000
42,510.336,434.589,510.336,434.589,0.000000,0.000000,0.000000
43,508.005,427.318,508.005,427.318,0.000000,0.000000,0.000000
44,509.638,424.541,509.638,424.541,0.000000,0.000000,0.000000
45,515.492,431.106,515.492,431.106,0.000000,0.000000,0.000000
46,521.052,450.454,521.052,450.454,0.000000,0.000000,0.000000
47,527.895,485.366,527.895,485.366,0.000000,0.000000,0.000000
48,536.808,534.688,536.808,534.688,0.000000,0.000000,0.000000
49,548.897,592.756,548.897,592.756,0.000000,0.000000,0.000000
50,555.445,624.880,555.445,624.880,0.000000,0.000000,0.000000
51,561.590,581.902,561.590,581.902,0.000000,0.000000,0.000000
52,564.316,540.207,564.316,540.207,0.000000,0.000000,0.000000
53,571.752,505.622,571.752,505.622,0.000000,0.000000,0.000000
54,579.247,478.847,579.247,478.847,0.000000,0.000000,0.000000
55,582.655,459.220,582.655,459.220,0.000000,0.000000,0.000000
56,590.001,444.529,590.001,444.529,0.000000,0.000000,0.000000
57,595.282,438.518,595.282,438.518,0.000000,0.000000,0.000000
58,602.024,437.688,602.024,437.688,0.000000,0.000000,0.000000
59,606.735,446.864,606.735,446.864,0.000000,0.000000,0.000000
60,614.211,471.285,614.211,471.285,0.000000,0.000000,0.000000
61,618.083,516.286,618.083,516.286,0.000000,0.000000,0.000000
62,619.454,576.719,619.454,576.719,0.000000,0.000000,0.000000
63,620.935,622.173,620.935,622.173,0.000000,0.000000,0.000000
64,613.193,584.890,613.193,584.890,0.000000,0.000000,0.000000
65,614.500,536.500,614.500,536.500,0.000000,0.000000,0.000000
66,610.860,505.848,610.860,505.848,0.000000,0.000000,0.000000
67,603.875,480.160,603.875,480.160,0.000000,0.000000,0.000000
68,599.698,461.189,599.698,461.189,0.000000,0.000000,0.000000
69,596.625,449.974,596.625,449.974,0.000000,0.000000,0.000000
70,592.364,445.020,592.364,445.020,0.000000,0.000000,0.000000
71,589.351,446.269,589.351,446.269,0.000000,0.000000,0.000000
72,582.337,460.624,582.337,460.624,0.000000,0.000000,0.000000
73,576.040,491.129,576.040,491.129,0.000000,0.000000,0.000000
74,567.917,538.055,567.917,538.055,0.000000,0.000000,0.000000
75,559.457,602.595,559.457,602.595,0.000000,0.000000,0.000000
76,548.267,617.725,548.267,617.725,0.000000,0.000000,0.000000
77,535.419,573.049,535.419,573.049,0.000000,0.000000,0.000000
78,525.723,531.022,525.723,531.022,0.000000,0.000000,0.000000
79,519.381,497.002,519.381,497.002,0.000000,0.000000,0.000000
80,513.327,472.308,513.327,472.308,0.000000,0.000000,0.000000
81,505.081,454.618,505.081,454.618,0.000000,0.000000,0.000000
82,503.947,447.231,503.947,447.231,0.000000,0.000000,0.000000
83,502.438,449.081,502.438,449.081,0.000000,0.000000,0.000000
84,499.349,463.893,499.349,463.893,0.000000,0.000000,0.000000
85,492.456,496.093,492.456,496.093,0.000000,0.000000,0.000000
86,496.503,546.665,496.503,546.665,0.000000,0.000000,0.000000
87,493.254,609.215,493.254,609.215,0.000000,0.000000,0.000000
88,493.822,604.176,493.822,604.176,0.000000,0.000000,0.000000
89,493.930,555.947,493.930,555.947,0.000000,0.000000,0.000000
90,494.840,516.461,494.840,516.461,0.000000,0.000000,0.000000
91,497.092,487.136,497.092,487.136,0.000000,0.000000,0.000000
92,497.702,464.992,497.702,464.992,0.000000,0.000000,0.000000
93,499.072,452.431,499.072,452.431,0.000000,0.000000,0.000000
94,502.272,444.268,502.272,444.268,0.000000,0.000000,0.000000
95,503.570,444.514,503.570,444.514,0.000000,0.000000,0.000000
96,508.172,453.557,508.172,453.557,0.000000,0.000000,0.000000
97,509.000,486.500,509.000,486.500,0.000000,0.000000,0.000000
98,518.841,541.737,518.841,541.737,0.000000,0.000000,0.000000
99,535.908,614.311,535.908,614.311,0.000000,0.000000,0.000000
100,544.560,611.858,544.560,611.858,0.000000,0.000000,0.000000
101,552.230,571.178,552.230,571.178,0.000000,0.000000,0.000000
102,555.017,534.601,555.017,534.601,0.000000,0.000000,0.000000
103,561.283,506.441,561.283,506.441,0.000000,0.000000,0.000000
104,564.695,486.443,564.695,486.443,0.000000,0.000000,0.000000
105,569.602,470.216,569.602,470.216,0.000000,0.000000,0.000000
106,573.518,460.789,573.518,460.789,0.000000,0.000000,0.000000
107,576.370,458.333,576.370,458.333,0.000000,0.000000,0.000000
108,581.543,463.863,581.543,463.863,0.000000,0.000000,0.000000
109,587.105,485.174,587.105,485.174,0.000000,0.000000,0.000000
110,593.026,526.415,593.026,526.415,0.000000,0.000000,0.000000
111,599.609,579.179,599.609,579.179,0.000000,0.000000,0.000000
112,602.478,626.350,602.478,626.350,0.000000,0.000000,0.000000
113,595.327,597.840,595.327,597.840,0.000000,0.000000,0.000000
114,592.297,553.520,592.297,553.520,0.000000,0.000000,0.000000
115,587.918,515.617,587.918,515.617,0.000000,0.000000,0.000000
116,584.592,488.236,584.592,488.236,0.000000,0.000000,0.000000
117,580.695,467.961,580.695,467.961,0.000000,0.000000,0.000000
118,578.361,455.950,578.361,455.950,0.000000,0.000000,0.000000
119,577.277,449.699,577.277,449.699,0.000000,0.000000,0.000000
120,578.407,447.631,578.407,447.631,0.000000,0.000000,0.000000
121,579.776,453.166,579.776,453.166,0.000000,0.000000,0.000000
