start_frame,end_frame,candidate_type,confidence,source
2,2,hand,0.0,contact_candidates
10,10,floor,0.0,contact_candidates
22,22,floor,0.0,contact_candidates
24,26,hand,0.0,contact_candidates
34,38,hand,0.0,contact_candidates
50,50,floor,0.0,contact_candidates
52,53,hand,0.0,contact_candidates
62,66,hand,0.0,contact_candidates
76,79,floor,0.0,contact_candidates
86,90,hand,0.0,contact_candidates
99,99,floor,0.0,contact_candidates
101,103,hand,0.0,contact_candidates
112,112,floor,0.0,contact_candidates
114,115,hand,0.0,contact_candidates
124,128,hand,0.0,contact_candidates
135,139,hand,0.0,contact_candidates
148,148,floor,0.0,contact_candidates
150,151,hand,0.0,contact_candidates
159,163,hand,0.0,contact_candidates
172,176,hand,0.0,contact_candidates
185,189,hand,0.0,contact_candidates
