frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source
1,0.000000,-0.230937,0.055680,2.681067,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.500,390.500,513.500,390.500,434.000,434.000,513.500,390.500,434.000,2.681067,,0,0,translation3_from_stage1_observation_backproject_uvz
2,0.041667,-0.230616,0.044135,2.691532,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.167,384.082,514.167,384.082,428.170,428.170,514.167,384.082,428.170,2.691532,,0,0,translation3_from_stage1_observation_backproject_uvz
3,0.083333,-0.227762,0.041139,2.669402,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.694,382.633,514.694,382.633,426.135,426.135,514.694,382.633,426.135,2.669402,,0,0,translation3_from_stage1_observation_backproject_uvz
4,0.125000,-0.224794,0.045514,2.664412,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.095,385.087,516.095,385.087,427.975,427.975,516.095,385.087,427.975,2.664412,,0,0,translation3_from_stage1_observation_backproject_uvz
5,0.166667,-0.221305,0.062001,2.692018,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,519.269,393.824,438.400,438.400,519.269,393.824,438.400,2.692018,,0,0,translation3_from_stage1_observation_backproject_uvz
6,0.208333,-0.213846,0.108604,2.654066,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,521.670,420.095,461.935,461.935,521.670,420.095,461.935,2.654066,,0,0,translation3_from_stage1_observation_backproject_uvz
7,0.250000,-0.208744,0.182087,2.618466,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,522.923,462.126,501.367,501.367,522.923,462.126,501.367,2.618466,,0,0,translation3_from_stage1_observation_backproject_uvz
8,0.291667,-0.202947,0.272482,2.591195,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,524.976,514.434,553.424,553.424,524.976,514.434,553.424,2.591195,,0,0,translation3_from_stage1_observation_backproject_uvz
9,0.333333,-0.194341,0.392640,2.574700,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,529.148,583.961,626.642,626.642,529.148,583.961,626.642,2.574700,,0,0,translation3_from_stage1_observation_backproject_uvz
10,0.375000,-0.197610,0.427786,2.600945,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,528.421,601.546,635.214,635.214,528.421,601.546,635.214,2.600945,,0,0,translation3_from_stage1_observation_backproject_uvz
11,0.416667,-0.199904,0.351299,2.608720,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.462,557.767,527.462,557.767,591.070,591.070,527.462,557.767,591.070,2.608720,,0,0,translation3_from_stage1_observation_backproject_uvz
12,0.458333,-0.194885,0.276405,2.580082,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.070,517.332,529.070,517.332,551.873,551.873,529.070,517.332,551.873,2.580082,,0,0,translation3_from_stage1_observation_backproject_uvz
13,0.500000,-0.203161,0.223690,2.613501,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.838,485.698,525.838,485.698,520.379,520.379,525.838,485.698,520.379,2.613501,,0,0,translation3_from_stage1_observation_backproject_uvz
14,0.541667,-0.204044,0.178969,2.636254,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.331,459.700,526.331,459.700,495.509,495.509,526.331,459.700,495.509,2.636254,,0,0,translation3_from_stage1_observation_backproject_uvz
15,0.583333,-0.202161,0.142138,2.646662,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.823,438.871,527.823,438.871,474.873,474.873,527.823,438.871,474.873,2.646662,,0,0,translation3_from_stage1_observation_backproject_uvz
16,0.625000,-0.202715,0.114013,2.642728,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,527.348,423.359,461.324,461.324,527.348,423.359,461.324,2.642728,,0,0,translation3_from_stage1_observation_backproject_uvz
17,0.666667,-0.195836,0.099574,2.597757,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,529.287,416.293,453.518,453.518,529.287,416.293,453.518,2.597757,,0,0,translation3_from_stage1_observation_backproject_uvz
18,0.708333,-0.190301,0.100187,2.556508,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,530.680,417.553,454.033,454.033,530.680,417.553,454.033,2.556508,,0,0,translation3_from_stage1_observation_backproject_uvz
19,0.750000,-0.183426,0.127203,2.530824,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,533.560,433.814,472.306,472.306,533.560,433.814,472.306,2.530824,,0,0,translation3_from_stage1_observation_backproject_uvz
20,0.791667,-0.180100,0.208686,2.496188,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,534.040,482.778,513.813,513.813,534.040,482.778,513.813,2.496188,,0,0,translation3_from_stage1_observation_backproject_uvz
21,0.833333,-0.175086,0.302245,2.452960,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,535.175,540.956,569.194,569.194,535.175,540.956,569.194,2.452960,,0,0,translation3_from_stage1_observation_backproject_uvz
22,0.875000,-0.165374,0.400288,2.406218,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,539.066,604.311,634.052,634.052,539.066,604.311,634.052,2.406218,,0,0,translation3_from_stage1_observation_backproject_uvz
23,0.916667,-0.163140,0.386053,2.353819,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,538.213,600.868,630.027,630.027,538.213,600.868,630.027,2.353819,,0,0,translation3_from_stage1_observation_backproject_uvz
24,0.958333,-0.168278,0.293790,2.327056,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,533.800,545.411,576.576,576.576,533.800,545.411,576.576,2.327056,,0,0,translation3_from_stage1_observation_backproject_uvz
25,1.000000,-0.174188,0.228554,2.303332,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,528.938,505.726,541.533,541.533,528.938,505.726,541.533,2.303332,,0,0,translation3_from_stage1_observation_backproject_uvz
26,1.041667,-0.179299,0.179218,2.289598,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,524.993,474.955,509.174,509.174,524.993,474.955,509.174,2.289598,,0,0,translation3_from_stage1_observation_backproject_uvz
27,1.083333,-0.184906,0.143610,2.278769,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,520.833,452.553,486.923,486.923,520.833,452.553,486.923,2.278769,,0,0,translation3_from_stage1_observation_backproject_uvz
28,1.125000,-0.186973,0.119214,2.284359,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,519.796,436.642,471.854,471.854,519.796,436.642,471.854,2.284359,,0,0,translation3_from_stage1_observation_backproject_uvz
29,1.166667,-0.185471,0.106187,2.281055,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.589,428.366,520.589,428.366,464.524,464.524,520.589,428.366,464.524,2.281055,,0,0,translation3_from_stage1_observation_backproject_uvz
30,1.208333,-0.185983,0.100401,2.281573,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.286,424.626,520.286,424.626,461.222,461.222,520.286,424.626,461.222,2.281573,,0,0,translation3_from_stage1_observation_backproject_uvz
31,1.250000,-0.184625,0.104506,2.280533,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,521.106,427.299,465.489,465.489,521.106,427.299,465.489,2.280533,,0,0,translation3_from_stage1_observation_backproject_uvz
