frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
1,0.000000,0.872393481,0.000000000,0.000000000,0.000000000,0.000000000,0.000448423,,0.000000000,,,,,0.871945058,0.871945058,not_evaluated,not_evaluated,0,,,0,,non_invasive_loss_audit_from_generic_outputs
2,0.041667,0.852483228,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000251761,0.000251761,,,0.852231467,0.852231467,not_evaluated,not_evaluated,1,,,1,,non_invasive_loss_audit_from_generic_outputs
3,0.083333,0.897079173,0.000000000,0.000000000,0.000000000,0.000000000,0.000623701,,0.000000000,0.000016049,0.000016049,,,0.896439423,0.896439423,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
4,0.125000,0.909932322,0.000000000,0.000000000,0.000000000,0.000000000,0.001246019,,0.000000000,0.000049898,0.000049898,,,0.908636405,0.908636405,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
5,0.166667,0.862419099,0.000000000,0.000000000,0.000000000,0.000000000,0.002691742,,0.000000000,0.000525057,0.000525057,,,0.859202300,0.859202300,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
6,0.208333,0.959379664,0.000000000,0.000000000,0.000000000,0.000000000,0.020362719,,0.000000000,0.004226062,0.004226062,,,0.934790883,0.934790883,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
7,0.250000,1.051745552,0.000000000,0.000000000,0.000000000,0.000000000,0.030087678,,0.000000000,0.010745909,0.010745909,,,1.010911965,1.010911965,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
8,0.291667,1.120385611,0.000000000,0.000000000,0.000000000,0.000000000,0.027735905,,0.000000000,0.016672008,0.016672008,,,1.075977698,1.075977698,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
9,0.333333,1.247426198,0.000000000,0.000000000,0.000000000,0.000000000,0.091560708,,0.000000000,0.029537195,0.029537195,,,1.126328295,1.126328295,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
10,0.375000,1.123493981,0.000000000,0.000000000,0.000000000,0.000000000,0.044044577,,0.000000000,0.001905706,0.001905706,,,1.077543698,1.077543698,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
11,0.416667,1.090525696,0.000000000,0.000000000,0.000000000,0.000000000,0.023621846,,0.000000000,0.011624753,0.011624753,,,1.055279097,1.055279097,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
12,0.458333,1.170787291,0.000000000,0.000000000,0.000000000,0.000000000,0.049313308,,0.000000000,0.009939210,0.009939210,,,1.111534773,1.111534773,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
13,0.500000,1.081495366,0.000000000,0.000000000,0.000000000,0.000000000,0.034648472,,0.000000000,0.006146649,0.006146649,,,1.040700245,1.040700245,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
14,0.541667,1.023605336,0.000000000,0.000000000,0.000000000,0.000000000,0.024711526,,0.000000000,0.004112659,0.004112659,,,0.994781151,0.994781151,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
15,0.583333,0.993502698,0.000000000,0.000000000,0.000000000,0.000000000,0.015660020,,0.000000000,0.002654918,0.002654918,,,0.975187760,0.975187760,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
16,0.625000,1.190815604,0.000000000,0.000000000,0.000000000,0.000000000,0.204357339,,0.000000000,0.001468952,0.001468952,,,0.984989313,0.984989313,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
17,0.666667,1.084770056,0.000000000,0.000000000,0.000000000,0.000000000,0.005389028,,0.000000000,0.000327400,0.000327400,,,1.079053628,1.079053628,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
18,0.708333,1.176421559,0.000000000,0.000000000,0.000000000,0.000000000,0.006598475,,0.000000000,0.000023282,0.000023282,,,1.169799802,1.169799802,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
19,0.750000,1.236141669,0.000000000,0.000000000,0.000000000,0.000000000,0.004273629,,0.000000000,0.001676290,0.001676290,,,1.230191750,1.230191750,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
20,0.791667,1.353348698,0.000000000,0.000000000,0.000000000,0.000000000,0.021564041,,0.000000000,0.014720255,0.014720255,,,1.317064402,1.317064402,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
21,0.833333,1.457366730,0.000000000,0.000000000,0.000000000,0.000000000,0.003081249,,0.000000000,0.020815910,0.020815910,,,1.433469571,1.433469571,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
22,0.875000,1.602176225,0.000000000,0.000000000,0.000000000,0.000000000,0.006252539,,0.000000000,0.024809208,0.024809208,,,1.571114478,1.571114478,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
23,0.916667,1.715161701,0.000000000,0.000000000,0.000000000,0.000000000,0.004413476,,0.000000000,0.000075962,0.000075962,,,1.710672263,1.710672263,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
24,0.958333,1.790818460,0.000000000,0.000000000,0.000000000,0.000000000,0.002916216,,0.000000000,0.018974769,0.018974769,,,1.768927475,1.768927475,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
25,1.000000,1.841634418,0.000000000,0.000000000,0.000000000,0.000000000,0.003856162,,0.000000000,0.009809521,0.009809521,,,1.827968735,1.827968735,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
26,1.041667,1.870253378,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.005913279,0.005913279,,,1.864340099,1.864340099,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
27,1.083333,1.889766803,0.000000000,0.000000000,0.000000000,0.000000000,0.003412079,,0.000000000,0.003224447,0.003224447,,,1.883130277,1.883130277,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
28,1.125000,1.870527911,0.000000000,0.000000000,0.000000000,0.000000000,0.011143336,,0.000000000,0.001584035,0.001584035,,,1.857800540,1.857800540,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
29,1.166667,1.885419897,0.000000000,0.000000000,0.000000000,0.000000000,0.027128725,,0.000000000,0.000439388,0.000439388,,,1.857851784,1.857851784,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
30,1.208333,1.873859453,0.000000000,0.000000000,0.000000000,0.000000000,0.025476629,,0.000000000,0.000096571,0.000096571,,,1.848286253,1.848286253,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
31,1.250000,1.861662775,0.000000000,0.000000000,0.000000000,0.000000000,0.018078416,,0.000000000,0.000055204,0.000055204,,,1.843529155,1.843529155,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
32,1.291667,1.818137657,0.000000000,0.000000000,0.000000000,0.000000000,0.001779574,,0.000000000,0.002071559,0.002071559,,,1.814286524,1.814286524,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
33,1.333333,1.823138406,0.000000000,0.000000000,0.000000000,0.000000000,0.005042562,,0.000000000,0.005538410,0.005538410,,,1.812557434,1.812557434,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
34,1.375000,1.891599450,0.000000000,0.000000000,0.000000000,0.000000000,0.000991368,,0.000000000,0.020417034,0.020417034,,,1.870191048,1.870191048,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
35,1.416667,1.963297192,0.000000000,0.000000000,0.000000000,0.000000000,0.001096603,,0.000000000,0.024427736,0.024427736,,,1.937772853,1.937772853,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
36,1.458333,1.986599467,0.000000000,0.000000000,0.000000000,0.000000000,0.000079977,,0.000000000,0.003450143,0.003450143,,,1.983069347,1.983069347,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
37,1.500000,1.978784592,0.000000000,0.000000000,0.000000000,0.000000000,0.010149555,,0.000000000,0.013373124,0.013373124,,,1.955261913,1.955261913,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
