frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
1,0.000000,-0.351167,0.084278,4.092220,-0.169149,0.099783,4.145861,19.0,0,right_hand,right_palm,6296
2,0.041667,-0.352158,0.051190,4.089274,-0.167862,0.068714,4.152464,19.6,0,right_hand,right_palm,6240
3,0.083333,-0.348855,0.044531,4.086329,-0.169532,0.070177,4.148271,19.1,0,right_hand,right_palm,6240
4,0.125000,-0.344182,0.051546,4.083383,-0.171768,0.071631,4.147932,18.5,0,right_hand,right_palm,6240
5,0.166667,-0.335192,0.094398,4.080438,-0.175062,0.105486,4.135524,17.0,1,right_hand,right_palm,6296
6,0.208333,-0.328348,0.166830,4.077492,-0.174014,0.168597,4.110390,15.8,1,right_hand,right_palm,6349
7,0.250000,-0.324597,0.282844,4.074547,-0.174875,0.304003,4.105600,15.4,1,right_hand,right_pinky,6401
8,0.291667,-0.318462,0.428562,4.071601,-0.196663,0.445616,4.120857,13.2,1,right_hand,right_pinky,6489
9,0.333333,-0.307108,0.620276,4.068656,-0.191279,0.584106,4.164420,15.5,1,right_hand,right_pinky,6509
10,0.375000,-0.308670,0.732729,4.065711,-0.256989,0.788668,4.084590,7.8,1,right_hand,right_pinky,8515
11,0.416667,-0.311149,0.547287,4.062765,-0.187808,0.508919,4.145101,15.3,1,right_hand,right_pinky,6848
12,0.458333,-0.306587,0.435105,4.059820,-0.184764,0.442318,4.124896,13.8,1,right_hand,right_pinky,6489
13,0.500000,-0.314959,0.347250,4.056874,-0.171851,0.379438,4.090148,15.0,1,right_hand,right_pinky,6461
14,0.541667,-0.313486,0.275011,4.053929,-0.165520,0.313149,4.078878,15.5,1,right_hand,right_pinky,6400
15,0.583333,-0.309027,0.217235,4.050983,-0.161257,0.256949,4.078141,15.5,1,right_hand,right_palm,6424
16,0.625000,-0.310390,0.174647,4.048038,-0.158043,0.198937,4.065020,15.5,1,right_hand,right_palm,6366
17,0.666667,-0.305119,0.154913,4.045092,-0.165211,0.195654,4.064737,14.7,1,right_hand,right_palm,6366
18,0.708333,-0.300831,0.158009,4.042147,-0.171298,0.169635,4.068164,13.3,1,right_hand,right_palm,6369
19,0.750000,-0.293124,0.202835,4.039202,-0.186699,0.203156,4.045146,10.7,1,right_hand,right_palm,6366
20,0.791667,-0.291318,0.337173,4.036256,-0.253584,0.347940,4.054184,4.3,1,right_hand,right_pinky,6460
21,0.833333,-0.287802,0.496662,4.033311,-0.286852,0.500579,4.039189,0.7,1,right_hand,right_pinky,6466
22,0.875000,-0.277070,0.670159,4.030365,-0.307159,0.671842,4.075742,5.4,1,right_hand,right_pinky,8568
23,0.916667,-0.278900,0.724680,4.027420,-0.319898,0.735659,4.040650,4.4,1,right_hand,right_pinky,8649
24,0.958333,-0.291040,0.508120,4.024474,-0.287407,0.521218,4.003036,2.5,1,right_hand,right_pinky,6465
25,1.000000,-0.303721,0.398874,4.021529,-0.311373,0.385814,4.014091,1.7,1,right_hand,right_pinky,6475
26,1.041667,-0.314448,0.314247,4.018583,-0.293171,0.339565,3.993298,4.2,1,right_hand,right_palm,6458
27,1.083333,-0.325465,0.252955,4.015638,-0.278369,0.263660,4.004508,5.0,1,right_hand,right_palm,6415
28,1.125000,-0.327954,0.209145,4.012693,-0.275773,0.210932,4.014945,5.2,1,right_hand,right_palm,6371
29,1.166667,-0.325696,0.186198,4.009747,-0.269496,0.179718,3.998491,5.8,1,right_hand,right_palm,6349
30,1.208333,-0.326224,0.175877,4.006802,-0.264215,0.180273,3.998369,6.3,1,right_hand,right_palm,6349
31,1.250000,-0.323758,0.183199,4.003856,-0.256720,0.180547,3.992713,6.8,1,right_hand,right_palm,6349
32,1.291667,-0.318848,0.232973,4.000911,-0.254516,0.238919,3.982999,6.7,1,right_hand,right_palm,6370
33,1.333333,-0.293835,0.311244,3.997965,-0.266275,0.342194,3.969561,5.0,1,right_hand,right_palm,6458
34,1.375000,-0.304495,0.468959,3.995020,-0.316880,0.451958,3.989386,2.2,1,right_hand,right_pinky,6486
35,1.416667,-0.292376,0.640388,3.992074,-0.298896,0.619722,4.007657,2.7,1,right_hand,right_pinky,6511
36,1.458333,-0.289403,0.717821,3.989129,-0.309255,0.716627,4.008070,2.7,1,right_hand,right_pinky,8580
37,1.500000,-0.303265,0.571708,3.937051,-0.294726,0.541294,3.968041,4.4,1,right_hand,right_pinky,6467
38,1.541667,-0.314558,0.459486,3.935621,-0.295525,0.460097,3.953750,2.6,1,right_hand,right_pinky,6490
39,1.583333,-0.316489,0.363770,3.934191,-0.275730,0.387942,3.954482,5.2,1,right_hand,right_pinky,6474
40,1.625000,-0.327351,0.290347,3.932761,-0.237675,0.320318,3.938677,9.5,1,right_hand,right_palm,6398
41,1.666667,-0.342015,0.234975,3.931331,-0.223665,0.282179,3.939655,12.8,1,right_hand,right_palm,6424
42,1.708333,-0.346661,0.199435,3.929901,-0.215132,0.232434,3.938107,13.6,1,right_hand,right_palm,6366
43,1.750000,-0.352573,0.179896,3.928470,-0.219052,0.207520,3.960997,14.0,1,right_hand,right_palm,6369
44,1.791667,-0.347930,0.172548,3.927040,-0.225800,0.208921,3.965174,13.3,1,right_hand,right_palm,6369
45,1.833333,-0.332726,0.189792,3.925610,-0.232348,0.210765,3.958591,10.8,1,right_hand,right_palm,6369
46,1.875000,-0.317700,0.241170,3.924180,-0.241132,0.238295,3.938322,7.8,1,right_hand,right_palm,6366
47,1.916667,-0.299517,0.334653,3.922750,-0.272866,0.335264,3.913562,2.8,1,right_hand,right_palm,6400
48,1.958333,-0.275403,0.466134,3.921320,-0.272843,0.473849,3.925762,0.9,1,right_hand,right_pinky,6494
49,2.000000,-0.243105,0.620623,3.919890,-0.276666,0.563729,3.995543,10.0,1,right_hand,right_pinky,6751
50,2.041667,-0.225326,0.703085,3.918460,-0.329839,0.774490,3.954516,13.2,1,right_hand,right_pinky,8584
51,2.083333,-0.210865,0.597341,3.952911,-0.251567,0.563237,4.008325,7.7,1,right_hand,right_pinky,6547
52,2.125000,-0.204156,0.486088,3.965583,-0.217661,0.474479,3.958525,1.9,1,right_hand,right_pinky,6542
53,2.166667,-0.185073,0.394260,3.978255,-0.187442,0.405584,3.980755,1.2,1,right_hand,right_palm,6900
54,2.208333,-0.165382,0.322955,3.990927,-0.171237,0.328108,4.003633,1.5,1,right_hand,right_palm,6430
55,2.250000,-0.156545,0.270175,4.003599,-0.126095,0.292879,4.029006,4.6,1,right_hand,right_palm,6382
56,2.291667,-0.137010,0.231067,4.016272,-0.093340,0.260721,4.002844,5.4,1,right_hand,right_palm,6344
57,2.333333,-0.122877,0.215113,4.028944,-0.076159,0.235450,4.021784,5.1,1,left_hand,left_thumb,6343
58,2.375000,-0.104558,0.213598,4.041616,-0.075784,0.244067,4.040284,4.2,1,left_hand,left_thumb,6834
59,2.416667,-0.091904,0.239284,4.054288,-0.081778,0.249876,4.057728,1.5,1,left_hand,left_thumb,6356
60,2.458333,-0.071635,0.307582,4.066960,-0.095919,0.273901,4.031613,5.5,1,left_hand,left_thumb,6385
61,2.500000,-0.060893,0.434057,4.079632,-0.184631,0.458184,4.002780,14.8,1,right_hand,right_palm,6902
62,2.541667,-0.057078,0.603823,4.092305,-0.202225,0.522740,4.019855,18.1,0,right_hand,right_pinky,6478
63,2.583333,-0.053085,0.742178,4.104977,-0.287565,0.701133,4.067792,24.1,0,right_hand,right_pinky,8447
64,2.625000,-0.074362,0.626012,4.090332,-0.221021,0.553779,4.041136,17.1,1,right_hand,right_pinky,6496
65,2.666667,-0.071697,0.493883,4.078464,-0.194296,0.486501,4.031164,13.2,1,right_hand,right_pinky,6904
66,2.708333,-0.080791,0.403736,4.066596,-0.119671,0.316204,3.996536,11.9,1,right_hand,right_palm,6416
67,2.750000,-0.099754,0.331800,4.054728,-0.125193,0.293409,4.017690,5.9,1,right_hand,right_palm,6383
68,2.791667,-0.111358,0.278564,4.042860,-0.113467,0.273619,4.026622,1.7,1,left_hand,left_thumb,6384
69,2.833333,-0.119458,0.246778,4.030993,-0.100311,0.251838,4.041525,2.2,1,left_hand,left_thumb,6357
70,2.875000,-0.130539,0.232542,4.019125,-0.126568,0.251953,4.055326,4.1,1,left_hand,left_thumb,6835
71,2.916667,-0.138441,0.235333,4.007257,-0.141485,0.272538,4.026669,4.2,1,left_hand,left_thumb,6379
72,2.958333,-0.156704,0.273407,3.995389,-0.155251,0.291929,3.994537,1.9,1,right_hand,right_palm,6380
73,3.000000,-0.173665,0.355685,3.983521,-0.176818,0.325651,3.944748,4.9,1,right_hand,right_palm,6429
74,3.041667,-0.194934,0.481575,3.971653,-0.205053,0.482462,3.970291,1.0,1,right_hand,right_pinky,6904
75,3.083333,-0.217446,0.653994,3.959785,-0.281339,0.617877,3.992284,8.0,1,right_hand,right_pinky,6549
76,3.125000,-0.246622,0.709140,3.947917,-0.306213,0.696212,3.996791,7.8,1,right_hand,right_pinky,8457
77,3.166667,-0.285050,0.579704,3.998696,-0.272712,0.592557,4.021876,2.9,1,right_hand,right_pinky,6518
78,3.208333,-0.310777,0.465250,3.994550,-0.301307,0.467195,3.978258,1.9,1,right_hand,right_pinky,6852
79,3.250000,-0.327776,0.372143,3.990404,-0.279433,0.404259,3.956369,6.7,1,right_hand,right_palm,6847
80,3.291667,-0.344362,0.304809,3.986257,-0.267907,0.378711,3.942041,11.5,1,right_hand,right_palm,6571
81,3.333333,-0.365826,0.256442,3.982111,-0.229602,0.252374,3.943651,14.2,1,right_hand,right_palm,6373
82,3.375000,-0.368877,0.235882,3.977965,-0.233247,0.252142,3.947752,14.0,1,right_hand,right_palm,6373
83,3.416667,-0.372711,0.240467,3.973818,-0.236892,0.252775,3.947580,13.9,1,right_hand,right_palm,6373
84,3.458333,-0.380637,0.280557,3.969672,-0.277733,0.359779,3.923267,13.8,1,right_hand,right_palm,6459
85,3.500000,-0.398303,0.367131,3.965526,-0.307318,0.409196,3.949623,10.1,1,right_hand,right_pinky,6476
86,3.541667,-0.387223,0.503458,3.961379,-0.338825,0.517935,3.962272,5.1,1,right_hand,right_pinky,6504
87,3.583333,-0.395028,0.671031,3.957233,-0.360618,0.683867,3.987240,4.7,1,right_hand,right_pinky,8456
88,3.625000,-0.393286,0.709226,3.953087,-0.369478,0.728925,3.954271,3.1,1,right_hand,right_pinky,8647
89,3.666667,-0.392903,0.526563,3.948940,-0.341094,0.517162,3.959580,5.4,1,right_hand,right_pinky,6504
90,3.708333,-0.390275,0.420583,3.944794,-0.329809,0.447987,3.934001,6.7,1,right_hand,right_pinky,6486
91,3.750000,-0.384174,0.341091,3.940648,-0.300401,0.382671,3.930893,9.4,1,right_hand,right_pinky,6475
92,3.791667,-0.382003,0.281263,3.936501,-0.286935,0.358418,3.914424,12.4,1,right_hand,right_palm,6459
93,3.833333,-0.377745,0.247134,3.932355,-0.255811,0.241651,3.907941,12.4,1,right_hand,right_palm,6370
94,3.875000,-0.369158,0.225050,3.928209,-0.256146,0.241620,3.908573,11.6,1,right_hand,right_palm,6370
95,3.916667,-0.365266,0.225417,3.924062,-0.255492,0.241773,3.903664,11.3,1,right_hand,right_palm,6370
96,3.958333,-0.352363,0.249455,3.919916,-0.255855,0.242777,3.905500,9.8,1,right_hand,right_palm,6370
97,4.000000,-0.348603,0.339125,3.915770,-0.302509,0.383128,3.919425,6.4,1,right_hand,right_palm,6475
98,4.041667,-0.316517,0.494860,3.911623,-0.336672,0.498088,3.910706,2.0,1,right_hand,right_pinky,6848
99,4.083333,-0.277107,0.700602,3.907477,-0.328228,0.701221,3.967097,7.9,1,right_hand,right_pinky,8572
100,4.125000,-0.250890,0.688956,3.854599,-0.306647,0.619504,3.959490,13.8,1,right_hand,right_pinky,6753
101,4.166667,-0.232361,0.556805,3.873786,-0.247455,0.525889,3.929289,6.5,1,right_hand,right_pinky,6545
102,4.208333,-0.225963,0.462559,3.892972,-0.226111,0.467231,3.892549,0.5,1,right_hand,right_pinky,6542
